GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,17977421
1988,,,,,,,,,,,,,,,,,,,,,380566694
,,405,,,,,,,,,,,,,,,,,,,400984051
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
DIRECTO #19, 141,481368,2134327,141,09,012,Tlalpan,09012,32141,24192,26784,28512,32141,28512,26784,32141,25920,26784,25920,29462,339293
DIRECTO #20-B, 142,480015,2134312,142,09,003,Coyoac?ín,09003,123206,166925,198202,194400,219629,196992,139277,195523,217728,235699,204768,200880,2293229
DIRECTO #21, 143,479873,2134178,143,09,012,Tlalpan,09012,128563,9677,133920,134784,125885,95904,211594,254448,119232,101779,103680,109814,1529280
DIRECTO #22, 144,477696,2134789,144,09,012,Tlalpan,09012,58925,91930,88387,95904,13392,10368,24106,112493,121824,99101,116640,109814,942883
DIRECTO #24, 145,482128,2135810,145,09,003,Coyoac?ín,09003,74995,89510,115171,101088,99101,106272,115171,85709,101088,107136,111456,115171,1221869
DIRECTO #25, 146,483719,2134751,146,09,003,Coyoac?ín,09003,131242,104026,101779,108864,40176,155520,158026,182131,69984,125885,80352,123206,1381190
NAHUATLACAS, 147,483445,2136059,235,09,003,Coyoac?ín,09003,141955,130637,171418,181440,179453,173664,171418,174096,165888,184810,93312,187488,1955578
PEDREGAL DE CARRASCO, 148,482587,2134705,276,09,003,Coyoac?ín,09003,152669,118541,50890,124416,123206,111456,109814,133920,129600,128563,147744,139277,1470096
SANTA URSULA, 149,483587,2135232,448,09,003,Coyoac?ín,09003,45533,48384,34819,178848,176774,137376,171418,160704,168480,176774,163296,101779,1564186
SANTO DOMINGO, 150,487365,2136808,453,09,003,Coyoac?ín,09003,109814,82253,85709,80352,83030,80352,85709,91066,85536,91066,67392,83030,1025309
TERRANOVA, 151,480277,2137821,495,09,003,Coyoac?ín,09003,174096,82253,109814,111456,120528,88128,96422,107136,111456,85709,111456,107136,1305590
ZAPATA #17, 152,482186,2134254,576,09,012,Tlalpan,09012,8035,19354,48211,59616,24106,51840,56246,61603,59616,69638,41472,42854,542592
ZAPOTECAS, 153,483267,2136640,577,09,003,Coyoac?ín,09003,206237,176602,190166,186624,171418,191808,176774,190166,204768,216950,145152,216950,2273616
AUXILIAR XOTEPINGO #1-B, 154,485577,2137590,51,09,003,Coyoac?ín,09003,72317,38707,37498,41472,42854,P/N,P/N,P/N,38880,42854,38880,40176,393638
AUXILIAR XOTEPINGO #1-C, 155,485987,2137418,52,09,003,Coyoac?ín,09003,77674,53222,8035,RP,RP,P/N,P/N,P/N,P/N,48211,44064,0,231206
EDUCACION #1 , 156,485357,2138170,147,09,003,Coyoac?ín,09003,147312,72576,85709,82944,77674,80352,77674,131242,119232,125885,121824,133920,1256342
EDUCACION #2 (V), 157,481261,2131506,149,09,012,Tlalpan,09012,24106,9,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,24115
EDUCACION #2 (N), 158,486192,2137920,148,09,003,Coyoac?ín,09003,93744,149990,141955,163296,160704,RN,163382,171418,152928,160704,150336,158026,1666483
