GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,9810106
2011,,,,,,,,,,,,,,,,,,,,,421385223
,,499,,,,,,,,,,,,,,,,,,,441756951
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
POPOTLA ARBOL,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PORTALES ,93,484686,2140946,317,09,014,Benito Ju?írez,09014,107136,94349,138240,131242,135475,164506,182131,182477,83030,164506,179712,155347,1718150
RADIO MIL,94,484258,2143551,353,09,014,Benito Ju?írez,09014,109814,99187,113357,107136,110592,99187,107136,113357,107136,79834,88474,109814,1245024
RIO SAN JOAQUIN,95,477902,2150276,363,09,016,Miguel Hidalgo,09016,FE,41126,143770,58925,152064,133056,115171,13824,21427,4838,16589,53568,754358
SALESIANO,96,481404,2150143,379,09,016,Miguel Hidalgo,09016,42854,55642,58061,50890,58061,48384,58925,41472,40176,65318,82944,85709,688435
SAN FELIPE POPOTLA,97,481648,2151031,380,09,016,Miguel Hidalgo,09016,109814,133056,146534,136598,157594,125798,144634,152064,152669,137894,143770,133920,1674346
SAN JOAQUIN TACUBA,98,478238,2150738,386,09,016,Miguel Hidalgo,09016,136598,128218,146534,147312,149299,48384,FS,22118,141955,116122,124416,128563,1289520
TACUBA,99,480210,2151387,459,09,016,Miguel Hidalgo,09016,115171,133056,118886,93744,102298,125798,72317,55296,37498,48384,63590,66960,1032998
TIZAPAN,100,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,83030,74995,69120,45533,66355,60480,72317,91238,74995,55642,77414,80352,851472
VERONICA ,101,481682,2148727,555,09,016,Miguel Hidalgo,09016,99101,65318,113357,115171,99533,96768,99101,102298,139277,106445,118886,96422,1251677
VIADUCTO ,102,481343,2144628,556,09,014,Benito Ju?írez,09014,80352,60480,71885,64282,66355,58061,115171,135475,115171,24192,33178,48211,872813
VISTA ALEGRE,103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ACOXPA #31,104,485192,2133795,5,09,012,Tlalpan,09012,99101,125798,118886,80352,146534,108864,144634,141005,136598,116122,152064,141955,1511914
ACOXPA #32,105,485455,2133735,6,09,012,Tlalpan,09012,42854,181440,188006,182131,185242,162086,195523,201830,195523,174182,221184,214272,2144275
AJUSCO,106,483445,2136071,14,09,003,Coyoac?ín,09003,50890,53222,55296,42854,47002,43546,56246,60826,50890,53222,58061,58925,630979
ALTILLO UNIVERSIDAD,107,481103,2138473,23,09,003,Coyoac?ín,09003,85709,77414,88474,64282,88474,70157,80352,85709,74995,74995,85709,80352,956621
BOSQUES DE TETLALMEYA,108,484033,2133858,90,09,003,Coyoac?ín,09003,125885,113702,129946,125885,129946,108864,120528,124416,120528,108864,124416,120528,1453507
CARACOL,109,482972,2134511,96,09,003,Coyoac?ín,09003,69638,62899,71885,77674,88474,82253,91066,94003,88387,79834,91238,88387,985738
CEDRAL,110,488152,2135509,103,09,003,Coyoac?ín,09003,RH,RH,13824,88387,91238,77414,104458,107827,104458,91930,105062,101779,886378
COLONIA DEL CARMEN FRAGATA ,111,483260,2139989,127,09,003,Coyoac?ín,09003,101779,91930,105062,101779,105062,91930,101779,105062,101779,91930,105062,101779,1204934
COPILCO UNIVERSIDAD,112,480690,2137954,128,09,003,Coyoac?ín,09003,13392,14515,16589,16070,16589,14515,13392,16589,10714,RH,RH,RH,132365
COUNTRY CLUB,113,485226,2139758,129,09,003,Coyoac?ín,09003,133920,53222,160358,139277,154829,128218,155347,160358,34819,24192,35942,34819,1215302
DEPORTIVO CANTIL,114,483864,2138082,133,09,003,Coyoac?ín,09003,115171,113702,132710,128563,129946,113702,117850,116122,123206,108864,129946,109814,1439597
DEPORTIVO DURANGO ,115,483374,2135359,134,09,003,Coyoac?ín,09003,80352,72576,82944,80352,82944,72576,80352,82944,96422,87091,99533,96422,1014509
DIRECTO #18,116,489804,2135343,140,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,FS,29030,88474,85709,203213
DIRECTO #19,117,481368,2134327,141,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,FS,14515,47002,45533,107050
DIRECTO #20-B ,118,480015,2134312,142,09,003,Coyoac?ín,09003,171418,154829,176947,171418,163123,149990,160704,168653,174096,157248,182477,158026,1988928
DIRECTO #21,119,479873,2134178,143,09,012,Tlalpan,09012,83030,74995,85709,83030,82944,74995,74995,91238,96422,91930,102298,99101,1040688
DIRECTO #24,120,482128,2135810,145,09,003,Coyoac?ín,09003,85709,77414,91238,88387,88474,77414,85709,88474,91066,82253,102298,99101,1057536
DIRECTO #25,121,483719,2134751,146,09,003,Coyoac?ín,09003,96422,87091,102298,99101,99533,87091,96422,99533,96422,87091,99533,96422,1146960
EDUCACION #1,122,485357,2138170,147,09,003,Coyoac?ín,09003,91066,82253,94003,91066,94003,82253,91066,94003,91066,82253,94003,91066,1078099
EDUCACION #2 (N) ,123,486192,2137920,148,09,003,Coyoac?ín,09003,50890,48384,63590,58925,63590,55642,61603,63590,61603,58061,66355,64282,716515
HUIPULCO ,124,485681,2132491,176,09,012,Tlalpan,09012,187488,169344,193536,187488,193536,169344,187488,85709,187488,169344,193536,187488,2111789
ISSSTE COAPA #1,125,487057,2133526,179,09,012,Tlalpan,09012,131242,118541,124416,120528,127181,111283,40176,RH,RH,74995,110592,101779,1060733
ISSSTE COAPA #2,126,488733,2133590,180,09,012,Tlalpan,09012,77674,70157,80179,77674,80179,70157,72317,74650,77674,70157,77414,74995,903226
ISSSTE COAPA #3,127,487084,2134763,181,09,003,Coyoac?ín,09003,88387,79834,88474,104458,135475,113702,141955,129946,141955,130637,121651,125885,1402358
ISSSTE COAPA #4,128,487494,2135343,182,09,003,Coyoac?ín,09003,128563,123379,152064,131242,138240,111283,123206,127181,123206,111283,127181,123206,1520035
LA CIENEGA,129,483898,2137741,205,09,003,Coyoac?ín,09003,109814,108864,132710,139277,113357,120960,128563,146534,144634,118541,152064,158026,1573344
LOS COYOTES ,130,487314,2135852,214,09,003,Coyoac?ín,09003,5357,4838,5530,48211,74650,91930,107136,129946,117850,104026,118886,115171,923530
LOS REYES COYOACAN,131,483778,2138641,215,09,003,Coyoac?ín,09003,53568,48384,55296,53568,55296,48384,53568,55296,48211,43546,49766,48211,613094
METRO C.U.,132,481622,2136504,223,09,003,Coyoac?ín,09003,21427,19354,22118,21427,22118,19354,115171,143770,141955,130637,149299,144634,951264
MULTIF. COAPA #7 ,133,486679,2133212,233,09,012,Tlalpan,09012,45533,41126,47002,72317,121651,106445,120528,121651,117850,108864,124416,120528,1147910
MULTIF. COAPA #8 ,134,487734,2132727,234,09,013,Xochimilco,09013,93744,82253,116122,107136,85709,99187,85709,113357,69638,RE,RE,RE,852854
NAHUATLACAS ,135,483445,2136059,235,09,003,Coyoac?ín,09003,166061,147571,171418,160704,152064,135475,160704,165888,160704,147571,154829,149990,1872979
PASEOS DE TAXQUENA,136,486893,2138915,273,09,003,Coyoac?ín,09003,72317,72576,96768,72317,60826,65318,64282,69120,40176,RH,RH,RH,613699
PEDREGAL DE CARRASCO ,137,482587,2134705,276,09,003,Coyoac?ín,09003,109814,99187,116122,112493,110592,96768,107136,110592,112493,101606,124416,120528,1321747
PEDREGAL DE SAN FRANCISCO,138,482687,2138340,277,09,003,Coyoac?ín,09003,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PEDREGAL DE SANTO DOMINGO,139,482109,2136073,278,09,003,Coyoac?ín,09003,123206,111283,129946,125885,113357,116122,128563,132710,123206,111283,127181,123206,1465949
PEDREGAL IMAN,140,481901,2135103,279,09,003,Coyoac?ín,09003,88387,79834,91238,88387,91238,79834,88387,91238,88387,79834,91238,88387,1046390
PERIFERICO #1,141,485573,2136312,293,09,003,Coyoac?ín,09003,139277,125798,143770,139277,143770,120960,133920,138240,133920,120960,138240,133920,1612051
PERIFERICO #2,142,486493,2134490,304,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PERIFERICO #3,143,484822,2133935,305,09,012,Tlalpan,09012,48211,43546,49766,48211,49766,45965,50890,52531,50890,45965,52531,50890,589162
PERIFERICO #4,144,484272,2133665,306,09,012,Tlalpan,09012,34819,38707,47002,45533,44237,43546,48211,49766,48211,43546,49766,48211,541555
PERIFERICO #10,145,486333,2132216,294,09,013,Xochimilco,09013,21427,53222,60826,58925,60826,53222,58925,60826,58925,53222,60826,58925,660096
PERIFERICO #11,146,488634,2132855,295,09,013,Xochimilco,09013,101779,89510,107827,112493,118886,101606,115171,121651,117850,99187,118886,117850,1322698
PERIFERICO #12,147,488153,2133115,296,09,012,Tlalpan,09012,155347,140314,160358,155347,160358,140314,149990,168653,152669,137894,165888,158026,1845158
PERIFERICO #13,148,486343,2136134,297,09,003,Coyoac?ín,09003,RE,RE,66355,85709,55296,19354,77674,19354,10714,19354,FS,FS,353808
PERIFERICO #14,149,488083,2134134,298,09,003,Coyoac?ín,09003,93744,84672,96768,93744,96768,84672,93744,96768,93744,84672,96768,93744,1109808
PERIFERICO #15,150,485969,2135229,299,09,003,Coyoac?ín,09003,117850,111283,149299,128563,135475,120960,123206,132710,109814,118541,138240,133920,1519862
PERIFERICO #16,151,489444,2134015,300,09,013,Xochimilco,09013,123206,120960,141005,136598,127181,120960,139277,143770,125885,120960,141005,29462,1470269
PERIFERICO #17,152,489484,2134564,301,09,013,Xochimilco,09013,64282,FE,63590,77674,82944,77414,72317,FE,34819,84672,96768,83030,737510
POZO 20 DE AGOSTO ,153,487195,2138577,318,09,003,Coyoac?ín,09003,96422,84672,116122,141955,168653,147571,163382,168653,163382,147571,168653,163382,1730419
PRADOS CHURUBUSCO ,154,486699,2140007,320,09,003,Coyoac?ín,09003,155347,149990,199066,179453,196301,174182,200880,204595,200880,181440,207360,200880,2250374
PREPARATORIA #5 (N) ,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74995,67738,77414,74995,58061,67738,74995,77414,74995,67738,77414,74995,868493
REY MOCTEZUMA,156,483541,2137081,360,09,003,Coyoac?ín,09003,64282,58061,66355,80352,80179,84672,80352,80179,74995,91930,80179,88387,929923
ROMERO DE TERREROS,157,482187,2138640,364,09,003,Coyoac?ín,09003,115171,104026,110592,88387,116122,96768,115171,121651,117850,106445,121651,117850,1331683
RUIZ CORTINEZ,158,484853,2136072,365,09,003,Coyoac?ín,09003,112493,101606,116122,112493,116122,101606,112493,116122,104458,94349,107827,104458,1300147
SAN FRANCISCO CULHUACAN ,159,487793,2137344,382,09,003,Coyoac?ín,09003,72317,62899,77414,66960,82944,72576,80352,82944,77674,67738,77414,74995,896227
SAN NICOLAS TOLENTINO,160,485838,2133075,418,09,012,Tlalpan,09012,155347,140314,160358,155347,160358,140314,155347,152064,168739,152410,174182,168739,1883520
SANTA URSULA,161,483587,2135232,448,09,003,Coyoac?ín,09003,168739,152410,174182,168739,152064,133056,147312,152064,155347,140314,135475,131242,1810944
