GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORIELLO,214 ,483222,2133095,501,09,012,Tlalpan,09012,40187,0,0,0,0,0,0,0,0,0,0,17613,57800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA OLIMPICA #2,215 ,480443,2134197,564,09,012,Tlalpan,09012,42854,38707,33512,29139,29286,32037,37498,27055,32247,34784,33696,101779,472595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA OLIMPICA #3,216 ,479950,2133465,565,09,012,Tlalpan,09012,25311,21033,20184,148532,149133,144323,150531,148201,43711,44394,97511,79709,1072575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSQUE TLALPAN #1,217 ,479688,2133363,88,09,012,Tlalpan,09012,39766,19799,29757,69219,83502,75225,4063,4942,0,5400,2232,48211,382115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSQUE TLALPAN #2,218 ,479648,2133076,89,09,012,Tlalpan,09012,40433,39027,63060,73063,85912,93312,0,0,0,0,0,85334,480141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAL #13,219 ,478437,2134424,95,09,012,Tlalpan,09012,14870,15115,14013,15117,16585,14329,16863,16520,15739,15406,16651,60125,231333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTES DEL PEDREGAL,220 ,476178,2134095,161,09,012,Tlalpan,09012,59482,60461,56054,68024,74631,64479,101779,101779,95935,100761,90616,93819,967820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSFAM,221 ,483120,2131330,178,09,012,Tlalpan,09012,90294,83245,77497,58087,59806,54639,100078,110527,107083,95547,63719,125204,1025727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PADIERNA #1,222 ,476778,2134389,255,09,012,Tlalpan,09012,113444,104026,75322,108447,89143,98639,0,0,0,18577,44277,42479,694352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PADIERNA #2,223 ,476720,2134847,256,09,012,Tlalpan,09012,58041,53222,38537,47574,45608,0,58925,58925,54515,56568,56169,74727,602810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PADIERNA #5,224 ,477814,2133790,259,09,012,Tlalpan,09012,61172,60480,43792,51018,55973,67745,58748,53386,54401,58159,55484,153328,773685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDREGAL AGUILAS,225 ,482211,2130826,275,09,012,Tlalpan,09012,70308,59716,67115,64852,50839,60280,75732,63714,53994,66100,85692,63703,782043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENA POBRE,226 ,479896,2133084,280,09,012,Tlalpan,09012,5351,111474,80866,36130,107800,114027,135851,133296,136002,132302,125150,100761,1219012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIVITAS,227 ,485550,2142726,236,09,014,Benito Ju?írez,09014,120335,107993,110050,115707,120335,114214,70126,45586,64352,40112,43872,0,952682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #1,228 ,486562,2130782,240,09,013,Xochimilco,09013,20784,0,71240,77941,79792,73120,77883,74146,76308,79792,75772,387527,1094307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #2,229 ,487133,2129237,241,09,013,Xochimilco,09013,132356,138910,149289,148833,151153,123125,148544,136395,144473,146337,147329,186856,1753600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #3,230 ,487635,2129008,242,09,013,Xochimilco,09013,27384,25140,36260,36070,36448,28958,29623,32698,34691,37123,60591,155366,540352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #4,231 ,487975,2128974,243,09,013,Xochimilco,09013,330493,306561,330493,327463,336664,319500,325351,311637,321159,341807,312012,65648,3628788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #5,232 ,487231,2128266,244,09,013,Xochimilco,09013,101372,65914,0,0,95571,80668,91907,109268,105500,0,0,330448,980646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #6,233 ,488178,2127972,245,09,013,Xochimilco,09013,210324,188823,202072,392408,399382,376649,384725,372512,383740,403046,371999,85342,3771021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORIA #7,234 ,489421,2127836,246,09,013,Xochimilco,09013,262430,240928,264278,283176,252573,59616,168546,141371,150886,161122,166684,63459,2215069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLUSORIO SUR #1,235 ,487085,2126212,354,09,013,Xochimilco,09013,187694,167984,183320,184032,184461,150722,171720,165064,159372,172481,154219,43165,1924236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLUSORIO SUR #2,236 ,486650,2126527,355,09,013,Xochimilco,09013,16199,75368,74052,87081,96623,18196,91907,55796,53872,72879,65163,91907,799043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-1,237 ,488882,2127217,366,09,013,Xochimilco,09013,241892,0,243595,261014,266592,225022,283059,192775,229693,279652,265960,76664,2565917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-2,238 ,487111,2126517,371,09,013,Xochimilco,09013,127792,117322,128692,93571,95571,80668,91907,88344,85298,92314,80368,146613,1228458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-3,239 ,489958,2126538,372,09,013,Xochimilco,09013,63896,58661,64346,68947,70420,59440,67721,65096,62851,68021,60819,129715,839932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-4,240 ,486666,2126212,373,09,013,Xochimilco,09013,74095,65909,71320,56169,56568,52177,58218,52502,54800,58925,55712,150989,807384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-5,241 ,489992,2126177,374,09,013,Xochimilco,09013,177996,163412,199932,202176,207453,199143,94751,99969,96521,104460,93400,67174,1706387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-6,242 ,490912,2126096,375,09,013,Xochimilco,09013,0,48190,45961,51633,53568,51425,53514,51961,36742,53568,51840,83154,581556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-7,243 ,492891,2126808,376,09,013,Xochimilco,09013,179094,157062,158277,173664,134590,170191,177120,148228,155603,175505,166370,56895,1852598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-8,244 ,488261,2127516,377,09,013,Xochimilco,09013,154881,137227,150531,149284,153949,150035,154726,149755,149584,151930,150336,32824,1685062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-9,245 ,486026,2130803,378,09,013,Xochimilco,09013,157458,144557,158567,169906,173536,146477,166883,160415,154882,167622,149875,178671,1928847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-10,246 ,485222,2130406,367,09,013,Xochimilco,09013,76736,64665,77700,69963,77620,73716,65326,80111,77216,78879,77293,23034,842261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-11,247 ,496467,2128172,368,09,013,Xochimilco,09013,69424,29459,96519,96034,98086,82791,91907,88344,85298,92314,82540,0,912714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN GREGORIO ATL. #1,248 ,493006,2128467,383,09,013,Xochimilco,09013,52486,48186,52856,49248,50300,42457,48372,39522,56117,60733,56474,131295,688046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN GREGORIO ATL. #2,249 ,492890,2127862,384,09,013,Xochimilco,09013,154865,141020,145384,152469,139221,147117,155497,127540,149717,157077,32581,143967,1646454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #1,250 ,497615,2129035,394,09,013,Xochimilco,09013,177299,160466,158326,175986,186867,177479,172101,185602,148514,188455,171702,204766,2107563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #3,251 ,497036,2129582,407,09,013,Xochimilco,09013,86716,79611,87327,83722,88698,104359,108167,107179,93626,109046,53030,161797,1163276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #4,252 ,497202,2129606,408,09,013,Xochimilco,09013,64659,91801,92137,46786,47785,0,0,0,0,0,0,253837,597006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #5,253 ,497315,2129600,409,09,013,Xochimilco,09013,142898,129330,123951,118755,119264,144323,152862,134841,130191,140900,125982,425823,1889119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #6,254 ,497439,2129597,410,09,013,Xochimilco,09013,150531,136653,140937,155053,155240,142218,152551,150065,121772,152085,124328,260402,1841837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #7,255 ,496647,2129289,411,09,013,Xochimilco,09013,264090,223292,243734,222572,221137,207606,218083,214971,208252,220084,193317,253034,2690173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #8,256 ,496435,2128999,412,09,013,Xochimilco,09013,317873,280434,272554,310809,303021,51749,253760,172403,159937,165064,166095,181778,2635477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #9,257 ,496048,2129025,413,09,013,Xochimilco,09013,332122,288490,296298,321732,301063,246250,280557,269683,260382,281800,251963,105036,3235375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #10,258 ,495713,2128981,395,09,013,Xochimilco,09013,511815,463693,462453,423533,432583,413535,451932,434769,349321,440136,403429,282775,5069974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #11,259 ,495413,2128559,396,09,013,Xochimilco,09013,244195,215222,224482,328790,321922,271725,309580,192963,186308,201633,180284,261433,2938536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #12,260 ,495360,2128726,397,09,013,Xochimilco,09013,260383,229258,239122,253254,256446,215660,235972,225736,229550,249622,242585,124730,2762318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #13,261 ,494961,2128603,398,09,013,Xochimilco,09013,253270,229456,228842,211906,214577,208081,216334,214797,208293,205353,192855,188707,2572472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #16,262 ,492704,2128176,401,09,013,Xochimilco,09013,127406,115309,84852,116329,121364,28491,116093,111593,107744,116607,104261,56895,1206942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #17,263 ,492917,2128568,402,09,013,Xochimilco,09013,188602,150842,165461,261014,268011,265136,275393,273690,264037,258075,274752,201319,2846332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #18,264 ,492829,2128339,403,09,013,Xochimilco,09013,309730,282611,286974,300231,303658,296895,307732,305538,290224,310552,296289,55496,3345933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #19,265 ,491807,2127960,404,09,013,Xochimilco,09013,56782,105501,118642,125131,131617,136469,130604,139716,121212,131183,117293,74786,1388937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS #20,266 ,490706,2127793,406,09,013,Xochimilco,09013,206971,188901,198076,190706,194452,189540,196461,205881,199854,208208,199649,0,2178697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUIS TLAXIALTEMALCO,267 ,496162,2128409,414,09,013,Xochimilco,09013,84587,79035,81228,76334,60666,78263,84337,80706,67340,72879,65163,8849,839387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LORENZO ATEMOAYA #1,268 ,489528,2127154,390,09,013,Xochimilco,09013,203098,191194,154945,192689,152562,188933,237901,206912,123879,216208,199833,157554,2225709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LORENZO ATEMOAYA #2,269 ,489441,2127276,391,09,013,Xochimilco,09013,REPARACION,92181,101115,108346,110661,67516,75812,66773,70228,58523,40124,REPARACION,791278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LUCAS XOCHIMANCA,270 ,487902,2127087,393,09,013,Xochimilco,09013,127792,117322,128692,137894,140841,85930,87651,85294,87962,88344,68558,90610,1246890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ ACALPIXCA #1,271 ,492715,2127316,440,09,013,Xochimilco,09013,REPARACION,REPARACION,REPARACION,,88026,65808,74976,72070,69585,92314,80368,45953,589100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ ACALPIXCA #2,272 ,492727,2127595,441,09,013,Xochimilco,09013,15974,14665,13574,2685,16986,7348,16686,12438,17110,15393,13064,128049,273973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ XOCHITEPEC,273 ,486440,2128685,444,09,013,Xochimilco,09013,192073,172615,130942,184198,192652,185691,192073,191495,174867,174910,156391,182407,2130314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTIAGO TEPALCATLALPAN,274 ,487217,2127605,451,09,013,Xochimilco,09013,86716,79611,87327,93571,95571,70661,91907,88344,85298,92314,REPARACION,70798,942116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPEPAN #1,275 ,484817,2130992,485,09,012,Tlalpan,09012,86716,79611,87327,93571,95571,80668,106418,102293,98766,106890,51731,23423,1012984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPEPAN #2,276 ,484526,2130414,486,09,012,Tlalpan,09012,101474,91378,98115,82363,85623,67931,46202,44901,49440,50499,45614,61418,824959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPEPAN #3,277 ,485444,2131291,487,09,013,Xochimilco,09013,135232,116968,129233,125484,129273,106142,126763,128435,124292,127278,124292,100558,1473949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARENAL,278 ,485285,2131689,37,09,013,Xochimilco,09013,185517,187140,214971,197788,179838,198187,203355,202744,196598,199691,194825,87503,2248157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTE SUR #1,279 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,47193,49533,51425,51633,52764,50855,67271,68594,65977,72100,69634,202058,849038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTE SUR #2,280 ,487741,2125198,232,09,013,Xochimilco,09013,18449,20050,19429,18103,19381,18870,24269,23723,20842,20774,22784,98565,325238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRILLOS #1,281 ,497979,2128002,105,09,013,Xochimilco,09013,47073,43621,45037,54821,65688,63893,65487,66090,62273,57476,56516,0,627973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERRILLOS #2,282 ,498560,2127688,106,09,011,Tl?íhuac,09011,189025,170525,186553,126749,116200,113250,117025,116435,94245,99845,97708,0,1427560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCUDO NACIONAL #1,283 ,499305,2127979,153,09,011,Tl?íhuac,09011,91588,79253,90650,74116,92338,71941,82034,82947,61871,81536,82115,181863,1072252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCUDO NACIONAL #2,284 ,499028,2127046,154,09,011,Tl?íhuac,09011,0,0,0,0,0,0,0,0,134424,207769,191077,112364,645634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-11,285 ,499184,2127397,335,09,011,Tl?íhuac,09011,0,133158,94815,87713,102315,99844,100922,97922,91135,101351,93208,182345,1184729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-16,286 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-18,287 ,500141,2123254,336,09,009,Milpa Alta,09009,0,0,0,0,0,0,0,0,0,0,0,160168,160168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-19,288 ,498387,2122183,337,09,009,Milpa Alta,09009,158615,151902,163677,174727,179614,172187,184113,183363,172187,177926,178174,102315,1998798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-21,289 ,498543,2122563,339,09,009,Milpa Alta,09009,118921,110199,114678,121928,120207,121430,126892,125092,95023,98190,124416,0,1276976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-22,290 ,500132,2122660,340,09,009,Milpa Alta,09009,0,0,177779,162270,189283,179532,186706,181156,168599,174219,172435,113350,1705329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-23,291 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,81316,81316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-24,292 ,499460,2123283,341,09,009,Milpa Alta,09009,0,0,0,142534,166262,157697,163998,159124,148094,153030,151464,0,1242203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-25,293 ,498704,2122951,342,09,009,Milpa Alta,09009,104672,89123,64067,100673,98994,99014,105422,92024,101503,104886,100259,3905,1064543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-26,294 ,500353,2122335,343,09,009,Milpa Alta,09009,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-12,295 ,498012,2128664,369,09,013,Xochimilco,09013,0,105608,109038,100870,117662,111601,116060,112611,104805,108298,107190,65755,1159498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-13,296 ,498497,2128189,370,09,013,Xochimilco,09013,0,0,78223,0,84410,80062,83261,80786,75186,77692,76897,0,636516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #4,297 ,494013,2142311,479,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #5,298 ,500626,2125033,480,09,009,Milpa Alta,09009,0,0,0,0,16199,57112,61172,60063,57708,59632,7068,140455,459410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #6,299 ,500678,2124832,481,09,009,Milpa Alta,09009,0,0,0,0,0,0,0,0,0,0,0,207785,207785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #7,300 ,500747,2124403,482,09,009,Milpa Alta,09009,52671,53249,44933,63569,63746,64087,64750,61068,63180,65286,62208,214358,873104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #8,301 ,500542,2124228,483,09,009,Milpa Alta,09009,0,0,0,0,0,0,0,0,0,0,0,173592,173592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #9,302 ,501332,2124686,484,09,009,Milpa Alta,09009,0,0,0,0,0,0,0,0,0,0,0,149310,149310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #10,303 ,501476,2124659,464,09,009,Milpa Alta,09009,186674,145856,162665,138148,165027,152845,158952,137091,127589,131842,132822,212981,1852491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #11,304 ,501597,2124497,465,09,009,Milpa Alta,09009,214797,188257,211503,203617,200505,190403,196027,198062,178278,184220,200673,0,2166342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #12,305 ,502121,2124423,466,09,009,Milpa Alta,09009,240078,208039,235204,232098,217861,200076,222085,219417,194483,200966,205743,178306,2554357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #13,306 ,501779,2124406,467,09,009,Milpa Alta,09009,163516,133158,137482,127184,153172,142970,153949,173592,154649,159804,167822,239591,1906890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #14,307 ,502113,2124639,468,09,009,Milpa Alta,09009,173426,160707,181301,179444,185238,173275,186926,185238,140590,145276,145085,144955,2001462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #15,308 ,502326,2124457,469,09,009,Milpa Alta,09009,164047,204328,226220,226499,229571,216919,234049,230514,187059,193295,219866,59139,2391508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #16,309 ,500873,2125426,470,09,009,Milpa Alta,09009,0,0,0,0,0,0,0,0,0,0,0,258733,258733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOMITL #17,310 ,502892,2124315,471,09,009,Milpa Alta,09009,171750,156116,161186,0,173935,166386,179946,123822,154929,160093,171145,142753,1762061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #2,311 ,499862,2127969,505,09,011,Tl?íhuac,09011,130192,115696,124023,122309,129667,125738,239835,240078,215351,222530,231626,251770,2148814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #3,312 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,251649,217184,228749,240576,239436,244516,190916,190531,169081,174717,183078,167561,2497994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #4,313 ,499774,2128224,506,09,011,Tl?íhuac,09011,122505,152003,71902,72335,81081,44906,63832,63510,56671,58561,23328,344978,1155611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #5,314 ,499404,2128348,507,09,011,Tl?íhuac,09011,297581,262551,279282,281014,297281,281014,293681,296081,260667,269356,282466,200960,3301935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #6,315 ,499184,2128488,508,09,011,Tl?íhuac,09011,168504,144765,167475,162238,170046,160580,169703,169361,137853,142448,133250,35141,1761363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #7,316 ,498855,2128500,509,09,013,Xochimilco,09013,164285,189148,214304,182005,217861,201582,219640,218236,200292,206968,219040,54564,2287924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #8,317 ,498541,2128735,510,09,013,Xochimilco,09013,189952,165125,175682,173000,186867,170761,191109,188024,91259,94301,158454,34819,1819353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #9,318 ,498153,2128420,511,09,013,Xochimilco,09013,370476,321415,331854,306996,358102,339656,353227,342728,318972,329604,326229,56190,3755449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULYEHUALCO #10,319 ,498224,2129148,504,09,013,Xochimilco,09013,197012,174545,188292,186054,193841,160543,0,0,234649,242470,225110,0,1802516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #1-A,320 ,485473,2137437,50,09,003,Coyoac?ín,09003,0,REPARACION,0,0,0,54251,0,0,41472,42854,40933,45533,225043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #2-A,321 ,485605,2137177,53,09,003,Coyoac?ín,09003,0,0,0,0,0,46018,48672,45490,52804,54564,55998,173614,477160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #3-A,322 ,483454,2134623,56,09,003,Coyoac?ín,09003,0,0,0,0,0,58722,56921,21376,31104,32141,58841,62005,321110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #4-A,323 ,485612,2137181,59,09,003,Coyoac?ín,09003,0,0,0,0,0,38413,21213,52390,51477,53193,53779,0,270465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #5-A,324 ,486261,2136704,62,09,003,Coyoac?ín,09003,0,0,0,0,0,30948,16295,0,0,0,0,74995,122239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #6-A,325 ,491659,2135219,65,09,007,Iztapalapa,09007,0,0,0,0,0,37740,35012,6428,41057,42426,43403,99208,305274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #7-A,326 ,486470,2136519,68,09,003,Coyoac?ín,09003,REPARACION,REPARACION,,0,0,165248,174776,163350,189615,195936,178174,34819,1101918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #8-A,327 ,499453,2127639,71,09,011,Tl?íhuac,09011,0,0,0,0,0,64282,64148,60360,63958,66090,0,0,318837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #9-A,328 ,488347,2149220,74,09,017,Venustiano Carranza,09017,0,0,0,0,0,0,0,0,0,0,0,58925,58925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #10-A,329 ,486840,2136193,45,09,003,Coyoac?ín,09003,0,0,0,0,0,72213,65096,60971,72503,74920,71633,131242,548578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #11-A,330 ,487154,2136372,48,09,003,Coyoac?ín,09003,0,0,0,0,0,53976,86282,80641,93607,96728,101814,71926,584974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #2-B,331 ,485917,2137244,54,09,003,Coyoac?ín,09003,0,0,0,0,0,25920,26195,19338,25920,26784,33325,0,157482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #3-B,332 ,486020,2137158,57,09,003,Coyoac?ín,09003,0,0,0,0,0,REPARACION,0,0,0,0,0,119821,119821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #4-B,333 ,486172,2136994,60,09,003,Coyoac?ín,09003,0,0,0,0,0,51581,51961,39766,57024,58925,56397,66960,382614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #5-B,334 ,486360,2136858,63,09,003,Coyoac?ín,09003,0,0,0,0,0,2193,21333,122317,123325,127436,126881,0,523485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #6-B,335 ,486540,2136732,66,09,003,Coyoac?ín,09003,0,0,0,0,0,50202,53097,49625,69606,71926,73815,141813,510083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #7-B,336 ,486598,2136644,69,09,003,Coyoac?ín,09003,0,0,0,0,0,0,0,0,0,0,0,34723,34723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #8-B,337 ,486733,2136560,72,09,003,Coyoac?ín,09003,0,0,0,0,0,28512,28932,28726,124416,128563,114089,0,453239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
