GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA AMARILLA,58 ,480065,2145785,98,09,016,Miguel Hidalgo,09016,48067,43154,54559,53561,43663,43880,41847,44223,41812,45037,39564,98209,597576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDROS Y MOLIERE,59 ,478706,2148642,104,09,016,Miguel Hidalgo,09016,138441,103658,40706,43535,43894,27486,29197,28962,27286,29374,35671,40305,588514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD. DEPORTIVA,60 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,115436,93691,85098,95023,71880,88833,86231,91266,91570,99071,62130,73420,1053651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICERON,61 ,478413,2148337,119,09,016,Miguel Hidalgo,09016,0,0,75236,128071,128290,135753,132045,130647,74567,110297,50663,80781,1046349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY CLUB,62 ,485226,2139758,129,09,003,Coyoac?ín,09003,192376,194939,174391,167884,216736,184848,189644,137054,43546,29875,51959,120914,1704166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA DEL CARMEN FRAGATA,63 ,483260,2139989,127,09,003,Coyoac?ín,09003,89700,79834,83084,82457,83084,83740,87592,86089,83227,98407,95329,104353,1056894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPILCO UNIVERSIDAD,64 ,480690,2137954,128,09,003,Coyoac?ín,09003,25750,21928,35516,35575,34993,32620,34873,34592,41812,42667,42504,100558,483386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COYUYA,65 ,487986,2144947,130,09,006,Iztacalco,09006,64089,57829,62032,61586,64024,45303,47199,47633,44417,47633,72213,0,613956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPULTEPEC MORALES,66 ,480327,2148642,113,09,016,Miguel Hidalgo,09016,111995,91697,107136,102643,107029,111122,114826,114941,111456,106303,87921,46331,1213399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPORTIVO DURANGO,67 ,483374,2135359,134,09,003,Coyoac?ín,09003,0,0,107136,128071,128290,117433,124674,125687,118833,128001,118693,117592,1214410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAGONAL SAN ANTONIO,68 ,484551,2144735,139,09,014,Benito Ju?írez,09014,93698,77743,98190,98055,99339,137729,143187,143477,139968,143332,100380,24631,1299730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACCIONAMIENTO BANJIDAL,69 ,485761,2140779,158,09,007,Iztapalapa,09007,95978,88620,76985,92783,96181,90715,66360,55775,90616,95672,93768,24963,968417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRADOS CHURUBUSCO,70 ,486699,2140007,320,09,003,Coyoac?ín,09003,0,0,0,0,0,0,0,0,0,0,0,104843,104843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORMIGA,71 ,479959,2146530,174,09,016,Miguel Hidalgo,09016,44478,37875,43765,45062,45139,41319,43867,44223,41812,45037,39564,46082,518223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
