GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15666653
1998,,,,,,,,,,,,,,,,,,,,,372841920
,,417,,,,,,,,,,,,,,,,,,,395549741
SAN JUAN TLIHUACA,24,478946,2154626,388,09,002,Azcapotzalco,09002,158026,159667,182477,179453,185242,162086,182131,188006,176774,154829,196560,147571,2072822
SAN MARTIN XOCHINAHUAC #1,25,479995,2155926,415,09,002,Azcapotzalco,09002,53568,48384,55296,56246,55296,53222,40176,60826,58925,41126,48384,41126,612576
SAN MARTIN XOCHINAHUAC #2,26,478781,2155913,416,09,002,Azcapotzalco,09002,166061,140314,160358,163382,174182,157248,117850,188006,182131,152410,205632,164506,1972080
SAN MIGUEL AMANTLA,27,478540,2153210,417,09,002,Azcapotzalco,09002,131242,19354,22118,24106,22118,21773,109814,118886,115171,101606,130032,89510,905731
SAN PEDRO XALPA #1,28,478126,2154207,421,09,002,Azcapotzalco,09002,29462,29030,33178,32141,33178,29030,32141,33178,32141,29030,27216,29030,368755
SAN PEDRO XALPA #2,29,477447,2154531,422,09,002,Azcapotzalco,09002,69638,62899,77414,83030,49766,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,342749
TRABAJADORES DEL HIERRO,30,484108,2153620,503,09,002,Azcapotzalco,09002,64282,82253,94003,88387,94003,79834,91066,96768,93744,82253,99792,82253,1048637
VALLE DEL TEPEYAC,31,485252,2154857,535,09,005,Gustavo A. Madero,09005,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,187488,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,187488
VILLAS AZCAPOTZALCO,32,479576,2155276,566,09,002,Azcapotzalco,09002,64282,72576,85709,96422,99533,87091,64282,99533,5357,55642,108864,87091,926381
ABASOLO JARDIN,33,484606,2150489,2,09,015,Cuauht??moc,09015,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
ACACIAS,34,481862,2140960,4,09,014,Benito Ju?írez,09014,64282,58061,58061,56246,102298,91930,56246,58061,77674,79834,84672,77414,864778
ALAMEDA DE SANTA MARIA,35,483553,2150442,15,09,015,Cuauht??moc,09015,171418,149990,163123,158026,154829,149990,166061,152064,48211,142733,96768,REPAR.,1553213
ALAMEDA DE TACUBAYA,36,480571,2145040,16,09,016,Miguel Hidalgo,09016,45533,43546,47002,37498,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,173578
ALAMOS JARDIN #1,37,485190,2144841,17,09,014,Benito Ju?írez,09014,109814,99187,113357,104458,102298,101606,104458,105062,99101,96768,123984,99187,1259280
ALAMOS JARDIN #2,38,485124,2145120,18,09,014,Benito Ju?írez,09014,91066,82253,107827,107136,11059,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,399341
ALBERT Y BERLIN,39,485377,2141715,19,09,014,Benito Ju?írez,09014,53568,58061,66355,64282,66355,60480,64282,55296,66960,55642,66528,45965,723773
ALGARIN,40,485104,2145574,21,09,015,Cuauht??moc,09015,99101,91930,99533,96422,99533,84672,72317,74650,66960,43546,54432,50803,933898
ALTAVISTA,41,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,147312,65318,99533,139277,121651,128218,83030,107827,88387,72576,75600,87091,1215821
ANTONIO M. ANZA,42,483287,2146238,36,09,015,Cuauht??moc,09015,77674,70157,88474,85709,94003,70157,80352,77414,72317,50803,75600,67738,910397
ARENAL SAN ANGEL,43,480917,2139244,38,09,003,Coyoac?ín,09003,195523,142733,171418,93744,33178,116122,166061,152064,158026,130637,160272,140314,1660090
ARNAIZ ROSENDO,44,480411,2143138,39,09,014,Benito Ju?írez,09014,107136,101606,113357,101779,110592,94349,101779,96768,96422,84672,105840,87091,1201392
AXOTLA,45,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,69638,33869,35942,34819,35942,29030,29462,35942,8035,REPAR.,REPAR.,REPAR.,312682
BENJAMIN FRANKLIN,46,480957,2145692,87,09,016,Miguel Hidalgo,09016,37498,24192,35942,40176,41472,21773,24106,44237,29462,29030,36288,29030,393206
CAMPOS ELISEOS,47,478852,2148058,94,09,016,Miguel Hidalgo,09016,101779,91930,105062,101779,110592,94349,99101,99533,101779,96768,117936,87091,1207699
CASA AMARILLA,48,480065,2145785,98,09,016,Miguel Hidalgo,09016,158026,140314,163123,158026,165888,142733,149990,160358,117850,120960,157248,118541,1753056
CEDROS Y MOLIERE,49,478706,2148642,104,09,016,Miguel Hidalgo,09016,66960,62899,69120,64282,69120,58061,56246,69120,66960,65318,78624,58061,784771
CICERON,50,478413,2148337,119,09,016,Miguel Hidalgo,09016,64282,65318,77414,74995,77414,65318,74995,71885,69638,60480,75600,62899,840240
DIAGONAL SAN ANTONIO,51,484551,2144735,139,09,014,Benito Ju?írez,09014,96422,84672,88474,91066,102298,65318,99101,96768,91066,79834,99792,79834,1074643
CHAPULTEPEC MORALES,52,480327,2148642,113,09,016,Miguel Hidalgo,09016,77674,72576,82944,83030,85709,7258,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,409190
HORMIGA,53,479959,2146530,174,09,016,Miguel Hidalgo,09016,56246,65318,74650,72317,96768,65318,72317,74650,72317,65318,81648,65318,862186
HUERTAS DEL CARMEN,54,480757,2138752,175,09,003,Coyoac?ín,09003,88387,120960,138240,133920,141005,123379,120528,105062,85709,79834,99792,84672,1321488
IRRIGACION,55,478175,2149700,177,09,016,Miguel Hidalgo,09016,64282,62899,66355,66960,69120,58061,61603,60826,53568,45965,51408,14515,675562
JARDIN DE SAN JACINTO,56,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,131242,125798,143770,136598,113357,120960,136598,154829,120528,123379,169344,135475,1611878
JARDINES DEL PEDREGAL #1,57,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,58925,53222,60826,61603,69120,50803,50890,35942,42854,26611,42336,58061,611194
JARDINES DEL PEDREGAL #2,58,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,RECUP.,12096,22118,5357,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,39571
JARDINES DEL PEDREGAL #3,59,479590,2136089,199,09,003,Coyoac?ín,09003,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
JARDINES DEL PEDREGAL #4-B,60,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,58925,91930,96768,83030,91238,50803,40176,44237,48211,48384,60480,48384,762566
JARDINES DEL PEDREGAL #5-A,61,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RECUP.,RECUP.,RECUP.,16070,22118,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,38189
JARDINES DEL PEDREGAL #5-B,62,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,115171,106445,118886,29462,REPAR.,38707,112493,113357,112493,84672,45360,REPAR.,877046
JARDIN MORELOS,63,481303,2145227,194,09,016,Miguel Hidalgo,09016,107136,94349,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,201485
JARDIN POMBO,64,480823,2144109,195,09,014,Benito Ju?írez,09014,77674,77414,82944,83030,85709,70157,66960,44237,48211,41126,51408,41126,769997
LA CAMPANA,65,480797,2141915,204,09,014,Benito Ju?írez,09014,77674,70157,80179,184810,193536,174182,187488,193536,190166,171763,214704,171763,1909958
LA HUERTA,66,483034,2142593,206,09,014,Benito Ju?írez,09014,206237,84672,163123,155347,171418,145152,160704,91238,198202,154829,193536,154829,1879286
LAGO GINEBRA,67,479224,2150276,209,09,016,Miguel Hidalgo,09016,85709,82253,91238,93744,88474,84672,93744,91238,88387,67738,87696,82253,1037146
LEGARIA,68,478689,2150496,210,09,016,Miguel Hidalgo,09016,48211,43546,33178,REPAR.,REPAR.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,124934
MARINA NACIONAL #1,69,481481,2149520,217,09,016,Miguel Hidalgo,09016,128563,116122,132710,117850,129946,118541,131242,135475,123206,111283,139104,111283,1495325
MARINA NACIONAL #3,70,480760,2150404,218,09,016,Miguel Hidalgo,09016,80352,89510,102298,91066,91238,70157,85709,96768,85709,70157,90720,65318,1019002
MARINA NACIONAL #4,71,480221,2151033,219,09,016,Miguel Hidalgo,09016,85709,77414,88474,85709,80179,82253,91066,66355,93744,87091,108864,87091,1033949
MAR MEDITERRANEO,72,481776,2150834,216,09,016,Miguel Hidalgo,09016,139277,125798,143770,139277,141005,104026,115171,118886,123206,120960,151200,111283,1533859
MARTIRES DE TACUBAYA,73,480664,2144482,220,09,014,Benito Ju?írez,09014,120528,89510,116122,115171,121651,101606,107136,118886,56246,36288,45360,87091,1115597
MAYORASGO,74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RECUP.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
MIGUEL ALEMAN,75,485070,2143994,224,09,014,Benito Ju?írez,09014,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
MIRAFLORES,76,480622,2143758,228,09,014,Benito Ju?írez,09014,107136,96768,110592,107136,113357,94349,104458,105062,96422,99187,123984,99187,1257638
MIRAVALLE,77,485274,2140695,229,09,014,Benito Ju?írez,09014,99101,91930,105062,93744,99533,99187,93744,88474,109814,99187,123984,104026,1207786
MODERNA,78,485903,2144382,230,09,014,Benito Ju?írez,09014,66960,65318,74650,58925,69120,45965,56246,58061,50890,58061,69552,43546,717293
MOLINO DEL REY,79,479642,2147289,231,09,016,Miguel Hidalgo,09016,32141,29030,38707,40176,41472,50803,50890,49766,48211,26611,33264,31450,472522
NAPOLES,80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58925,58061,66355,61603,66355,55642,61603,69120,53568,45965,57456,48384,703037
NATIVITAS,81,485550,2142726,236,09,014,Benito Ju?írez,09014,235699,208051,243302,227664,212890,200794,187488,174182,166061,147571,187488,149990,2341181
NATIVITAS,82,485550,2142726,236,09,014,Benito Ju?írez,09014,32141,29030,33178,32141,35942,29030,26784,47002,45533,38707,45360,33869,428717
NORMANDIA,83,485856,2141928,247,09,007,Iztapalapa,09007,176774,159667,16589,REPAR.,REPAR.,38707,214272,193536,192845,183859,235872,217728,1629850
NUEVO MIGUEL ALEMAN,84,485108,2143877,249,09,014,Benito Ju?írez,09014,107136,87091,107827,83030,94003,82253,88387,91238,99101,72576,105840,84672,1103155
ORTIZ RUBIO,85,485111,2142220,253,09,014,Benito Ju?írez,09014,117850,108864,107827,125885,110592,101606,115171,124416,112493,99187,117936,89510,1331338
PARQUE DE LOS VENADOS,86,483779,2141901,270,09,014,Benito Ju?írez,09014,77674,74995,77414,85709,80179,74995,80352,85709,83030,65318,63504,REPAR.,848880
P. MARISCAL SUCRE,87,483060,2143897,254,09,014,Benito Ju?írez,09014,72317,84672,85709,96422,91238,82253,104458,107827,104458,94349,117936,94349,1135987
PARROQUIA #1,88,483206,2141726,271,09,014,Benito Ju?írez,09014,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
PARROQUIA #2,89,483206,2141726,272,09,014,Benito Ju?írez,09014,10714,9677,8294,8035,11059,9677,8035,8294,10714,9677,12096,9677,115949
PERIODISTA,90,477073,2150067,312,09,016,Miguel Hidalgo,09016,155347,140314,160358,152669,154829,135475,128563,132710,147312,116122,148176,130637,1702512
PIRULERA,91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,131242,118541,143770,139277,146534,118541,112493,113357,128563,116122,145152,116122,1529712
PORTALES,92,484686,2140946,317,09,014,Benito Ju?írez,09014,40176,33869,38707,40176,52531,38707,29462,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,273629
POPOTLA,93,481168,2151220,316,09,016,Miguel Hidalgo,09016,26784,24192,27648,26784,24883,24192,24106,27648,26784,24192,30240,24192,311645
RADIO MIL,94,484258,2143551,353,09,014,Benito Ju?írez,09014,37498,31450,38707,37498,38707,33869,37498,33178,REPOS.,REPOS.,REPOS.,REPOS.,288403
SALESIANO,95,481404,2150143,379,09,016,Miguel Hidalgo,09016,112493,113702,129946,115171,113357,99187,163382,165888,160704,145152,172368,58061,1549411
SAN FELIPE POPOTLA,96,481648,2151031,380,09,016,Miguel Hidalgo,09016,224986,181440,218419,206237,196301,159667,174096,190771,158026,142733,178416,133056,2164147
SAN JOAQUIN TACUBA,97,478238,2150738,386,09,016,Miguel Hidalgo,09016,200880,79834,91238,88387,38707,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,499046
RIO SAN JOAQUIN,98,477902,2150276,363,09,016,Miguel Hidalgo,09016,85709,65318,88474,64282,REHAB.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,303782
TACUBA,99,480210,2151387,459,09,016,Miguel Hidalgo,09016,107136,91930,107827,93744,102298,91930,107136,110592,109814,99187,120960,94349,1236902
TIZAPAN,100,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,26784,19354,96768,149990,168653,125798,120528,71885,88387,62899,78624,113702,1123373
VERONICA,101,481682,2148727,555,09,016,Miguel Hidalgo,09016,0,0,0,96422,99533,128218,160704,157594,152669,125798,151200,125798,1197936
VERONICA,102,481682,2148727,555,09,016,Miguel Hidalgo,09016,REPOS.,REPOS.,55296,0,0,0,0,0,0,0,0,0,55296
VIADUCTO,103,481343,2144628,556,09,014,Benito Ju?írez,09014,112493,89510,116122,88387,49766,24192,32141,24883,32141,41126,48384,41126,700272
DIRECTO #22,104,477696,2134789,144,09,012,Tlalpan,09012,104458,82253,74650,77674,80179,70157,85709,80179,61603,60480,51408,58061,886810
AJUSCO,105,483445,2136071,14,09,003,Coyoac?ín,09003,85709,77414,88474,93744,96768,84672,93744,102298,99101,82253,102816,77414,1084406
ALTILLO UNIVERSIDAD,106,481103,2138473,23,09,003,Coyoac?ín,09003,29462,REPAR.,REPAR.,34819,38707,33869,37498,44237,42854,38707,48384,38707,387245
BOSQUES DE TLATEMEYA,107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,93744,84672,96768,77674,80179,140314,139277,157594,149990,140314,175392,137894,1473811
CARACOL,108,482972,2134511,96,09,003,Coyoac?ín,09003,37498,36288,49766,72317,58061,65318,77674,74650,80352,70157,87696,62899,772675
CEDRAL,109,488152,2135509,103,09,003,Coyoac?ín,09003,88387,24192,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,112579
COUNTRY CLUB,110,485226,2139758,129,09,003,Coyoac?ín,09003,83030,74995,85709,83030,85709,74995,83030,85709,8035,REPAR.,REPAR.,REPAR.,664243
COLONIA DEL CARMEN FRAGATA,111,483260,2139989,127,09,003,Coyoac?ín,09003,211594,181440,207360,190166,196301,171763,190166,196301,187488,169344,211680,169344,2282947
COPILCO UNIVERSIDAD,112,480690,2137954,128,09,003,Coyoac?ín,09003,69638,43546,52531,48211,52531,45965,48211,52531,50890,43546,51408,43546,602554
DEPORTIVO CANTIL,113,483864,2138082,133,09,003,Coyoac?ín,09003,128563,21773,80179,13392,47002,108864,53568,POZ.PAR,18749,58061,72576,106445,709171
DEPORTIVO DURANGO,114,483374,2135359,134,09,003,Coyoac?ín,09003,141955,133056,154829,144634,149299,128218,144634,141005,155347,137894,172368,137894,1741133
EDUCACION #1,115,485357,2138170,147,09,003,Coyoac?ín,09003,117850,106445,121651,117850,96768,82253,91066,94003,91066,82253,102816,82253,1186272
EDUCACION #2 (N),116,486192,2137920,148,09,003,Coyoac?ín,09003,104458,91930,105062,152669,113357,87091,96422,99533,96422,87091,108864,87091,1229990
HUIPULCO,117,485681,2132491,176,09,012,Tlalpan,09012,72317,70157,80179,77674,80179,70157,99101,102298,99101,89510,111888,89510,1042070
LA CIENEGA,118,483898,2137741,205,09,003,Coyoac?ín,09003,112493,101606,116122,112493,116122,101606,112493,118886,117850,104026,130032,104026,1347754
LOS COYOTES,119,487314,2135852,214,09,003,Coyoac?ín,09003,171418,50803,REPAR.,REPAR.,176947,142733,158026,160358,155347,142733,178416,140314,1477094
LOS REYES COYOACAN,120,483778,2138641,215,09,003,Coyoac?ín,09003,88387,87091,99533,96422,99533,87091,96422,77414,74995,67738,84672,67738,1027037
METRO C.U.,121,481622,2136504,223,09,003,Coyoac?ín,09003,198202,159667,171418,192845,POZ.PAR,POZ.PAR,40176,41472,REPAR.,108864,154224,179021,1245888
MULTIF. COAPA #7,122,486679,2133212,233,09,012,Tlalpan,09012,166061,133056,152064,99101,REPAR.,REPAR.,REPAR.,REPAR.,128563,183859,229824,REPAR.,1092528
MULTIF. COAPA #8,123,487734,2132727,234,09,013,Xochimilco,09013,149990,162086,185242,179453,154829,133056,147312,157594,149990,135475,169344,135475,1859846
PASEOS DE TAXQUENA,124,486893,2138915,273,09,003,Coyoac?ín,09003,120528,108864,124416,120528,102298,REPAR.,REPAR.,REPAR.,REPAR.,101606,127008,101606,906854
PEDREGAL DE SAN FRANCISCO,125,482687,2138340,277,09,003,Coyoac?ín,09003,99101,87091,99533,96422,102298,REHAB.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,484445
PEDREGAL IMAN,126,481901,2135103,279,09,003,Coyoac?ín,09003,139277,128218,146534,37498,47002,77414,64282,63590,85709,74995,96768,82253,1043539
PERIFERICO #1,127,485573,2136312,293,09,003,Coyoac?ín,09003,74995,67738,49766,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,192499
PERIFERICO #2,128,486493,2134490,304,09,012,Tlalpan,09012,171418,152410,176947,168739,174182,152410,168739,176947,168739,176602,220752,176602,2084486
PERIFERICO #3,129,484822,2133935,305,09,012,Tlalpan,09012,18749,REPAR.,REPAR.,120528,124416,111283,123206,REPAR.,53568,108864,136080,41126,837821
PERIFERICO #4,130,484272,2133665,306,09,012,Tlalpan,09012,176774,159667,185242,176774,182477,159667,176774,185242,179453,162086,202608,162086,2108851
PERIFERICO #5,131,483200,2133848,307,09,012,Tlalpan,09012,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REPAR.,26784,58061,74995,50803,REPAR.,REPAR.,210643
PERIFERICO #6,132,484192,2132586,308,09,012,Tlalpan,09012,40176,26611,30413,29462,52531,48384,50890,52531,45533,45965,33264,26611,482371
PERIFERICO #7,133,483602,2132446,309,09,012,Tlalpan,09012,58925,24192,30413,29462,63590,58061,61603,66355,56246,65318,81648,16934,612749
PERIFERICO #8,134,483602,2132446,310,09,012,Tlalpan,09012,131242,123379,138240,136598,143770,125798,141955,0,0,0,0,0,940982
PERIFERICO #9,135,486233,2131345,311,09,013,Xochimilco,09013,99101,74995,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,174096
PERIFERICO #10,136,486333,2132216,294,09,013,Xochimilco,09013,158026,145152,165888,160704,165888,145152,147312,152064,149990,137894,175392,137894,1841357
PERIFERICO #11,137,488634,2132855,295,09,013,Xochimilco,09013,42854,120960,141005,136598,141005,120960,133920,138240,133920,43546,57456,38707,1249171
PERIFERICO #12,138,488153,2133115,296,09,012,Tlalpan,09012,REPAR.,REPAR.,88474,83030,88474,77414,85709,88474,85709,DESAR.,DESAR.,DESAR.,597283
PERIFERICO #13,139,486343,2136134,297,09,003,Coyoac?ín,09003,174096,149990,168653,163382,179712,157248,144634,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,1137715
PERIFERICO #14,140,488083,2134134,298,09,003,Coyoac?ín,09003,190166,174182,199066,192845,182477,159667,176774,185242,179453,162086,202608,162086,2166653
PERIFERICO #16,141,489444,2134015,300,09,013,Xochimilco,09013,109814,120960,135475,141955,124416,99187,123206,143770,152669,147571,184464,142733,1626221
PERIFERICO #17,142,489484,2134564,301,09,013,Xochimilco,09013,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,0
PERIFERICO #19,143,488874,2136877,303,09,003,Coyoac?ín,09003,REPOS.,REPOS.,REPOS.,REPOS.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,0
POZO 20 DE AGOSTO,144,487195,2138577,318,09,003,Coyoac?ín,09003,29462,55642,REPAR.,120528,171418,147571,166061,174182,166061,149990,187488,125798,1494202
PRADOS CHURUBUSCO,145,486699,2140007,320,09,003,Coyoac?ín,09003,136598,123379,141005,136598,141005,123379,133920,141005,136598,120960,154224,120960,1609632
PREPARATORIA #5 (N),146,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,195523,183859,212890,203558,207360,179021,200880,207360,200880,60480,223776,176602,2252189
REY MOCTEZUMA,147,483541,2137081,360,09,003,Coyoac?ín,09003,149990,137894,154829,152669,154829,135475,149990,157594,149990,133056,169344,135475,1781136
ROMERO DE TERREROS,148,482187,2138640,364,09,003,Coyoac?ín,09003,171418,157248,176947,168739,174182,152410,168739,124416,123206,118541,148176,118541,1802563
RUIZ CORTINEZ,149,484853,2136072,365,09,003,Coyoac?ín,09003,141955,128218,146534,133920,138240,120960,136598,141005,136598,133056,166320,130637,1654042
SAN FRANCISCO CULHUACAN,150,487793,2137344,382,09,003,Coyoac?ín,09003,139277,125798,141005,136598,143770,125798,139277,132710,128563,116122,136080,113702,1578701
SAN NICOLAS TOLENTINO,151,485838,2133075,418,09,012,Tlalpan,09012,104458,94349,107827,104458,107827,94349,104458,107827,104458,94349,117936,94349,1236643
SANTA URSULA COAPA,152,483956,2134956,449,09,003,Coyoac?ín,09003,72317,65318,74650,83030,85709,74995,83030,85709,83030,74995,93744,74995,951523
UNIVERSIDAD,153,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61603,53222,55296,58925,41472,38707,53568,41472,50890,41126,54432,50803,601517
VILLA OLIMPICA #1,154,480489,2134541,563,09,003,Coyoac?ín,09003,REHAB.,26611,30413,26784,27648,24192,26784,138240,133920,120960,151200,120960,827712
