GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,28715994,
2014,,,,,,,,,,,,,,,,,,,,,418997351,
,,519,,,,,,,,,,,,,,,,,,,458681917,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
MONTE SUR #2 ,303,487741,2125198,232,09,013,Xochimilco,09013,64282,58061,64282,62208,47803,53536,58925,58925,57024,58925,54432,56246,694649,0.02203 
NATIVITAS #1 ,304,489958,2127340,237,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NATIVITAS #2 ,305,490330,2126433,238,09,013,Xochimilco,09013,155347,142733,155347,127008,FS,FS,61603,61603,59616,61603,59616,61603,946079,0.03000 
NATIVITAS #3 ,306,490458,2126770,239,09,013,Xochimilco,09013,FS,38707,190166,163296,135761,149899,187488,187488,181440,187488,181440,187488,1790661,0.05678 
NORIA #1,307,486562,2130782,240,09,013,Xochimilco,09013,141955,125798,144634,134784,103255,117778,147312,147312,142560,147312,142560,147312,1642572,0.05209 
NORIA #2,308,487133,2129237,241,09,013,Xochimilco,09013,101779,94349,109814,95904,78397,87798,107136,109814,111456,115171,111456,115171,1238245,0.03926 
NORIA #3,309,487635,2129008,242,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NORIA #4,310,487975,2128974,243,09,013,Xochimilco,09013,195523,176602,203558,189216,145322,162748,206237,190166,194400,203558,199584,176774,2243688,0.07115 
NORIA #5,311,487231,2128266,244,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NORIA #6,312,488178,2127972,245,09,013,Xochimilco,09013,125885,116122,91066,129600,101343,113495,139277,144634,145152,149990,145152,144634,1546350,0.04903 
NORIA #7,313,489421,2127836,246,09,013,Xochimilco,09013,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
SAN LUIS TLAXIALTEMALCO,314,496162,2128409,414,09,013,Xochimilco,09013,FS,48384,42854,67392,49715,79233,109814,107136,132192,133920,129600,133920,1034160,0.03279 
PANTEON SAN LUCAS XOCHIMANCA,315,488329,2126886,269,09,013,Xochimilco,09013,91066,82253,91066,85536,65012,70667,88387,88387,85536,91066,85536,91066,1015578,0.03220 
PERIFERICO #8,316,483602,2132446,310,09,012,Tlalpan,09012,109814,99187,99101,106272,78397,92081,115171,115171,111456,115171,111456,115171,1268448,0.04022 
PERIFERICO #9,317,486233,2131345,311,09,013,Xochimilco,09013,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
PISTA OLIMPICA #1,318,489138,2132973,314,09,013,Xochimilco,09013,147312,135475,158026,145152,112815,124202,155347,155347,150336,155347,150336,155347,1745042,0.05533 
PISTA OLIMPICA #2,319,487790,2131726,315,09,013,Xochimilco,09013,128563,116122,120528,124416,91782,102788,128563,128563,124416,128563,124416,128563,1447283,0.04589 
RECLUSORIO SUR #1,320,487085,2126212,354,09,013,Xochimilco,09013,96422,87091,96422,93312,70749,79233,99101,99101,95904,99101,95904,61603,1073943,0.03405 
RECLUSORIO SUR #2,321,486650,2126527,355,09,013,Xochimilco,09013,2678,FS,10714,36288,47803,68525,85709,85709,82944,83030,80352,91066,674818,0.02140 
RESIDENCIAL SUR,322,486065,2131760,359,09,013,Xochimilco,09013,107136,94349,101779,93312,61188,81374,96422,88387,85536,88387,85536,99101,1082507,0.03433 
S-1,323,488882,2127217,366,09,013,Xochimilco,09013,160704,145152,131242,147744,108991,117778,147312,147312,142560,147312,142560,147312,1685979,0.05346 
S-2,324,487111,2126517,371,09,013,Xochimilco,09013,120528,99187,123206,116640,26770,2141,13392,13392,12960,13392,12960,5357,559925,0.01776 
S-3,325,489958,2126538,372,09,013,Xochimilco,09013,77674,70157,77674,75168,55452,62101,77674,77674,75168,77674,75168,77674,879258,0.02788 
S-4,326,486666,2126212,373,09,013,Xochimilco,09013,40176,36288,40176,38880,28682,47111,58925,58925,57024,58925,57024,58925,581061,0.01843 
S-5,327,489992,2126177,374,09,013,Xochimilco,09013,152669,137894,152669,147744,108991,85657,107136,107136,103680,107136,103680,107136,1421528,0.04508 
S-6,328,490912,2126096,375,09,013,Xochimilco,09013,149990,135475,149990,145152,107079,119920,149990,149990,145152,149990,145152,149990,1697870,0.05384 
S-7,329,492891,2126808,376,09,013,Xochimilco,09013,FE,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
S-8,330,488261,2127516,377,09,013,Xochimilco,09013,40176,82253,99101,93312,68837,79233,69638,FS,FS,FS,FS,53568,586118,0.01859 
S-9,331,486026,2130803,378,09,013,Xochimilco,09013,131242,118541,131242,127008,93694,104930,131242,131242,127008,131242,127008,131242,1485641,0.04711 
S-10,332,485222,2130406,367,09,013,Xochimilco,09013,42854,38707,42854,41472,17209,38546,48211,48211,46656,48211,46656,48211,507798,0.01610 
S-11,333,496467,2128172,368,09,013,Xochimilco,09013,10714,26611,29462,28512,17209,FE,FS,FS,FS,5357,12960,24106,154931,0.00491 
SANTIAGO TEPALCATLALPAN ,334,487217,2127605,451,09,013,Xochimilco,09013,FS,FS,FS,FS,FS,FS,10714,85709,82944,85709,82944,85709,433729,0.01375 
SAN GREGORIO ATL. #1,335,493006,2128467,383,09,013,Xochimilco,09013,69638,62899,66960,64800,28682,55677,64282,104458,101088,104458,101088,104458,928488,0.02944 
SAN GREGORIO ATL. #2,336,492890,2127862,384,09,013,Xochimilco,09013,117850,106445,85709,54432,38243,42828,40176,5357,FS,FS,FS,FS,491040,0.01557 
SAN LUIS #1,337,497615,2129035,394,09,013,Xochimilco,09013,53568,48384,53568,51840,38243,42828,53568,53568,51840,53568,51840,53568,606383,0.01923 
SAN LUIS #2,338,497783,2129060,405,09,013,Xochimilco,09013,163382,145152,171418,173664,130025,145617,133920,182131,176256,182131,176256,152669,1932621,0.06128 
SAN LUIS #3,339,497036,2129582,407,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN LUIS #4,340,497202,2129606,408,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN LUIS #5,341,497315,2129600,409,09,013,Xochimilco,09013,160704,147571,179453,176256,145322,158465,133920,227664,259200,267840,259200,270518,2386113,0.07566 
SAN LUIS #6,342,497439,2129597,410,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN LUIS #7,343,496647,2129289,411,09,013,Xochimilco,09013,141955,128218,120528,106272,80309,87798,109814,112493,108864,112493,108864,112493,1330101,0.04218 
SAN LUIS #8,344,496435,2128999,412,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN LUIS #9,345,496048,2129025,413,09,013,Xochimilco,09013,RH,RH,RH,111456,101343,111354,104458,141955,137376,141955,137376,141955,1129228,0.03581 
SAN LUIS #10,346,495713,2128981,395,09,013,Xochimilco,09013,115171,101606,120528,18144,FS,FS,FS,FS,FS,FS,FS,FS,355449,0.01127 
SAN LUIS #11,347,495413,2128559,396,09,013,Xochimilco,09013,74995,125798,149990,134784,93694,115637,109814,149990,145152,149990,145152,149990,1544986,0.04899 
SAN LUIS #12,348,495360,2128726,397,09,013,Xochimilco,09013,198202,176602,190166,176256,145322,169172,112493,219629,215136,115171,228096,238378,2184623,0.06927 
SAN LUIS #13,349,494961,2128603,398,09,013,Xochimilco,09013,112493,101606,115171,121824,93694,81374,53568,72317,69984,72317,69984,99101,1063433,0.03372 
SAN LUIS #14,350,493710,2128823,399,09,013,Xochimilco,09013,93744,84672,96422,69984,80309,87798,109814,109814,108864,112493,108864,109814,1172592,0.03718 
SAN LUIS #15,351,492970,2129043,400,09,013,Xochimilco,09013,66960,58061,69638,64800,49715,53536,69638,69638,67392,69638,67392,69638,776046,0.02461 
SAN LUIS #16,352,492704,2128176,401,09,013,Xochimilco,09013,42854,74995,88387,69984,40155,53536,88387,85709,80352,80352,77760,80352,862823,0.02736 
SAN LUIS #17,353,492917,2128568,402,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN LUIS #18,354,492829,2128339,403,09,013,Xochimilco,09013,214272,193536,222307,207360,158706,167031,208915,211594,204768,211594,204768,211594,2416445,0.07662 
SAN LUIS #19,355,491807,2127960,404,09,013,Xochimilco,09013,74995,67738,58925,28512,21033,42828,77674,74995,72576,74995,72576,72317,739164,0.02344 
SAN LUIS #20,356,490706,2127793,406,09,013,Xochimilco,09013,147312,133056,155347,139968,107079,134910,171418,168739,165888,168739,165888,171418,1829762,0.05802 
SAN LORENZO ATEMOAYA #1,357,489528,2127154,390,09,013,Xochimilco,09013,66960,60480,66960,64800,47803,53536,66960,66960,64800,66960,64800,66960,757979,0.02404 
SAN LORENZO ATEMOAYA #2,358,489441,2127276,391,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SANTA CRUZ ACALPIXCA #1,359,492715,2127316,440,09,013,Xochimilco,09013,2678,55642,61603,54432,45891,53536,61603,64282,62208,61603,44064,45533,613075,0.01944 
SANTA CRUZ ACALPIXCA #2,360,492727,2127595,441,09,013,Xochimilco,09013,FS,24192,80352,77760,59276,64243,80352,80352,77760,80352,77760,80352,782751,0.02482 
SANTA CRUZ XOCHITEPEC,361,486440,2128685,444,09,013,Xochimilco,09013,184810,166925,184810,168480,124288,154182,187488,195523,191808,198202,191808,179453,2127777,0.06747 
TEPEPAN #1,362,484817,2130992,485,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
TEPEPAN #2,363,484526,2130414,486,09,012,Tlalpan,09012,45533,43546,50890,46656,34418,36404,45533,2678,FS,FS,FS,FS,305658,0.00969 
TEPEPAN #3,364,485444,2131291,487,09,013,Xochimilco,09013,139277,123379,144634,137376,101343,113495,120528,147312,142560,112493,171072,101779,1555248,0.04932 
AUXILIAR XOTEPINGO #8-A,365,499453,2127639,71,09,011,Tl?íhuac,09011,37498,33869,37498,36288,37498,36288,37498,69638,67392,69638,67392,69638,600135,0.01903 
CERRILLOS #1,366,497979,2128002,105,09,013,Xochimilco,09013,58925,53222,56246,57024,58925,44064,58925,80352,62208,RH,RH,RH,529891,0.01680 
CERRILLOS #2,367,498560,2127688,106,09,011,Tl?íhuac,09011,48211,43546,48211,46656,48211,46656,48211,53568,23328,24106,23328,29462,483494,0.01533 
CERRILLOS #3,368,498585,2127177,107,09,011,Tl?íhuac,09011,139277,128218,139277,137376,133920,111456,120528,120528,116640,120528,116640,115171,1499559,0.04755 
ESCUDO NACIONAL #1,369,499305,2127979,153,09,011,Tl?íhuac,09011,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
ESCUDO NACIONAL #2,370,499028,2127046,154,09,011,Tl?íhuac,09011,29462,26611,29462,28512,29462,28512,29462,32141,31104,32141,31104,29462,357435,0.01133 
R-11,371,499184,2127397,335,09,011,Tl?íhuac,09011,66960,60480,66960,64800,66960,64800,66960,64282,62208,64282,62208,45533,756433,0.02399 
R-18,372,500141,2123254,336,09,009,Milpa Alta,09009,66960,60480,66960,64800,66960,64800,66960,53568,51840,53568,51840,53568,722304,0.02290 
R-19,373,498387,2122183,337,09,009,Milpa Alta,09009,13392,12096,13392,12960,13392,12960,13392,13392,12960,13392,12960,13392,157680,0.00500 
R-21,374,498543,2122563,339,09,009,Milpa Alta,09009,93744,84672,93744,90720,93744,90720,93744,91066,88128,91066,88128,91066,1090542,0.03458 
R-22,375,500132,2122660,340,09,009,Milpa Alta,09009,66960,60480,66960,64800,66960,64800,66960,66960,64800,66960,64800,66960,788400,0.02500 
R-24,376,499460,2123283,341,09,009,Milpa Alta,09009,58925,53222,58925,57024,58925,57024,58925,61603,59616,61603,59616,61603,707011,0.02242 
R-25,377,498704,2122951,342,09,009,Milpa Alta,09009,112493,101606,112493,108864,112493,108864,109814,112493,108864,112493,108864,112493,1321834,0.04192 
R-26,378,500353,2122335,343,09,009,Milpa Alta,09009,80352,72576,80352,77760,80352,77760,80352,80352,77760,80352,77760,80352,946080,0.03000 
R-28,379,500633,2123093,345,09,009,Milpa Alta,09009,88387,108864,120528,116640,117850,116640,120528,120528,116640,120528,116640,120528,1384301,0.04390 
S-12,380,498012,2128664,369,09,013,Xochimilco,09013,77674,70157,77674,75168,77674,75168,77674,88387,85536,88387,85536,88387,967422,0.03068 
S-13,381,498497,2128189,370,09,013,Xochimilco,09013,18749,16934,18749,18144,18749,18144,18749,21427,20736,21427,20736,21427,233971,0.00742 
SAN JUAN TEPENAHUAC,382,500689,2121549,387,09,009,Milpa Alta,09009,101779,91930,101779,98496,101779,98496,101779,101779,98496,101779,98496,101779,1198367,0.03800 
SAN PEDRO ATOCPAN ,383,494862,2124268,419,09,009,Milpa Alta,09009,66960,60480,66960,64800,66960,64800,66960,56246,54432,56246,54432,56246,735522,0.02332 
SANTA CATARINA #3,384,499488,2133877,431,09,011,Tl?íhuac,09011,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SANTA CATARINA #5,385,497411,2134398,433,09,011,Tl?íhuac,09011,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
SANTA CATARINA #6,386,495695,2134617,434,09,011,Tl?íhuac,09011,109814,99187,109814,106272,109814,106272,109814,109814,106272,109814,106272,109814,1292973,0.04100 
SANTA CATARINA #7,387,494188,2134405,435,09,011,Tl?íhuac,09011,40176,36288,40176,38880,40176,38880,40176,40176,38880,40176,38880,40176,473040,0.01500 
TECOMITL #8,388,500542,2124228,483,09,009,Milpa Alta,09009,128563,116122,128563,124416,128563,124416,128563,133920,51840,91066,88128,91066,1335226,0.04234 
TECOMITL #10,389,501476,2124659,464,09,009,Milpa Alta,09009,120528,113702,123206,121824,123206,116640,125885,112493,116640,120528,116640,117850,1429142,0.04532 
TECOMITL #11,390,501597,2124497,465,09,009,Milpa Alta,09009,133920,120960,133920,129600,133920,129600,133920,131242,101088,104458,101088,104458,1458174,0.04624 
TECOMITL #12,391,502121,2124423,466,09,009,Milpa Alta,09009,133920,125798,133920,134784,136598,129600,139277,120528,127008,131242,127008,125885,1565568,0.04964 
TECOMITL #13,392,501779,2124406,467,09,009,Milpa Alta,09009,93744,87091,93744,93312,93744,90720,96422,99101,103680,107136,103680,104458,1166832,0.03700 
TECOMITL #14,393,502113,2124639,468,09,009,Milpa Alta,09009,144634,101606,147312,145152,147312,139968,149990,115171,119232,123206,119232,120528,1573343,0.04989 
TECOMITL #15,394,502326,2124457,469,09,009,Milpa Alta,09009,120528,113702,123206,121824,123206,116640,125885,120528,124416,128563,124416,123206,1466120,0.04649 
TECOMITL #17,395,502892,2124315,471,09,009,Milpa Alta,09009,131242,123379,131242,132192,133920,127008,136598,131242,134784,139277,134784,133920,1589588,0.05041 
TECOMITL #21,396,503900,2123602,476,15,025,Chalco,15025,139277,130637,136598,137376,139277,132192,141955,125885,129600,133920,129600,128563,1604880,0.05089 
TULYEHUALCO #2,397,499862,2127969,505,09,011,Tl?íhuac,09011,83030,74995,80352,80352,40176,FE,48211,96422,93312,96422,93312,93744,880328,0.02792 
TULYEHUALCO #4,398,499774,2128224,506,09,011,Tl?íhuac,09011,117850,108864,117850,116640,120528,111456,120528,107136,103680,26784,RE,RE,1051316,0.03334 
TULYEHUALCO #5,399,499404,2128348,507,09,011,Tl?íhuac,09011,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TULYEHUALCO #6,400,499184,2128488,508,09,011,Tl?íhuac,09011,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
TULYEHUALCO #7,401,498855,2128500,509,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TULYEHUALCO #8,402,498541,2128735,510,09,013,Xochimilco,09013,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
TULYEHUALCO #9,403,498153,2128420,511,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TULYEHUALCO #10,404,498224,2129148,504,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
AUXILIAR XOTEPINGO #1-B,405,485577,2137590,51,09,003,Coyoac?ín,09003,133920,101606,136598,127008,136598,132192,133920,133920,127008,128563,127008,128563,1546904,0.04905 
AUXILIAR XOTEPINGO #1-C,406,485987,2137418,52,09,003,Coyoac?ín,09003,128563,118541,123206,121824,133920,127008,131242,133920,127008,128563,124416,128563,1526774,0.04841 
AUXILIAR XOTEPINGO #2-A,407,485605,2137177,53,09,003,Coyoac?ín,09003,107136,99187,109814,98496,107136,103680,104458,109814,103680,107136,103680,104458,1258675,0.03991 
AUXILIAR XOTEPINGO #2-B,408,485917,2137244,54,09,003,Coyoac?ín,09003,101779,94349,104458,93312,104458,98496,101779,104458,98496,101779,95904,101779,1201047,0.03808 
AUXILIAR XOTEPINGO #2-C,409,486157,2137340,55,09,003,Coyoac?ín,09003,42854,38707,42854,49248,77674,75168,77674,77674,75168,74995,69984,48211,750211,0.02379 
AUXILIAR XOTEPINGO #3-A,410,483454,2134623,56,09,003,Coyoac?ín,09003,72317,53222,72317,59616,69638,59616,64282,72317,57024,66960,69984,72317,789610,0.02504 
AUXILIAR XOTEPINGO #3-B,411,486020,2137158,57,09,003,Coyoac?ín,09003,117850,118541,136598,127008,139277,129600,133920,139277,119232,131242,132192,139277,1564014,0.04959 
AUXILIAR XOTEPINGO #3-C,422,486332,2137150,58,09,003,Coyoac?ín,09003,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
AUXILIAR XOTEPINGO #4-A,412,485612,2137181,59,09,003,Coyoac?ín,09003,141955,130637,144634,134784,144634,137376,144634,125885,44064,56246,54432,56246,1315527,0.04172 
AUXILIAR XOTEPINGO #4-B,413,486172,2136994,60,09,003,Coyoac?ín,09003,115171,106445,115171,106272,115171,111456,117850,117850,111456,115171,111456,93744,1337213,0.04240 
AUXILIAR XOTEPINGO #5-C,414,486633,2136909,64,09,003,Coyoac?ín,09003,117850,111283,123206,111456,123206,119232,115171,91066,88128,88387,82944,88387,1260316,0.03996 
AUXILIAR XOTEPINGO #7-A,415,486470,2136519,68,09,003,Coyoac?ín,09003,74995,67738,74995,72576,74995,72576,74995,80352,77760,61603,75168,FE,807753,0.02561 
AUXILIAR XOTEPINGO #7-B,416,486598,2136644,69,09,003,Coyoac?ín,09003,131242,120960,128563,101088,125885,121824,131242,128563,124416,128563,121824,125885,1490055,0.04725 
AUXILIAR XOTEPINGO #8-B,417,486733,2136560,72,09,003,Coyoac?ín,09003,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
AUXILIAR XOTEPINGO #9-B,418,486837,2136442,75,09,003,Coyoac?ín,09003,61603,55642,61603,59616,61603,59616,61603,109814,106272,109814,106272,109814,963272,0.03055 
AUXILIAR XOTEPINGO #10-C,419,487154,2136372,47,09,003,Coyoac?ín,09003,64282,16934,74995,72576,74995,72576,74995,61603,59616,61603,59616,61603,755394,0.02395 
AUXILIAR XOTEPINGO #11-A,420,487154,2136372,48,09,003,Coyoac?ín,09003,101779,91930,101779,98496,101779,98496,101779,101779,98496,101779,98496,101779,1198367,0.03800 
AUXILIAR XOTEPINGO #11-B,421,487554,2136262,49,09,003,Coyoac?ín,09003,56246,50803,56246,54432,56246,54432,56246,56246,RE,RE,RE,RE,440897,0.01398 
GRANJAS AGRICOLA COAPA,423,487793,2133865,167,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
PENA POBRE #2,424,480997,2133774,281,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
PERIFERICO #18,425,489804,2135343,302,09,013,Xochimilco,09013,139277,125798,139277,134784,139277,134784,139277,139277,134784,139277,134784,139277,1639873,0.05200 
ABRIL #24,426,487773,2146810,3,09,017,Venustiano Carranza,09017,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
BALBUENA #1,427,488461,2146452,82,09,017,Venustiano Carranza,09017,117850,106445,117850,114048,84134,94223,117850,117850,114048,117850,114048,117850,1334046,0.04230 
BALBUENA #2,428,489467,2146172,83,09,017,Venustiano Carranza,09017,93744,67738,74995,72576,53540,59960,74995,74995,72576,91066,88128,91066,915379,0.02903 
CARLOS GRACIDAS,429,495092,2140748,97,09,007,Iztapalapa,09007,FS,84672,93744,90720,66924,74950,93744,93744,90720,93744,90720,93744,967426,0.03068 
CD. DEPORTIVA #1,430,488334,2145956,101,09,017,Venustiano Carranza,09017,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
CD. DEPORTIVA #2,431,490524,2145198,102,09,006,Iztacalco,09006,72317,99187,109814,106272,78397,87798,109814,109814,106272,109814,106272,109814,1205585,0.03823 
CERRO DE LA ESTRELLA #1,432,488786,2137752,108,09,007,Iztapalapa,09007,107136,91930,96422,85536,51627,74950,91066,69638,80352,66960,75168,72317,963102,0.03054 
CERRO DE LA ESTRELLA #2,433,491381,2137359,109,09,007,Iztapalapa,09007,FS,65318,72317,69984,51627,51394,40176,72317,69984,72317,69984,72317,707735,0.02244 
COYUYA,434,487986,2144947,130,09,006,Iztacalco,09006,141955,99187,112493,106272,78397,89940,109814,112493,106272,109814,108864,109814,1285315,0.04076 
FRACC. DEL PARQUE ,435,487480,2146796,157,09,017,Venustiano Carranza,09017,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,0,0.00000 
FRACCIONAMIENTO BANJIDAL,436,485761,2140779,158,09,007,Iztapalapa,09007,FS,128218,141955,137376,78397,113495,141955,141955,137376,141955,137376,141955,1442013,0.04573 
GRANJAS ESTRELLA #1,437,490215,2136947,168,09,007,Iztapalapa,09007,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
GRANJAS ESTRELLA #2,438,490395,2136697,169,09,007,Iztapalapa,09007,53568,41126,42854,38880,28682,32121,37498,37498,33696,32141,28512,29462,436038,0.01383 
GRANJAS ESTRELLA #3,439,490025,2136317,170,09,007,Iztapalapa,09007,125885,118541,131242,127008,91782,102788,128563,125885,116640,128563,124416,123206,1444519,0.04581 
GRANJAS SAN ANTONIO,440,488920,2141217,171,09,007,Iztapalapa,09007,FS,135475,141955,137376,107079,122061,144634,123206,116640,123206,121824,123206,1396662,0.04429 
IZTACALCO,441,487547,2143777,183,09,006,Iztacalco,09006,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,0,0.00000 
IZTAPALAPA #1 ,442,490429,2140629,184,09,007,Iztapalapa,09007,8035,16934,8035,FS,FS,FS,FS,FS,FS,FS,FS,FS,33004,0.00105 
IZTAPALAPA #2 ,443,489524,2140324,186,09,007,Iztapalapa,09007,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
IZTAPALAPA #4 ,444,493536,2140947,187,09,007,Iztapalapa,09007,53568,70157,93744,80352,66924,70667,83030,93744,82944,64282,82944,72317,914673,0.02900 
IZTAPALAPA #8 ,445,495991,2139156,189,09,007,Iztapalapa,09007,FS,82253,91066,88128,65012,70667,96422,96422,93312,77674,75168,77674,913798,0.02898 
SANTA ANITA ,446,487121,2145200,424,09,006,Iztacalco,09006,FS,55642,61603,59616,24858,49253,61603,61603,59616,61603,59616,61603,616616,0.01955 
PANTEON CIVIL #1,447,492110,2138566,266,09,007,Iztapalapa,09007,RH,RH,RH,RH,9561,RH,RH,RH,RH,RH,RH,RH,9561,0.00030 
PANTEON CIVIL #2,448,492185,2138296,267,09,007,Iztapalapa,09007,FS,123379,136598,132192,74573,109212,136598,104458,132192,136598,132192,136598,1354590,0.04295 
PANTEON CIVIL #3,449,491725,2138701,268,09,007,Iztapalapa,09007,13392,77414,85709,82944,47803,53536,85709,96422,82944,85709,82944,85709,880235,0.02791 
PENON #1,450,496929,2143163,282,09,007,Iztapalapa,09007,FS,21773,FS,124416,5736,FS,FS,FS,FS,FS,FS,FS,151925,0.00482 
PENON #2,451,496431,2141160,283,09,007,Iztapalapa,09007,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
PENON #2 NUEVO,452,496431,2141160,284,09,007,Iztapalapa,09007,64282,58061,61603,90720,65012,85657,104458,104458,101088,99101,80352,85709,1000501,0.03173 
PENON #3,453,497573,2142887,285,09,007,Iztapalapa,09007,FS,133056,147312,142560,57364,14990,FS,32141,FS,FS,FS,FS,527423,0.01672 
PENON #4,454,495210,2141993,286,09,007,Iztapalapa,09007,21427,72576,58925,33696,47803,27838,FS,FS,FS,FS,FS,FS,262265,0.00832 
PENON #4 NUEVO,455,495210,2141993,287,09,007,Iztapalapa,09007,FS,38707,72317,67392,70749,109212,125885,93744,75168,69638,69984,93744,886540,0.02811 
PENON #5,456,485811,2136521,288,09,003,Coyoac?ín,09003,115171,108864,120528,108864,72661,92081,112493,117850,116640,120528,116640,123206,1325526,0.04203 
PENON #6,457,497336,2141954,289,09,007,Iztapalapa,09007,179453,169344,21427,137376,133849,147758,176774,182131,176256,29462,FS,FS,1353830,0.04293 
PENON #7,458,496897,2141745,290,09,007,Iztapalapa,09007,149990,137894,152669,134784,74573,109212,158026,149990,145152,149990,152928,166061,1681269,0.05331 
PENON #8,459,496437,2142004,291,09,007,Iztapalapa,09007,FS,113702,125885,119232,89870,77091,125885,125885,121824,125885,121824,125885,1272968,0.04037 
PENON #9,460,496509,2142463,292,09,007,Iztapalapa,09007,18749,2419,5357,101088,95606,38546,FS,FS,FS,FS,59616,109814,431195,0.01367 
PURISIMA IZTAPALAPA #2,461,492326,2140858,328,09,007,Iztapalapa,09007,8035,89510,80352,82944,68837,59960,66960,61603,62208,72317,36288,32141,721155,0.02287 
PURISIMA IZTAPALAPA #3,462,492326,2140858,329,09,007,Iztapalapa,09007,174096,157248,174096,168480,124288,139192,174096,174096,168480,179453,173664,179453,1986642,0.06300 
PURISIMA IZTAPALAPA #7,463,492584,2141270,332,09,007,Iztapalapa,09007,FE,FE,FE,FE,22946,FE,FE,FE,FE,FE,FE,FE,22946,0.00073 
REFORMA IXTLACIHUATL ,464,486237,2143522,356,09,006,Iztacalco,09006,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0,0.00000 
SAN JUANICO IZTAPALAPA,465,487813,2142061,389,09,007,Iztapalapa,09007,88387,77414,58925,67392,38243,59960,64282,32141,FS,FS,FS,FS,486744,0.01543 
SAN LORENZO TEZONCO,466,492660,2136245,392,09,007,Iztapalapa,09007,C,C,C,C,C,C,C,C,C,C,C,C,0,0.00000 
