GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,28715994,
2014,,,,,,,,,,,,,,,,,,,,,418997351,
,,519,,,,,,,,,,,,,,,,,,,458681917,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
TEPEXPAN NORTE TN-2,46,501721,2168100,489,15,002,Acolman,15002,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN NORTE TN-3,47,502240,2168140,490,15,002,Acolman,15002,111262,142053,150737,126225,133566,123367,127305,119985,114951,124007,120786,118716,1512960,0.04798 
TEPEXPAN NORTE TN-4 9 SUB K,48,502776,2168165,491,15,002,Acolman,15002,119821,105938,115744,117993,127759,88502,124537,122712,120298,126826,123531,124652,1418313,0.04497 
TEPEXPAN SUR TS-1 ,49,499548,2167929,492,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN SUR TS-2 ,50,500223,2167968,493,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN SUR TS-3 ,51,499945,2167870,494,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA DE CARPIO VC-1 ,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102703,91492,96902,101529,107434,99230,102397,103623,98912,107097,104315,112780,1228414,0.03895 
VENTA DE CHARCO VCH-1,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,145496,127607,137278,96041,98723,91184,94095,103623,98912,107097,104315,112780,1317151,0.04177 
VENTA DE CHARCO VCH-2,54,500079,2168895,538,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA DE CHARCO VCH-3,55,500346,2168435,539,15,033,Ecatepec de Morelos,15033,193995,170945,183037,167386,177120,163595,168817,166343,163071,174737,170199,184010,2083255,0.06606 
VENTA DE CHARCO VCH-4,56,500586,2168002,540,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA OJO DE AGUA VO- 1 ,57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,154055,132422,139970,131713,136470,128730,132840,147254,93565,146554,142747,154331,1640651,0.05202 
VENTA OJO DE AGUA VO- 2 ,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,162614,142053,150737,120737,95819,152867,154979,160889,157724,138099,134512,145427,1716457,0.05443 
VENTA OJO DE AGUA VO- 3 ,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108409,96307,102286,104273,110337,101912,105165,155435,152377,115552,112551,121684,1386288,0.04396 
VENTA OJO DE AGUA VO- 4 ,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA OJO DE AGUA VO- 5 ,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102703,91492,96902,101529,107434,99230,102397,109077,104258,112734,109806,118716,1256278,0.03984 
VENTA OJO DE AGUA VO- 6 ,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,142643,125199,134586,128969,133566,126049,130072,139073,136338,146554,142747,154331,1640127,0.05201 
VENTA OJO DE AGUA VO- 7 ,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,148349,130014,137278,139945,145181,136776,141142,147254,141684,129644,159218,172138,1728623,0.05481 
VENTA OJO DE AGUA VO- 8 ,64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99850,86676,91519,107017,113241,104594,107932,122712,117625,126826,123531,133556,1335079,0.04234 
VENTA OJO DE AGUA VO- 9 ,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136938,120384,129203,134457,87108,147504,152212,149981,147031,157827,153728,166203,1682576,0.05335 
VENTA OJO DE AGUA VO-10 ,66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,131232,115568,123819,134457,139373,131412,135607,133619,128318,138099,134512,145427,1591443,0.05046 
VENTA OJO DE AGUA VO-11 ,67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,128379,113161,121128,128969,133566,126049,130072,130893,125645,135281,131767,121684,1526594,0.04841 
VENTA OJO DE AGUA VO-12 ,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,191142,168537,180346,139945,185831,174323,177119,179977,176437,188829,183924,198850,2145260,0.06803 
VENTA OJO DE AGUA VO-13 ,69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,156908,137237,145353,156410,116144,163595,166049,160889,157724,169101,164708,178074,1872192,0.05937 
VENTA OJO DE AGUA VO-14 ,70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171172,149276,158812,161898,168409,158231,132840,169070,165744,177556,156473,186978,1956459,0.06204 
ABASOLO JARDIN ,71,484606,2150489,2,09,015,Cuauht??moc,09015,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
ACACIAS,72,481862,2140960,4,09,014,Benito Ju?írez,09014,FS,FS,FS,FS,FS,FS,45533,50890,31104,45533,64800,40176,278036,0.00882 
ALAMEDA DE SANTA MARIA,73,483553,2150442,15,09,015,Cuauht??moc,09015,RH,FS,RH,FS,72317,121824,123206,109814,106272,117850,33696,FE,684979,0.02172 
ALAMEDA DE TACUBAYA,74,480571,2145040,16,09,016,Miguel Hidalgo,09016,166061,147571,179453,171072,182131,178848,182131,184810,176256,179453,178848,166061,2092695,0.06636 
ALAMOS JARDIN #1,75,485190,2144841,17,09,014,Benito Ju?írez,09014,45533,104026,120528,111456,117850,114048,93744,64282,51840,91066,103680,72317,1090370,0.03458 
ALAMOS JARDIN #2,76,485124,2145120,18,09,014,Benito Ju?írez,09014,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
ALBERT Y BERLIN,77,485377,2141715,19,09,014,Benito Ju?írez,09014,131242,118541,115171,106272,112493,129600,136598,131242,124416,83030,FS,61603,1250208,0.03964 
ALGARIN,78,485104,2145574,21,09,015,Cuauht??moc,09015,72317,65318,74995,67392,64282,75168,64282,77674,72576,69638,64800,72317,840759,0.02666 
ALTAVISTA,79,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,66960,FS,FS,FS,FS,FS,24106,FS,FS,FS,FS,32141,123207,0.00391 
AMADO NERVO ,80,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
ANTONIO M. ANZA,81,483287,2146238,36,09,015,Cuauht??moc,09015,107136,70157,FS,FS,FS,25920,125885,136598,129600,133920,132192,117850,979258,0.03105 
ARENAL SAN ANGEL,82,480917,2139244,38,09,003,Coyoac?ín,09003,93744,128218,133920,119232,115171,95904,88387,42854,67392,99101,114048,139277,1237248,0.03923 
ARNAIZ ROSENDO ,83,480411,2143138,39,09,014,Benito Ju?írez,09014,5357,89510,96422,90720,88387,41472,48211,104458,90720,80352,93312,72317,901238,0.02858 
AV. D. CASTILLO,84,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
AXOTLA,85,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,FS,FS,PA,PA,PA,10368,21427,10714,15552,10714,23328,13392,105495,0.00335 
BENJAMIN FRANKLIN,86,480957,2145692,87,09,016,Miguel Hidalgo,09016,8035,7258,16070,18144,10714,12960,10714,16070,12960,26784,15552,18749,174010,0.00552 
CAMPESTRE,87,483850,2140451,92,09,014,Benito Ju?írez,09014,37498,33869,37498,36288,37498,36288,37498,37498,36288,37498,51840,88387,507948,0.01611 
CAMPOS ELISEOS ,88,478852,2148058,94,09,016,Miguel Hidalgo,09016,FS,FS,FS,FS,56246,62208,66960,69638,62208,66960,67392,34819,486431,0.01542 
CASA AMARILLA,89,480065,2145785,98,09,016,Miguel Hidalgo,09016,74995,104026,104458,98496,93744,101088,115171,91066,132192,107136,124416,123206,1269994,0.04027 
CEDROS Y MOLIERE,90,478706,2148642,104,09,016,Miguel Hidalgo,09016,69638,70157,72317,69984,56246,67392,66960,83030,69984,80352,49248,RH,755308,0.02395 
CHAPULTEPEC MORALES,91,480327,2148642,113,09,016,Miguel Hidalgo,09016,69638,FS,FS,33696,195523,189216,195523,187488,184032,179453,178848,112493,1525910,0.04839 
CICERON,92,478413,2148337,119,09,016,Miguel Hidalgo,09016,66960,65318,72317,67392,77674,57024,77674,32141,49248,64282,69984,69638,769652,0.02441 
DIAGONAL SAN ANTONIO,93,484551,2144735,139,09,014,Benito Ju?írez,09014,85709,74995,66960,41472,74995,80352,53568,50890,57024,53568,51840,56246,747619,0.02371 
DIRECTO #22,94,477696,2134789,144,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
HUERTAS DEL CARMEN,95,480757,2138752,175,09,003,Coyoac?ín,09003,66960,89510,91066,80352,74995,15552,13392,8035,7776,5357,31104,64282,548381,0.01739 
IRRIGACION,96,478175,2149700,177,09,016,Miguel Hidalgo,09016,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
JARDIN DE SAN JACINTO,97,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,72317,53222,74995,44064,125885,212544,158026,120528,165888,267840,241056,125885,1662250,0.05271 
JARDINES DEL PEDREGAL #1 ,98,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,85709,79834,88387,77760,58925,82944,83030,83030,64800,72317,44064,56246,877046,0.02781 
JARDINES DEL PEDREGAL #2 ,99,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,0,0.00000 
JARDINES DEL PEDREGAL #3 ,100,479590,2136089,199,09,003,Coyoac?ín,09003,PA,PA,PA,PA,PA,PA,PA,RN,RN,RN,RN,RN,0,0.00000 
JARDINES DEL PEDREGAL #4-B,101,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
JARDINES DEL PEDREGAL #5-A,102,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
JARDINES DEL PEDREGAL #5-B,103,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,FS,FS,FS,FS,FS,FS,FS,FS,FE,FE,FS,FS,0,0.00000 
JARDIN MORELOS ,104,481303,2145227,194,09,016,Miguel Hidalgo,09016,139277,125798,141955,132192,133920,127008,136598,123206,127008,125885,127008,131242,1571097,0.04982 
JARDIN POMBO,105,480823,2144109,195,09,014,Benito Ju?írez,09014,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
LA CAMPANA,106,480797,2141915,204,09,014,Benito Ju?írez,09014,149990,142733,133920,98496,144634,160704,141955,131242,152928,149990,139968,158026,1704586,0.05405 
HORMIGA,107,479959,2146530,174,09,016,Miguel Hidalgo,09016,53568,72576,50890,64800,42854,44064,58925,64282,57024,58925,57024,74995,699927,0.02219 
LA HUERTA,108,483034,2142593,206,09,014,Benito Ju?írez,09014,139277,137894,149990,134784,149990,106272,144634,147312,145152,77674,103680,139277,1575936,0.04997 
LAGO GINEBRA,109,479224,2150276,209,09,016,Miguel Hidalgo,09016,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0,0.00000 
LEGARIA,110,478689,2150496,210,09,016,Miguel Hidalgo,09016,149990,135475,141955,134784,163382,160704,26784,117850,114048,120528,106272,125885,1497657,0.04749 
MAR MEDITERRANEO,111,481776,2150834,216,09,016,Miguel Hidalgo,09016,69638,60480,69638,64800,66960,67392,69638,69638,67392,69638,67392,69638,812244,0.02576 
MARINA NACIONAL #1,112,481481,2149520,217,09,016,Miguel Hidalgo,09016,26784,31450,40176,46656,21427,23328,16070,37498,80352,85709,101088,101779,612317,0.01942 
MARINA NACIONAL #3,113,480760,2150404,218,09,016,Miguel Hidalgo,09016,13392,12096,13392,12960,13392,12960,10714,16070,20736,10714,41472,93744,271642,0.00861 
MARINA NACIONAL #4,114,480221,2151033,219,09,016,Miguel Hidalgo,09016,158026,169344,195523,184032,190166,189216,195523,198202,171072,190166,181440,152669,2175379,0.06898 
MARTIRES DE TACUBAYA ,115,480664,2144482,220,09,014,Benito Ju?írez,09014,FS,FS,FS,FS,77674,95904,107136,99101,90720,93744,62208,32141,658628,0.02088 
MIGUEL ALEMAN,116,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
MIRAFLORES,117,480622,2143758,228,09,014,Benito Ju?írez,09014,FS,FS,FS,90720,144634,142560,144634,107136,139968,139277,142560,80352,1131841,0.03589 
MIRAVALLE,118,485274,2140695,229,09,014,Benito Ju?írez,09014,131242,84672,136598,116640,131242,132192,144634,133920,127008,104458,FE,56246,1298852,0.04119 
MODERNA,119,485903,2144382,230,09,014,Benito Ju?írez,09014,RH,RH,RH,FS,FS,FS,32141,123206,129600,141955,150336,85709,662947,0.02102 
MOLINO DEL REY ,120,479642,2147289,231,09,016,Miguel Hidalgo,09016,40176,43546,56246,54432,37498,28512,42854,48211,38880,48211,49248,45533,533347,0.01691 
NATIVITAS,121,485550,2142726,236,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NATIVITAS ,122,485550,2142726,236,09,014,Benito Ju?írez,09014,206237,176602,160704,121824,136598,124416,136598,136598,124416,112493,85536,147312,1669334,0.05293 
NORMANDIA,123,485856,2141928,247,09,007,Iztapalapa,09007,80352,135475,144634,142560,171418,165888,171418,61603,FS,72317,155520,128563,1429748,0.04534 
NUEVO MIGUEL ALEMAN,124,485108,2143877,249,09,014,Benito Ju?írez,09014,125885,118541,125885,95904,128563,121824,99101,42854,98496,128563,108864,117850,1312330,0.04161 
ORTIZ RUBIO ,125,485111,2142220,253,09,014,Benito Ju?írez,09014,112493,99187,45533,95904,109814,106272,109814,109814,106272,109814,106272,107136,1218325,0.03863 
P. MARISCAL SUCRE,126,483060,2143897,254,09,014,Benito Ju?írez,09014,182131,130637,149990,FS,104458,168480,117850,174096,165888,176774,165888,176774,1712966,0.05432 
PARQUE DE LOS VENADOS,127,483779,2141901,270,09,014,Benito Ju?írez,09014,147312,123379,123206,134784,152669,124416,83030,216950,217728,133920,57024,107136,1621554,0.05142 
