GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,20196895,
1991,,,,,,,,,,,,,,,,,,,,,527144288,
,,488,,,,,,,,,,,,,,,,,,,552661004,
ALTAVISTA,39,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,152064,149990,120960,423014,122932,153965,134784,125798,414547,120472,121651,123206,2163385,
AMADO NERVO ,40,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
ANTONIO M. ANZA,41,483287,2146238,36,09,015,Cuauht??moc,09015,49766,50890,41126,141782,41203,45619,44064,4838,94522,27469,RE,RE,541280,
ARENAL SAN ANGEL,42,480917,2139244,38,09,003,Coyoac?ín,09003,118886,123206,106445,348538,101289,128304,101088,94349,323741,94082,118886,85709,1744523,
ARNAIZ ROSENDO ,43,480411,2143138,39,09,014,Benito Ju?írez,09014,52531,50890,53222,156643,45522,74131,82944,29030,186106,54084,RH,RH,785104,
AV. D. CASTILLO,44,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
AXOTLA,45,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,47002,45533,33869,126403,36734,42768,36288,9677,88733,25787,5530,34819,533142,
BENJAMIN FRANKLIN,46,480957,2145692,87,09,016,Miguel Hidalgo,09016,11059,34819,31450,77328,22472,37066,31104,29030,97200,28247,38707,37498,475980,
CAMPESTRE,47,483850,2140451,92,09,014,Benito Ju?írez,09014,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
CAMPOS ELISEOS ,48,478852,2148058,94,09,016,Miguel Hidalgo,09016,110592,109814,91930,312336,90768,88387,18144,36288,142819,41505,63590,58925,1165099,
CASA AMARILLA,49,480065,2145785,98,09,016,Miguel Hidalgo,09016,171418,155347,118541,445306,129410,148262,127008,128218,403488,117258,160358,152669,2257282,
CEDROS Y MOLIERE,50,478706,2148642,104,09,016,Miguel Hidalgo,09016,91238,93744,82253,267235,77661,74131,90720,77414,242266,70405,96768,93744,1357580,
CHAPULTEPEC MORALES,51,480327,2148642,113,09,016,Miguel Hidalgo,09016,85709,85709,55642,227059,65986,65578,36288,58061,159926,46476,74650,99101,1060184,
CICERON,52,478413,2148337,119,09,016,Miguel Hidalgo,09016,71885,69638,62899,204422,59407,74131,64800,55642,194573,56545,44237,45533,1003712,
DIAGONAL SAN ANTONIO,53,484551,2144735,139,09,014,Benito Ju?írez,09014,35942,133920,118541,288403,83813,142560,121824,94349,358733,104251,129946,147312,1759594,
DIRECTO #22,54,477696,2134789,144,09,012,Tlalpan,09012,107827,101779,84672,294278,85520,111197,25920,26611,163728,47581,30413,2678,1082205,
HUERTAS DEL CARMEN,55,480757,2138752,175,09,003,Coyoac?ín,09003,102298,99101,84672,286070,83135,111197,98496,72576,282269,82030,88474,99101,1489418,
IRRIGACION,56,478175,2149700,177,09,016,Miguel Hidalgo,09016,52531,53568,50803,156902,45597,54173,38880,RH,93053,27042,RH,RH,572549,
JARDIN DE SAN JACINTO,57,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,160358,158026,118541,436925,126975,153965,145152,67738,366854,106612,88474,74995,2004614,
JARDINES DEL PEDREGAL #1 ,58,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0,
JARDINES DEL PEDREGAL #2 ,59,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,11059,13392,12096,36547,10621,11405,0,0,11405,3314,PA,0,109839,
JARDINES DEL PEDREGAL #3 ,60,479590,2136089,199,09,003,Coyoac?ín,09003,RN,RN,RN,0,0,RN,RN,RH,0,0,RH,RH,0,
JARDINES DEL PEDREGAL #4-B,61,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,105062,112493,82253,299808,87127,99792,72576,101606,273974,79620,116122,109814,1540248,
JARDINES DEL PEDREGAL #5-A,62,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0,
JARDINES DEL PEDREGAL #5-B,63,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,110592,120528,104026,335146,97397,122602,127008,113702,363312,105582,132710,99101,1831705,
JARDIN MORELOS ,64,481303,2145227,194,09,016,Miguel Hidalgo,09016,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
JARDIN POMBO,65,480823,2144109,195,09,014,Benito Ju?írez,09014,30413,42854,55642,128909,37462,76982,64800,60480,202262,58779,55296,61603,875483,
LA CAMPANA,66,480797,2141915,204,09,014,Benito Ju?írez,09014,154829,149990,130637,435456,126548,151114,150336,140314,441763,128381,154829,149990,2314187,
HORMIGA,67,479959,2146530,174,09,016,Miguel Hidalgo,09016,55296,58925,45965,160186,46552,51322,51840,48384,151546,44041,44237,40176,798468,
LA HUERTA,68,483034,2142593,206,09,014,Benito Ju?írez,09014,149299,147312,96768,393379,114320,145411,139968,99187,384566,111759,107827,125885,2015682,
LAGO GINEBRA,69,479224,2150276,209,09,016,Miguel Hidalgo,09016,88474,88387,79834,256694,74598,88387,64800,48384,201571,58579,77414,56246,1183369,
LEGARIA,70,478689,2150496,210,09,016,Miguel Hidalgo,09016,96768,107136,58061,261965,76130,76982,77760,70157,224899,65358,74650,107136,1297002,
MAR MEDITERRANEO,71,481776,2150834,216,09,016,Miguel Hidalgo,09016,88474,85709,74995,249178,72414,82685,80352,74995,238032,69174,69120,69638,1254766,
MARINA NACIONAL #1,72,481481,2149520,217,09,016,Miguel Hidalgo,09016,74650,74995,58061,207706,60361,65578,80352,65318,211248,61391,58061,42854,1060574,
MARINA NACIONAL #2,73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
MARINA NACIONAL #3,74,480760,2150404,218,09,016,Miguel Hidalgo,09016,71885,77674,70157,219715,63851,79834,72576,67738,220147,63977,77414,72317,1157284,
MARINA NACIONAL #4,75,480221,2151033,219,09,016,Miguel Hidalgo,09016,135475,125885,106445,367805,106888,122602,59616,14515,196733,57173,38707,32141,1363984,
MARTIRES DE TACUBAYA ,76,480664,2144482,220,09,014,Benito Ju?írez,09014,96768,83030,60480,240278,69827,62726,75168,67738,205632,59759,66355,61603,1149365,
MAYORAZGO,77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
MIGUEL ALEMAN,78,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,0,0,RN,RN,RN,0,0,RN,RN,0,
MIRAFLORES,79,480622,2143758,228,09,014,Benito Ju?írez,09014,82944,112493,116122,311558,90542,134006,101088,99187,334282,97146,102298,120528,1702194,
MIRAVALLE,80,485274,2140695,229,09,014,Benito Ju?írez,09014,116122,115171,101606,332899,96744,96941,111456,77414,285811,83060,129946,131242,1678412,
MODERNA,81,485903,2144382,230,09,014,Benito Ju?írez,09014,30413,107136,91930,229478,66689,88387,90720,60480,239587,69626,110592,93744,1278782,
MOLINO DEL REY ,82,479642,2147289,231,09,016,Miguel Hidalgo,09016,85709,88387,77414,251510,73091,91238,82944,77414,251597,73117,88474,88387,1329283,
NAPOLES,83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
NATIVITAS,84,485550,2142726,236,09,014,Benito Ju?írez,09014,69120,66960,58061,194141,56419,68429,44064,33869,146362,42534,30413,40176,850547,
NATIVITAS ,85,485550,2142726,236,09,014,Benito Ju?írez,09014,127181,133920,113702,374803,108922,142560,90720,101606,334886,97321,154829,182131,1962582,
NORMANDIA,86,485856,2141928,247,09,007,Iztapalapa,09007,171418,166061,145152,482630,140257,173923,150336,89510,413770,120246,118886,141955,2314145,
NUEVO MIGUEL ALEMAN,87,485108,2143877,249,09,014,Benito Ju?írez,09014,129946,120528,142733,393206,114270,162518,152928,128218,443664,128933,160358,155347,2232649,
ORTIZ RUBIO ,88,485111,2142220,253,09,014,Benito Ju?írez,09014,176947,179453,147571,503971,146459,182477,152928,12096,347501,100987,FE,61603,2011993,
P. MARISCAL SUCRE ,89,483060,2143897,254,09,014,Benito Ju?írez,09014,RE,133920,145152,279072,81101,151114,165888,147571,464573,135010,176947,163382,2043730,
PARQUE DE LOS VENADOS,90,483779,2141901,270,09,014,Benito Ju?írez,09014,160358,155347,130637,446342,129712,151114,98496,70157,319766,92927,135475,112493,2002825,
PARROQUIA #1,91,483206,2141726,271,09,014,Benito Ju?írez,09014,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
PARROQUIA #2,92,483206,2141726,272,09,014,Benito Ju?írez,09014,5530,5357,4838,15725,4570,2851,28512,21773,53136,15442,2765,2678,163177,
PERIODISTA,93,477073,2150067,312,09,016,Miguel Hidalgo,09016,19354,109814,113702,242870,70581,148262,114048,108864,371174,107867,58061,50890,1515488,
PIRULERA ,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,113357,141955,99187,354499,103021,131155,88128,101606,320890,93254,94003,91066,1732121,
POPOTLA ARBOL,95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
PORTALES ,96,484686,2140946,317,09,014,Benito Ju?írez,09014,121651,117850,104026,343526,99832,125453,82944,41126,249523,72514,94003,69638,1522087,
RADIO MIL,97,484258,2143551,353,09,014,Benito Ju?írez,09014,102298,80352,58061,240710,69953,51322,111456,108864,271642,78942,113357,115171,1402127,
RIO SAN JOAQUIN,98,477902,2150276,363,09,016,Miguel Hidalgo,09016,FE,FE,FE,0,0,FE,FE,FE,0,0,FE,FE,0,
SALESIANO,99,481404,2150143,379,09,016,Miguel Hidalgo,09016,146534,144634,128218,419386,121878,151114,28512,RH,179626,52201,RH,RH,1372101,
SAN BORJA,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
SAN FELIPE POPOTLA,101,481648,2151031,380,09,016,Miguel Hidalgo,09016,163123,187488,108864,459475,133528,128304,155520,125798,409622,119040,168653,160704,2320120,
SAN JOAQUIN TACUBA,102,478238,2150738,386,09,016,Miguel Hidalgo,09016,124416,158026,120960,403402,117233,153965,152928,116122,423014,122932,107827,141955,2142779,
TACUBA,103,480210,2151387,459,09,016,Miguel Hidalgo,09016,80179,80352,70157,230688,67040,82685,54432,26611,163728,47581,13824,13392,930669,
TIZAPAN,104,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,163123,163382,135475,461981,134256,159667,132192,120960,412819,119969,141005,141955,2286785,
VERONICA ,105,481682,2148727,555,09,016,Miguel Hidalgo,09016,160358,179453,154829,494640,143747,185328,173664,162086,521078,151431,185242,160704,2672560,
VIADUCTO ,106,481343,2144628,556,09,014,Benito Ju?írez,09014,94003,88387,94349,276739,80423,122602,80352,96768,299722,87102,52531,56246,1429224,
VISTA ALEGRE,107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
ACOXPA #31,108,485192,2133795,5,09,012,Tlalpan,09012,27648,42854,21773,92275,26816,88387,44064,41126,173578,50443,60826,58925,728715,
ACOXPA #32,109,485455,2133735,6,09,012,Tlalpan,09012,235008,230342,210470,675821,196400,248054,222912,208051,679018,197329,235008,230342,3568756,
AJUSCO,110,483445,2136071,14,09,003,Coyoac?ín,09003,116122,128563,101606,346291,100636,119750,103680,96768,320198,93053,110592,107136,1744396,
ALTILLO UNIVERSIDAD,111,481103,2138473,23,09,003,Coyoac?ín,09003,49766,53568,43546,146880,42685,51322,46656,43546,141523,41128,49766,48211,758597,
BOSQUES DE TETLALMEYA,112,484033,2133858,90,09,003,Coyoac?ín,09003,129946,128563,113702,372211,108168,134006,121824,104026,359856,104578,118886,115171,1910938,
CARACOL,113,482972,2134511,96,09,003,Coyoac?ín,09003,80179,88387,70157,238723,69375,82685,75168,70157,228010,66262,71885,69638,1210626,
CEDRAL,114,488152,2135509,103,09,003,Coyoac?ín,09003,135475,133920,118541,387936,112738,139709,127008,118541,385258,111960,135475,131242,2037802,
COLONIA DEL CARMEN FRAGATA ,115,483260,2139989,127,09,003,Coyoac?ín,09003,113357,112493,99187,325037,94459,116899,119232,108864,344995,100259,124416,123206,1782404,
COPILCO UNIVERSIDAD,116,480690,2137954,128,09,003,Coyoac?ín,09003,27648,32141,24192,83981,24406,25661,FE,FE,25661,7457,FE,RH,251146,
COUNTRY CLUB,117,485226,2139758,129,09,003,Coyoac?ín,09003,41472,42854,36288,120614,35052,42768,38880,36288,117936,34273,41472,40176,628074,
DEPORTIVO CANTIL,118,483864,2138082,133,09,003,Coyoac?ín,09003,138240,141955,120960,401155,116580,142560,129600,120960,393120,114245,138240,133920,2091535,
DEPORTIVO DURANGO ,119,483374,2135359,134,09,003,Coyoac?ín,09003,RE,50890,74995,125885,36583,76982,132192,120960,330134,95940,138240,133920,1316721,
DIRECTO #18,120,489804,2135343,140,09,013,Xochimilco,09013,143770,149990,125798,419558,121928,148262,139968,130637,418867,121727,135475,131242,2187223,
DIRECTO #19,121,481368,2134327,141,09,012,Tlalpan,09012,69120,69638,55642,194400,56495,65578,59616,55642,180835,52553,66355,64282,990155,
DIRECTO #20-B ,122,480015,2134312,142,09,003,Coyoac?ín,09003,251597,249091,215309,715997,208076,253757,233280,217728,704765,204812,254362,246413,3755186,
DIRECTO #21,123,479873,2134178,143,09,012,Tlalpan,09012,102298,109814,87091,299203,86951,102643,93312,55642,251597,73117,RH,RH,1261668,
DIRECTO #24,124,482128,2135810,145,09,003,Coyoac?ín,09003,116122,133920,94349,344390,100083,111197,101088,94349,306634,89111,102298,99101,1692640,
DIRECTO #25,125,483719,2134751,146,09,003,Coyoac?ín,09003,RH,37498,65318,102816,29879,76982,51840,48384,177206,51498,99533,96422,837377,
EDUCACION #1,126,485357,2138170,147,09,003,Coyoac?ín,09003,69120,74995,60480,204595,59457,71280,82944,77414,231638,67316,88474,85709,1173423,
EDUCACION #2 (N) ,127,486192,2137920,148,09,003,Coyoac?ín,09003,52531,58925,45965,157421,45748,54173,49248,45965,149386,43413,52531,50890,806195,
HUIPULCO ,128,485681,2132491,176,09,012,Tlalpan,09012,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
ISSSTE COAPA #1,129,487057,2133526,179,09,012,Tlalpan,09012,138240,152669,120960,411869,119693,142560,124416,116122,383098,111332,141005,136598,2098561,
ISSSTE COAPA #2,130,488733,2133590,180,09,012,Tlalpan,09012,77414,61603,50803,189821,55164,59875,80352,74995,215222,62546,88474,85709,1101979,
ISSSTE COAPA #3,131,487084,2134763,181,09,003,Coyoac?ín,09003,107827,96422,74995,279245,81151,88387,80352,74995,243734,70832,91238,88387,1377567,
ISSSTE COAPA #4,132,487494,2135343,182,09,003,Coyoac?ín,09003,80179,190166,159667,430013,124966,188179,171072,159667,518918,150803,182477,176774,2532883,
LA CIENEGA,133,483898,2137741,205,09,003,Coyoac?ín,09003,71885,77674,62899,212458,61742,74131,69984,65318,209434,60863,74650,72317,1113354,
LOS COYOTES ,134,487314,2135852,214,09,003,Coyoac?ín,09003,5530,0,4838,10368,3013,5702,5184,4838,15725,4570,5530,8035,73333,
LOS REYES COYOACAN,135,483778,2138641,215,09,003,Coyoac?ín,09003,49766,37498,24192,111456,32390,28512,28512,26611,83635,24305,30413,29462,506753,
METRO C.U.,136,481622,2136504,223,09,003,Coyoac?ín,09003,27648,29462,24192,81302,23627,28512,25920,24192,78624,22849,22118,13392,401839,
MULTIF. COAPA #7 ,137,486679,2133212,233,09,012,Tlalpan,09012,85709,83030,50803,219542,63801,59875,54432,50803,165110,47983,52531,50890,984510,
MULTIF. COAPA #8 ,138,487734,2132727,234,09,013,Xochimilco,09013,138240,147312,120960,406512,118136,142560,129600,120960,393120,114245,138240,133920,2103805,
NAHUATLACAS ,139,483445,2136059,235,09,003,Coyoac?ín,09003,135475,147312,104026,386813,112412,139709,116640,108864,365213,106134,124416,120528,1967541,
PASEOS DE TAXQUENA,140,486893,2138915,273,09,003,Coyoac?ín,09003,55296,61603,48384,165283,48033,74131,64800,60480,199411,57951,60826,64282,960480,
PEDREGAL DE CARRASCO ,141,482587,2134705,276,09,003,Coyoac?ín,09003,69120,66960,55642,191722,55716,54173,51840,48384,154397,44869,49766,48211,890799,
PEDREGAL DE SAN FRANCISCO,142,482687,2138340,277,09,003,Coyoac?ín,09003,DC,DC,DC,0,0,DC,DC,DC,0,0,DC,DC,0,
PEDREGAL DE SANTO DOMINGO,143,482109,2136073,278,09,003,Coyoac?ín,09003,80179,80352,70157,230688,67040,82685,93312,87091,263088,76456,94003,91066,1316117,
PEDREGAL IMAN,144,481901,2135103,279,09,003,Coyoac?ín,09003,141005,149990,123379,414374,120421,145411,132192,123379,400982,116529,141005,136598,2145267,
PERIFERICO #1,145,485573,2136312,293,09,003,Coyoac?ín,09003,RE,93744,133056,226800,65910,156816,142560,133056,432432,125669,152064,147312,1809419,
PERIFERICO #2,146,486493,2134490,304,09,012,Tlalpan,09012,82944,91066,72576,246586,71660,85536,77760,72576,235872,68547,82944,80352,1268418,
PERIFERICO #3,147,484822,2133935,305,09,012,Tlalpan,09012,44237,72317,58061,174614,50745,68429,49248,45965,163642,47556,52531,53568,880912,
PERIFERICO #4,148,484272,2133665,306,09,012,Tlalpan,09012,77414,85709,67738,230861,67090,79834,72576,67738,220147,63977,77414,74995,1185493,
PERIFERICO #6,149,484192,2132586,308,09,012,Tlalpan,09012, ,5357, ,5357,1557, , , ,0,0, , ,12271,
PERIFERICO #10,150,486333,2132216,294,09,013,Xochimilco,09013,113357,101779,65318,280454,81503,79834,72576,67738,220147,63977,77414,56246,1280344,
PERIFERICO #11,151,488634,2132855,295,09,013,Xochimilco,09013,138240,136598,120960,395798,115023,142560,129600,120960,393120,114245,138240,133920,2079265,
PERIFERICO #12,152,488153,2133115,296,09,012,Tlalpan,09012,138240,147312,120960,406512,118136,125453,FE,FE,125453,36458,FE,85709,1304232,
PERIFERICO #13,153,486343,2136134,297,09,003,Coyoac?ín,09003,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
PERIFERICO #14,154,488083,2134134,298,09,003,Coyoac?ín,09003,143770,131242,84672,359683,104528,99792,90720,84672,275184,79971,96768,93744,1644745,
PERIFERICO #15,155,485969,2135229,299,09,003,Coyoac?ín,09003,69120,74995,60480,204595,59457,71280,64800,60480,196560,57122,69120,66960,1054969,
PERIFERICO #16,156,489444,2134015,300,09,013,Xochimilco,09013,RE,RE,RE,0,0,65578,119232,29030,213840,62144,RH,RH,489824,
PERIFERICO #17,157,489484,2134564,301,09,013,Xochimilco,09013,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
PERIFERICO #19,158,488874,2136877,303,09,003,Coyoac?ín,09003,55296,61603,48384,165283,48033,57024,51840,48384,157248,45698,55296,34819,828909,
POZO 20 DE AGOSTO ,159,487195,2138577,318,09,003,Coyoac?ín,09003,19354,21427,16934,57715,16773,19958,18144,16934,55037,15994,19354,18749,296373,
PRADOS CHURUBUSCO ,160,486699,2140007,320,09,003,Coyoac?ín,09003,152064,166061,133056,451181,131118,156816,142560,133056,432432,125669,152064,147312,2323389,
PREPARATORIA #5 (N) ,161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0,
REY MOCTEZUMA,162,483541,2137081,360,09,003,Coyoac?ín,09003,152064,166061,133056,451181,131118,156816,147744,137894,442454,128582,157594,152669,2357233,
ROMERO DE TERREROS,163,482187,2138640,364,09,003,Coyoac?ín,09003,154829,163382,135475,453686,131846,159667,155520,145152,460339,133779,165888,160704,2420268,
RUIZ CORTINEZ,164,484853,2136072,365,09,003,Coyoac?ín,09003,113357,115171,99187,327715,95237,116899,106272,99187,322358,93681,113357,109814,1712236,
SAN FRANCISCO CULHUACAN ,165,487793,2137344,382,09,003,Coyoac?ín,09003,113357,112493,99187,325037,94459,116899,106272,99187,322358,93681,113357,109814,1706102,
