GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,31801164,
2015,,,,,,,,,,,,,,,,,,,,,454408121,
,,519,,,,,,,,,,,,,,,,,,,496149180,
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,133920,120960,133920,129600,133920,129600,133920,128563,124416,128563,124416,128563,1550361,0.04916 
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,123206,108864,123206,119232,120528,119232,112493,77674,90720,93744,90720,93744,1273363,0.04038 
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,37498,33869,37498,36288,37498,36288,26784,37498,36288,37498,36288,37498,430793,0.01366 
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,RH,RH,RH,RH,RH,RH,RH,RE,RE,RE,RE,RE,0,0.00000 
PANTACO #3 ,14,482304,2153389,265,09,002,Azcapotzalco,09002,99101,89510,96422,95904,99101,95904,99101,99101,90720,99101,95904,99101,1158970,0.03675 
PARQUE TEZOZOMOC,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,139277,125798,139277,134784,139277,134784,128563,FE,RH,RH,RH,RH,941760,0.02986 
PETROLERA,16,479198,2154207,313,09,002,Azcapotzalco,09002,72317,65318,72317,69984,72317,69984,72317,74995,72576,74995,62208,48211,827539,0.02624 
POPOTLA,17,481168,2151220,316,09,016,Miguel Hidalgo,09016,RH,RH,RH,RH,RH,RH,RH,RE,RE,RE,RE,RE,0,0.00000 
PRADOS DEL ROSARIO,18,478144,2155925,321,09,002,Azcapotzalco,09002,72317,65318,72317,69984,72317,69984,72317,72317,64800,83030,80352,83030,878083,0.02784 
PRESIDENTE MADERO ,19,478895,2155313,322,09,002,Azcapotzalco,09002,115171,116122,120528,124416,128563,124416,128563,128563,124416,120528,124416,128563,1484265,0.04707 
PRO-HOGAR,20,483605,2152928,323,09,002,Azcapotzalco,09002,99101,89510,99101,95904,99101,95904,99101,56246,62208,64282,62208,64282,986948,0.03130 
PROVIDENCIA ,21,478144,2155181,324,09,002,Azcapotzalco,09002,141955,133056,147312,142560,147312,142560,147312,139277,121824,139277,134784,139277,1676506,0.05316 
SAN JUAN TLIHUACA ,22,478946,2154626,388,09,002,Azcapotzalco,09002,144634,130637,144634,139968,144634,129600,144634,136598,132192,FE,106272,125885,1479688,0.04692 
SAN MARTIN XOCHINAHUAC #1 ,23,479995,2155926,415,09,002,Azcapotzalco,09002,RH,RH,RH,RH,RH,RH,RH,RE,RE,RE,RE,RE,0,0.00000 
SAN MARTIN XOCHINAHUAC #2 ,24,478781,2155913,416,09,002,Azcapotzalco,09002,149990,135475,149990,145152,149990,145152,149990,149990,23328,128563,134784,139277,1601681,0.05079 
SAN MIGUEL AMANTLA,25,478540,2153210,417,09,002,Azcapotzalco,09002,120528,111283,123206,119232,123206,119232,123206,123206,119232,123206,119232,123206,1447975,0.04591 
SAN PEDRO XALPA #1,26,478126,2154207,421,09,002,Azcapotzalco,09002,58925,53222,58925,57024,58925,57024,128563,117850,114048,117850,114048,117850,1054254,0.03343 
SAN PEDRO XALPA #2,27,477447,2154531,422,09,002,Azcapotzalco,09002,FE,113702,125885,121824,56246,114048,91066,125885,121824,125885,31104,RH,1027469,0.03258 
SANTA CATARINA AZCAPOTZALCO,28,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
AHUIZOTLA,29,478008,2153563,13,09,002,Azcapotzalco,09002,139277,125798,139277,134784,139277,134784,139277,80352,10368,18749,77760,80352,1220055,0.03869 
TRABAJADORES DEL HIERRO ,30,484108,2153620,503,09,002,Azcapotzalco,09002,139277,125798,139277,134784,139277,134784,139277,139277,134784,139277,134784,139277,1639873,0.05200 
VILLAS AZCAPOTZALCO,31,479576,2155276,566,09,002,Azcapotzalco,09002,99101,89510,99101,95904,99101,95904,99101,99101,95904,99101,18144,FE,989972,0.03139 
CHARCO CH-1 ,32,500847,2167840,114,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CHARCO CH-2 ,33,500736,2167827,115,15,033,Ecatepec de Morelos,15033,91297,82908,93315,91507,110005,72706,54200,58398,81135,81175,79181,124223,1020050,0.03235 
CHARCO CH-3 ,34,500412,2167644,116,15,033,Ecatepec de Morelos,15033,FS,FS,FS,FS,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CHARCO CH-4 LA CURVA ,35,500369,2167720,117,15,033,Ecatepec de Morelos,15033,148358,137316,151636,148699,182195,145412,132789,143075,137089,139157,133789,159715,1759230,0.05578 
CHARCO CH-5 ,36,499937,2167754,118,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
GRAN CANAL GC-1,37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136946,126952,142888,137261,168445,137023,135499,116796,139887,144956,136519,136054,1659226,0.05261 
GRAN CANAL GC-2,38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165476,150270,172049,165857,202821,162190,151759,122636,159471,168149,158363,168589,1947630,0.06176 
GRAN CANAL GC-3,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,179741,163224,186629,180155,220009,176172,170729,181033,176258,182644,172015,204081,2192690,0.06953 
GRAN CANAL GC-4,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,188300,170997,192461,188734,226885,111855,113819,175194,167865,173947,166554,204081,2080692,0.06598 
SAN CRISTOBAL SC-1,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108415,98453,110811,108665,130631,106262,102979,110956,106314,110166,103755,112392,1309799,0.04153 
SAN CRISTOBAL SC-2,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN CRISTOBAL SC-3,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168329,155452,157468,168716,158132,128633,124659,134315,128696,133359,125598,109435,1692792,0.05368 
SAN CRISTOBAL SC-4,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,151211,139907,157468,151559,233760,187357,184279,195633,190247,194241,185666,162673,2134001,0.06767 
TEPEXPAN NORTE TN-1,45,501040,2168028,488,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN NORTE TN-2,46,501721,2168100,489,15,002,Acolman,15002,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN NORTE TN-3,47,502240,2168140,490,15,002,Acolman,15002,134093,121771,137056,134401,161569,134226,130079,140155,131494,139157,101024,106477,1571502,0.04983 
TEPEXPAN NORTE TN-4 9 SUB K,48,502776,2168165,491,15,002,Acolman,15002,128387,116589,131224,125822,154694,120244,130079,140155,134292,139157,131059,109435,1561137,0.04950 
TEPEXPAN SUR TS-1 ,49,499548,2167929,492,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN SUR TS-2 ,50,500223,2167968,493,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN SUR TS-3 ,51,499945,2167870,494,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA DE CARPIO VC-1 ,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108415,95862,107895,105805,130631,106262,102979,110956,106314,110166,103755,115350,1304390,0.04136 
VENTA DE CHARCO VCH-1,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108415,95862,107895,105805,130631,106262,102979,110956,106314,110166,103755,109435,1298475,0.04117 
VENTA DE CHARCO VCH-2,54,500079,2168895,538,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA DE CHARCO VCH-3,55,500346,2168435,539,15,033,Ecatepec de Morelos,15033,174035,158043,177881,174436,213134,173376,168019,181033,170662,179745,169284,195208,2134856,0.06770 
VENTA DE CHARCO VCH-4,56,500586,2168002,540,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA OJO DE AGUA VO- 1 ,57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,145505,132134,148720,142980,195946,159394,154469,163514,156674,150754,144711,153800,1848601,0.05862 
VENTA OJO DE AGUA VO- 2 ,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136946,124361,139972,134401,199384,162190,157179,166434,159471,150754,141980,189292,1862364,0.05906 
VENTA OJO DE AGUA VO- 3 ,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,114121,103634,116643,91507,92816,95077,92139,99276,92326,98570,92833,133096,1222038,0.03875 
VENTA OJO DE AGUA VO- 4 ,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
VENTA OJO DE AGUA VO- 5 ,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,111268,101044,87482,108665,137506,111855,108399,116796,53157,37688,103755,115350,1192965,0.03783 
VENTA OJO DE AGUA VO- 6 ,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,145505,132134,148720,142980,178758,145412,140919,151835,142685,150754,141980,147885,1769567,0.05611 
VENTA OJO DE AGUA VO- 7 ,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,162623,147679,163301,160138,199384,162190,157179,166434,159471,165250,158363,162673,1964685,0.06230 
VENTA OJO DE AGUA VO- 8 ,64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,125534,113998,125391,122963,165007,134226,130079,140155,131494,139157,131059,106477,1565540,0.04964 
VENTA OJO DE AGUA VO- 9 ,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,156917,142497,157468,154418,185633,151005,146339,154754,148280,147855,139250,150842,1835258,0.05820 
VENTA OJO DE AGUA VO-10 ,66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136946,124361,137056,100086,FS,142615,138209,148915,134292,173947,207510,139012,1582949,0.05019 
VENTA OJO DE AGUA VO-11 ,67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,134093,121771,134140,131542,171882,139819,135499,145995,137089,144956,136519,133096,1666401,0.05284 
VENTA OJO DE AGUA VO-12 ,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,188300,170997,177881,177295,244073,198543,195119,207313,198640,205837,196588,159715,2320301,0.07358 
VENTA OJO DE AGUA VO-13 ,69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168329,152861,169133,165857,192508,156597,151759,160594,153876,159451,152902,168589,1952456,0.06191 
VENTA OJO DE AGUA VO-14 ,70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176888,160633,177881,174436,209696,167783,165309,175194,167865,173947,166554,165631,2081817,0.06601 
ABASOLO JARDIN ,71,484606,2150489,2,09,015,Cuauht??moc,09015,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
ACACIAS,72,481862,2140960,4,09,014,Benito Ju?írez,09014,85709,60480,34819,18144,107136,93312,72317,72317,69984,72317,69984,72317,828836,0.02628 
ALAMEDA DE SANTA MARIA,73,483553,2150442,15,09,015,Cuauht??moc,09015,FE,FS,61603,69984,74995,64800,104458,72317,51840,5357,FS,8035,513389,0.01628 
ALAMEDA DE TACUBAYA,74,480571,2145040,16,09,016,Miguel Hidalgo,09016,176774,159667,171418,142560,158026,124416,174096,171418,158112,176774,173664,179453,1966378,0.06235 
ALAMOS JARDIN #1,75,485190,2144841,17,09,014,Benito Ju?írez,09014,107136,96768,96422,95904,56246,90720,104458,88387,101088,88387,95904,101779,1123199,0.03562 
ALAMOS JARDIN #2,76,485124,2145120,18,09,014,Benito Ju?írez,09014,FS,FS,FS,152928,160704,98496,163382,155347,147744,61603,69984,109814,1120002,0.03552 
ALBERT Y BERLIN,77,485377,2141715,19,09,014,Benito Ju?írez,09014,80352,108864,136598,132192,133920,139968,168739,171418,165888,168739,127008,16070,1549756,0.04914 
ALGARIN,78,485104,2145574,21,09,015,Cuauht??moc,09015,69638,62899,64282,62208,66960,67392,83030,74995,64800,74995,69984,85709,846892,0.02685 
ALTAVISTA,79,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,FS,FS,FS,85536,77674,67392,42854,42854,41472,74995,64800,66960,564537,0.01790 
AMADO NERVO ,80,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
ANTONIO M. ANZA,81,483287,2146238,36,09,015,Cuauht??moc,09015,131242,118541,136598,124416,133920,132192,136598,136598,129600,136598,124416,136598,1577317,0.05002 
ARENAL SAN ANGEL,82,480917,2139244,38,09,003,Coyoac?ín,09003,144634,118541,141955,137376,112493,101088,112493,112493,114048,117850,114048,112493,1439512,0.04565 
ARNAIZ ROSENDO ,83,480411,2143138,39,09,014,Benito Ju?írez,09014,99101,87091,96422,80352,91066,85536,91066,88387,93312,99101,59616,FS,971050,0.03079 
AV. D. CASTILLO,84,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
AXOTLA,85,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,26784,16934,21427,23328,10714,15552,16070,34819,36288,32141,10368,29462,273887,0.00868 
BENJAMIN FRANKLIN,86,480957,2145692,87,09,016,Miguel Hidalgo,09016,16070,14515,16070,5184,FE,FE,FE,FE,36288,45533,33696,45533,212889,0.00675 
CAMPESTRE,87,483850,2140451,92,09,014,Benito Ju?írez,09014,88387,77414,72317,67392,72317,82944,125885,131242,114048,147312,103680,115171,1198109,0.03799 
CAMPOS ELISEOS ,88,478852,2148058,94,09,016,Miguel Hidalgo,09016,66960,60480,64282,51840,66960,62208,45533,45533,5184,FE,FE,21427,490407,0.01555 
CASA AMARILLA,89,480065,2145785,98,09,016,Miguel Hidalgo,09016,136598,91930,117850,119232,72317,116640,93744,120528,54432,91066,90720,29462,1134519,0.03598 
CEDROS Y MOLIERE,90,478706,2148642,104,09,016,Miguel Hidalgo,09016,RH,38707,123206,59616,91066,82944,91066,93744,93312,96422,93312,93744,957139,0.03035 
CHAPULTEPEC MORALES,91,480327,2148642,113,09,016,Miguel Hidalgo,09016,192845,174182,192845,181440,184810,163296,128563,125885,121824,125885,103680,88387,1783642,0.05656 
CICERON,92,478413,2148337,119,09,016,Miguel Hidalgo,09016,74995,67738,74995,69984,42854,49248,72317,53568,62208,74995,51840,45533,740275,0.02347 
DIAGONAL SAN ANTONIO,93,484551,2144735,139,09,014,Benito Ju?írez,09014,FS,FS,FS,93312,10714,46656,5357,50890,75168,77674,77760,80352,517883,0.01642 
DIRECTO #22,94,477696,2134789,144,09,012,Tlalpan,09012,FS,FS,FS,163296,208915,168480,179453,206237,49248,83030,FE,50890,1109549,0.03518 
HUERTAS DEL CARMEN,95,480757,2138752,175,09,003,Coyoac?ín,09003,16070,12096,37498,7776,32141,23328,112493,139277,134784,136598,132192,144634,928887,0.02945 
IRRIGACION,96,478175,2149700,177,09,016,Miguel Hidalgo,09016,FS,FS,FS,44064,56246,80352,37498,8035,33696,53568,51840,58925,424224,0.01345 
JARDIN DE SAN JACINTO,97,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,235699,108864,270518,88128,147312,103680,2678,10714,FE,64282,62208,50890,1144973,0.03631 
JARDINES DEL PEDREGAL #1 ,98,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,45533,41126,45533,41472,42854,46656,40176,74995,69984,85709,23328,34819,592185,0.01878 
JARDINES DEL PEDREGAL #2 ,99,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,21427,21427,0.00068 
JARDINES DEL PEDREGAL #3 ,100,479590,2136089,199,09,003,Coyoac?ín,09003,RN,RN,RN,RN,RN,RN,FE,FE,FE,FE,FE,FE,0,0.00000 
JARDINES DEL PEDREGAL #4-B,101,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,FS,FS,FS,88128,74995,72576,66960,69638,2592,66960,62208,83030,587087,0.01862 
JARDINES DEL PEDREGAL #5-A,102,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
JARDINES DEL PEDREGAL #5-B,103,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,FS,FS,FS,114048,117850,114048,112493,117850,85536,FE,FE,96422,758247,0.02404 
JARDIN MORELOS ,104,481303,2145227,194,09,016,Miguel Hidalgo,09016,125885,113702,128563,124416,128563,121824,131242,131242,108864,120528,116640,123206,1474675,0.04676 
JARDIN POMBO,105,480823,2144109,195,09,014,Benito Ju?írez,09014,FS,FS,FS,88128,120528,93312,104458,133920,111456,93744,18144,115171,878861,0.02787 
LA CAMPANA,106,480797,2141915,204,09,014,Benito Ju?írez,09014,166061,149990,166061,155520,115171,127008,125885,120528,124416,128563,124416,149990,1653609,0.05244 
HORMIGA,107,479959,2146530,174,09,016,Miguel Hidalgo,09016,85709,72576,77674,54432,58925,51840,58925,80352,46656,93744,80352,64282,825467,0.02618 
LA HUERTA,108,483034,2142593,206,09,014,Benito Ju?írez,09014,158026,106445,158026,147744,158026,152928,141955,158026,139968,115171,145152,152669,1734136,0.05499 
LAGO GINEBRA,109,479224,2150276,209,09,016,Miguel Hidalgo,09016,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0,0.00000 
LEGARIA,110,478689,2150496,210,09,016,Miguel Hidalgo,09016,120528,108864,115171,114048,120528,116640,120528,120528,101088,104458,98496,101779,1342656,0.04258 
MAR MEDITERRANEO,111,481776,2150834,216,09,016,Miguel Hidalgo,09016,69638,62899,69638,64800,69638,46656,72317,69638,69984,69638,67392,69638,801876,0.02543 
MARINA NACIONAL #1,112,481481,2149520,217,09,016,Miguel Hidalgo,09016,85709,48384,45533,38880,37498,23328,FE,FS,90720,109814,85536,93744,659146,0.02090 
MARINA NACIONAL #3,113,480760,2150404,218,09,016,Miguel Hidalgo,09016,45533,38707,91066,98496,93744,95904,107136,107136,106272,109814,36288,FS,930096,0.02949 
MARINA NACIONAL #4,114,480221,2151033,219,09,016,Miguel Hidalgo,09016,184810,162086,163382,72576,155347,171072,176774,174096,165888,168739,163296,115171,1873237,0.05940 
MARTIRES DE TACUBAYA ,115,480664,2144482,220,09,014,Benito Ju?írez,09014,74995,87091,96422,103680,99101,67392,107136,109814,31104,FE,FE,FE,776735,0.02463 
MIGUEL ALEMAN,116,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0,0.00000 
MIRAFLORES,117,480622,2143758,228,09,014,Benito Ju?írez,09014,99101,82253,125885,127008,136598,145152,104458,123206,134784,155347,215136,216950,1665878,0.05282 
MIRAVALLE,118,485274,2140695,229,09,014,Benito Ju?írez,09014,FS,FS,FS,88128,99101,72576,99101,69638,106272,107136,82944,61603,786499,0.02494 
MODERNA,119,485903,2144382,230,09,014,Benito Ju?írez,09014,123206,140314,149990,145152,155347,132192,48211,48211,25920,42854,33696,26784,1071877,0.03399 
MOLINO DEL REY ,120,479642,2147289,231,09,016,Miguel Hidalgo,09016,40176,29030,48211,49248,42854,49248,26784,13392,25920,48211,28512,48211,449797,0.01426 
NATIVITAS,121,485550,2142726,236,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NATIVITAS ,122,485550,2142726,236,09,014,Benito Ju?írez,09014,123206,108864,123206,116640,125885,129600,158026,163382,51840,FE,FE,69638,1170287,0.03711 
NORMANDIA,123,485856,2141928,247,09,007,Iztapalapa,09007,160704,145152,160704,152928,163382,103680,101779,107136,103680,107136,103680,107136,1517097,0.04811 
NUEVO MIGUEL ALEMAN,124,485108,2143877,249,09,014,Benito Ju?írez,09014,101779,113702,115171,124416,93744,93312,96422,101779,101088,101779,101088,101779,1246059,0.03951 
ORTIZ RUBIO ,125,485111,2142220,253,09,014,Benito Ju?írez,09014,109814,99187,109814,103680,133920,95904,136598,141955,134784,139277,134784,123206,1462923,0.04639 
P. MARISCAL SUCRE,126,483060,2143897,254,09,014,Benito Ju?írez,09014,168739,154829,123206,160704,166061,160704,133920,171418,137376,168739,145152,171418,1862266,0.05905 
PARQUE DE LOS VENADOS,127,483779,2141901,270,09,014,Benito Ju?írez,09014,109814,104026,131242,137376,152669,158112,176774,158026,152928,144634,121824,174096,1721521,0.05459 
PARROQUIA #1,128,483206,2141726,271,09,014,Benito Ju?írez,09014,85709,67738,77674,82944,77674,72576,83030,83030,75168,85709,64800,69638,925690,0.02935 
PARROQUIA #2,129,483206,2141726,272,09,014,Benito Ju?írez,09014,10714,9677,5357,7776,8035,5184,5357,5357,5184,2678,PA,2678,67997,0.00216 
PERIODISTA,130,477073,2150067,312,09,016,Miguel Hidalgo,09016,88387,77414,85709,77760,91066,88128,83030,85709,82944,91066,77760,69638,998611,0.03167 
PIRULERA ,131,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101779,94349,101779,95904,85709,67392,88387,91066,85536,93744,88128,91066,1084839,0.03440 
PORTALES ,132,484686,2140946,317,09,014,Benito Ju?írez,09014,26784,84672,115171,103680,115171,111456,117850,117850,114048,109814,95904,107136,1219536,0.03867 
RADIO MIL,133,484258,2143551,353,09,014,Benito Ju?írez,09014,FS,FS,FS,80352,32141,67392,80352,74995,59616,72317,67392,61603,596160,0.01890 
RIO SAN JOAQUIN,134,477902,2150276,363,09,016,Miguel Hidalgo,09016,107136,36288,136598,127008,74995,64800,64282,69638,62208,115171,165888,166061,1190073,0.03774 
SALESIANO,135,481404,2150143,379,09,016,Miguel Hidalgo,09016,18749,24192,13392,18144,48211,90720,FS,FE,FE,2678,FS,152669,368755,0.01169 
SAN FELIPE POPOTLA,136,481648,2151031,380,09,016,Miguel Hidalgo,09016,101779,111283,136598,88128,101779,106272,72317,109814,31104,104458,101088,77674,1142294,0.03622 
SAN JOAQUIN TACUBA,137,478238,2150738,386,09,016,Miguel Hidalgo,09016,133920,128218,147312,142560,141955,137376,139277,141955,139968,147312,111456,144634,1655943,0.05251 
TACUBA,138,480210,2151387,459,09,016,Miguel Hidalgo,09016,FS,FS,FS,49248,66960,64800,66960,66960,64800,66960,64800,66960,578448,0.01834 
TIZAPAN,139,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,117850,89510,74995,82944,168739,163296,133920,133920,129600,104458,132192,133920,1465344,0.04647 
VERONICA ,140,481682,2148727,555,09,016,Miguel Hidalgo,09016,144634,101606,141955,139968,109814,106272,117850,117850,116640,120528,116640,117850,1451607,0.04603 
VIADUCTO ,141,481343,2144628,556,09,014,Benito Ju?írez,09014,58925,53222,56246,36288,16070,36288,125885,133920,132192,109814,124416,74995,958261,0.03039 
VISTA ALEGRE,142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32141,29030,32141,31104,32141,31104,32141,32141,31104,32141,31104,32141,378433,0.01200 
ACOXPA #31,143,485192,2133795,5,09,012,Tlalpan,09012,109814,99187,109814,103680,109814,98496,101779,109814,106272,109814,106272,109814,1274570,0.04042 
ACOXPA #32,144,485455,2133735,6,09,012,Tlalpan,09012,RH,RH,RH,RH,168739,163296,168739,168739,163296,168739,163296,168739,1333583,0.04229 
AJUSCO,145,483445,2136071,14,09,003,Coyoac?ín,09003,77674,70157,77674,75168,74995,75168,80352,48211,88128,88387,77760,74995,908669,0.02881 
ALTILLO UNIVERSIDAD,146,481103,2138473,23,09,003,Coyoac?ín,09003,88387,79834,91066,85536,74995,72576,74995,74995,72576,74995,72576,72317,934848,0.02964 
AV. UNIVERSIDAD,147,481697,2139753,79,09,003,Coyoac?ín,09003,69638,FS,FS,38880,133920,127008,131242,131242,129600,5357,FS,FS,766887,0.02432 
BOSQUES DE TETLALMEYA,148,484033,2133858,90,09,003,Coyoac?ín,09003,123206,58061,93744,82944,112493,106272,85709,85709,75168,77674,75168,83030,1059178,0.03359 
CARACOL,149,482972,2134511,96,09,003,Coyoac?ín,09003,40176,36288,40176,38880,34819,28512,34819,34819,33696,34819,36288,37498,430790,0.01366 
CEDRAL,150,488152,2135509,103,09,003,Coyoac?ín,09003,50890,45965,50890,51840,53568,82944,85709,83030,85536,85709,82944,85709,844734,0.02679 
