GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,32769059,
2016,,,,,,,,,,,,,,,,,,,,,431098377,
,,519,,,,,,,,,,,,,,,,,,,473667273,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
GRAN CANAL GC-2,38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169084,160536,149990,158022,161611,157417,167275,127817,132820,140382,139875,139682,1804511,0.05722 
GRAN CANAL GC-3,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,204680,194333,182131,117053,119712,117347,127005,121731,94450,134143,130550,133474,1676609,0.05316 
GRAN CANAL GC-4,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,204680,194333,163382,169727,173582,168865,179666,179553,171191,171578,170958,170722,2118237,0.06717 
SAN CRISTOBAL SC-1,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44496,FS,80352,87790,86791,85864,92930,91298,85595,93588,93250,93121,935075,0.02965 
SAN CRISTOBAL SC-2,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN CRISTOBAL SC-3,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109756,104207,96422,155095,161611,154554,164177,164336,156433,168458,167850,93121,1696020,0.05378 
SAN CRISTOBAL SC-4,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,163151,154903,101779,190211,194532,188900,201349,200856,191851,212133,211367,207970,2219002,0.07036 
TEPEXPAN NORTE TN-1,45,501040,2168028,488,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TEPEXPAN NORTE TN-2,46,501721,2168100,489,15,002,Acolman,15002,RE,47879,176774,210695,215481,208935,213740,222158,215464,221491,220692,220387,2173696,0.06893 
TEPEXPAN NORTE TN-3,47,502240,2168140,490,15,002,Acolman,15002,118655,112657,104458,149243,149640,145968,148689,155207,150530,165339,164742,161410,1726538,0.05475 
TEPEXPAN NORTE TN-4 9 SUB K,48,502776,2168165,491,15,002,Acolman,15002,109756,104207,96422,122906,125697,105898,127005,143033,135772,140382,139875,139682,1490635,0.04727 
TEPEXPAN SUR TS-1 ,49,499548,2167929,492,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
