JARDINES DEL PEDREGAL #2 ,58,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,34819,PA,PA,16070,24192,19354,PA,2765,2419,PA,PA,FS,99619
JARDINES DEL PEDREGAL #3 ,59,479590,2136089,199,09,003,Coyoac?ín,09003,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,0
JARDINES DEL PEDREGAL #4-B,60,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,109814,99187,113357,109814,99187,113357,72317,27648,36288,48211,52531,58061,939773
JARDINES DEL PEDREGAL #5-A,61,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
JARDINES DEL PEDREGAL #5-B,62,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,91066,79834,94003,93744,72576,91238,10714,RH,RH,RH,FS,82253,615427
JARDIN MORELOS ,63,481303,2145227,194,09,016,Miguel Hidalgo,09016,96422,67738,105062,125885,120960,143770,128563,143770,113702,147312,185242,164506,1542931
JARDIN POMBO,64,480823,2144109,195,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
LA CAMPANA,65,480797,2141915,204,09,014,Benito Ju?írez,09014,136598,123379,132710,128563,111283,127181,112493,121651,113702,123206,132710,125798,1489277
HORMIGA,66,479959,2146530,174,09,016,Miguel Hidalgo,09016,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
LA HUERTA,67,483034,2142593,206,09,014,Benito Ju?írez,09014,61603,58061,58061,74995,70157,55296,69638,44237,55642,74995,35942,FS,658627
LAGO GINEBRA,68,479224,2150276,209,09,016,Miguel Hidalgo,09016,48211,43546,69120,61603,36288,69120,8035,63590,91930,74995,69120,38707,674266
LEGARIA,69,478689,2150496,210,09,016,Miguel Hidalgo,09016,88387,99187,96768,93744,91930,105062,61603,124416,137894,131242,132710,91930,1254874
MAR MEDITERRANEO,70,481776,2150834,216,09,016,Miguel Hidalgo,09016,61603,62899,69120,64282,62899,66355,58925,71885,67738,77674,85709,72576,821664
MARINA NACIONAL #1,71,481481,2149520,217,09,016,Miguel Hidalgo,09016,48211,55642,58061,64282,62899,55296,61603,63590,43546,56246,60826,48384,678586
MARINA NACIONAL #3,72,480760,2150404,218,09,016,Miguel Hidalgo,09016,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
MARINA NACIONAL #4,73,480221,2151033,219,09,016,Miguel Hidalgo,09016,13392,4838,135475,104458,135475,141005,72317,102298,72576,66960,154829,123379,1127002
MARTIRES DE TACUBAYA ,74,480664,2144482,220,09,014,Benito Ju?írez,09014,74995,70157,107827,107136,96768,110592,107136,74650,38707,96422,102298,87091,1073779
MIGUEL ALEMAN,75,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
MIRAFLORES,76,480622,2143758,228,09,014,Benito Ju?írez,09014,128563,111283,124416,117850,104026,118886,109814,127181,99187,123206,127181,111283,1402877
MIRAVALLE,77,485274,2140695,229,09,014,Benito Ju?írez,09014,123206,116122,132710,128563,113702,129946,112493,113357,82253,50890,FS,43546,1146787
MODERNA,78,485903,2144382,230,09,014,Benito Ju?írez,09014,128563,116122,132710,120528,108864,127181,74995,116122,106445,112493,118886,101606,1364515
MOLINO DEL REY ,79,479642,2147289,231,09,016,Miguel Hidalgo,09016,77674,67738,77414,77674,67738,77414,80352,80179,72576,77674,85709,72576,914717
NATIVITAS,80,485550,2142726,236,09,014,Benito Ju?írez,09014,50890,45965,82944,69638,38707,71885,32141,38707,31450,40176,41472,26611,570586
NATIVITAS ,81,485550,2142726,236,09,014,Benito Ju?írez,09014,109814,67738,141005,141955,130637,152064,96422,80179,181440,190166,163123,123379,1577923
NORMANDIA,82,485856,2141928,247,09,007,Iztapalapa,09007,166061,145152,152064,32141,87091,146534,88387,69120,53222,53568,66355,53222,1112918
NUEVO MIGUEL ALEMAN,83,485108,2143877,249,09,014,Benito Ju?írez,09014,112493,120960,141005,136598,118541,8294,72317,80179,79834,112493,94003,82253,1158970
ORTIZ RUBIO ,84,485111,2142220,253,09,014,Benito Ju?írez,09014,144634,128218,152064,147312,108864,146534,107136,132710,FS,91066,94003,65318,1317859
P. MARISCAL SUCRE ,85,483060,2143897,254,09,014,Benito Ju?írez,09014,147312,135475,168653,166061,147571,163123,117850,149299,140314,152669,149299,108864,1746490
PARQUE DE LOS VENADOS,86,483779,2141901,270,09,014,Benito Ju?írez,09014,13392,14515,143770,125885,128218,146534,136598,165888,181440,214272,223949,169344,1663805
PARROQUIA #1,87,483206,2141726,271,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PARROQUIA #2,88,483206,2141726,272,09,014,Benito Ju?írez,09014,5357,4838,5530,5357,4838,5530,5357,2765,4838,5357,5530,4838,60134
PERIODISTA,89,477073,2150067,312,09,016,Miguel Hidalgo,09016,74995,113702,91238,120528,108864,91238,53568,19354,65318,123206,129946,106445,1098403
PIRULERA ,90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,107136,108864,99533,88387,70157,91238,61603,99533,104026,115171,88474,96768,1130890
POPOTLA ARBOL,91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PORTALES ,92,484686,2140946,317,09,014,Benito Ju?írez,09014,117850,96768,105062,96422,67738,105062,64282,91238,106445,101779,113357,89510,1155514
RADIO MIL,93,484258,2143551,353,09,014,Benito Ju?írez,09014,133920,133056,152064,147312,133056,152064,147312,121651,96768,109814,116122,101606,1544746
RIO SAN JOAQUIN,94,477902,2150276,363,09,016,Miguel Hidalgo,09016,61603,62899,60826,21427,48384,44237,21427,102298,53222,80352,94003,FE,650678
SALESIANO,95,481404,2150143,379,09,016,Miguel Hidalgo,09016,91066,82253,88474,85709,62899,91238,42854,49766,36288,53568,27648,29030,740794
SAN FELIPE POPOTLA,96,481648,2151031,380,09,016,Miguel Hidalgo,09016,139277,106445,138240,139277,133056,154829,133920,129946,106445,149990,157594,135475,1624493
SAN JOAQUIN TACUBA,97,478238,2150738,386,09,016,Miguel Hidalgo,09016,120528,137894,152064,160704,140314,160358,168739,160358,123379,158026,143770,135475,1761610
TACUBA,98,480210,2151387,459,09,016,Miguel Hidalgo,09016,58925,55642,66355,53568,53222,63590,34819,22118,50803,120528,152064,96768,828403
TIZAPAN,99,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,123206,111283,105062,112493,74995,85709,88387,94003,62899,83030,74650,70157,1085875
VERONICA ,100,481682,2148727,555,09,016,Miguel Hidalgo,09016,136598,106445,116122,136598,120960,143770,131242,91238,74995,96422,102298,96768,1353456
VIADUCTO ,101,481343,2144628,556,09,014,Benito Ju?írez,09014,83030,108864,124416,107136,108864,124416,115171,60826,60480,58925,77414,70157,1099699
VISTA ALEGRE,102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ACOXPA #31,103,485192,2133795,5,09,012,Tlalpan,09012,69638,62899,69120,66960,111283,118886,147312,163123,118541,117850,138240,72576,1256429
ACOXPA #32,104,485455,2133735,6,09,012,Tlalpan,09012,219629,198374,223949,216950,179021,190771,198202,207360,157248,184810,199066,48384,2223763
AJUSCO,105,483445,2136071,14,09,003,Coyoac?ín,09003,58925,53222,60826,58925,45965,55296,50890,35942,43546,53568,55296,45965,618365
ALTILLO UNIVERSIDAD,106,481103,2138473,23,09,003,Coyoac?ín,09003,61603,55642,63590,61603,67738,80179,83030,82944,74995,83030,96768,72576,883699
BOSQUES DE TETLALMEYA,107,484033,2133858,90,09,003,Coyoac?ín,09003,34819,31450,35942,34819,113702,129946,125885,129946,113702,125885,129946,113702,1119744
CARACOL,108,482972,2134511,96,09,003,Coyoac?ín,09003,61603,55642,63590,69638,62899,71885,69638,71885,62899,24106,71885,62899,748570
CEDRAL,109,488152,2135509,103,09,003,Coyoac?ín,09003,80352,72576,82944,80352,96768,110592,77674,35942,RH,RH,RH,RH,637200
COLONIA DEL CARMEN FRAGATA ,110,483260,2139989,127,09,003,Coyoac?ín,09003,96422,87091,99533,96422,87091,99533,96422,105062,91930,101779,105062,91930,1158278
COPILCO UNIVERSIDAD,111,480690,2137954,128,09,003,Coyoac?ín,09003,21427,19354,22118,FE,12096,24883,21427,19354,4838,13392,2765,4838,166493
COUNTRY CLUB,112,485226,2139758,129,09,003,Coyoac?ín,09003,34819,31450,35942,152669,137894,157594,152669,124416,137894,85709,FS,70157,1121213
DEPORTIVO CANTIL,113,483864,2138082,133,09,003,Coyoac?ín,09003,144634,130637,149299,144634,123379,154829,117850,132710,133056,147312,121651,108864,1608854
DEPORTIVO DURANGO ,114,483374,2135359,134,09,003,Coyoac?ín,09003,96422,87091,99533,96422,91930,105062,101779,105062,91930,101779,82944,72576,1132531
DIRECTO #18,115,489804,2135343,140,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
DIRECTO #19,116,481368,2134327,141,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
DIRECTO #20-B ,117,480015,2134312,142,09,003,Coyoac?ín,09003,158026,142733,149299,144634,149990,171418,166061,171418,152410,168739,176947,154829,1906502
DIRECTO #21,118,479873,2134178,143,09,012,Tlalpan,09012,80352,72576,124416,120528,79834,91238,80352,82944,77414,85709,88474,77414,1061251
DIRECTO #24,119,482128,2135810,145,09,003,Coyoac?ín,09003,99101,89510,99533,96422,79834,91238,93744,96768,70157,77674,82944,72576,1049501
DIRECTO #25,120,483719,2134751,146,09,003,Coyoac?ín,09003,101779,91930,113357,109814,87091,99533,96422,99533,82253,91066,99533,87091,1159402
EDUCACION #1,121,485357,2138170,147,09,003,Coyoac?ín,09003,99101,89510,102298,99101,89510,102298,99101,96768,82253,91066,94003,82253,1127261
EDUCACION #2 (N) ,122,486192,2137920,148,09,003,Coyoac?ín,09003,61603,55642,63590,61603,38707,41472,53568,55296,43546,40176,60826,50803,626832
HUIPULCO ,123,485681,2132491,176,09,012,Tlalpan,09012,182131,164506,188006,182131,169344,193536,187488,193536,169344,187488,193536,169344,2180390
ISSSTE COAPA #1,124,487057,2133526,179,09,012,Tlalpan,09012,37498,33869,94003,91066,120960,138240,128563,132710,118541,131242,135475,118541,1280707
ISSSTE COAPA #2,125,488733,2133590,180,09,012,Tlalpan,09012,77674,70157,80179,77674,72576,82944,77674,80179,70157,77674,80179,70157,917222
ISSSTE COAPA #3,126,487084,2134763,181,09,003,Coyoac?ín,09003,83030,74995,88474,85709,77414,88474,83030,85709,74995,83030,91238,79834,995933
ISSSTE COAPA #4,127,487494,2135343,182,09,003,Coyoac?ín,09003,144634,130637,149299,144634,133056,154829,136598,146534,120960,93744,154829,120960,1630714
LA CIENEGA,128,483898,2137741,205,09,003,Coyoac?ín,09003,99101,89510,102298,77674,77414,127181,101779,118886,77414,120528,141005,84672,1217462
LOS COYOTES ,129,487314,2135852,214,09,003,Coyoac?ín,09003,RH,RH,RH,2678,4838,5530,5357,5530,4838,5357,5530,4838,44496
LOS REYES COYOACAN,130,483778,2138641,215,09,003,Coyoac?ín,09003,53568,48384,55296,53568,48384,55296,53568,55296,48384,53568,55296,48384,628992
METRO C.U.,131,481622,2136504,223,09,003,Coyoac?ín,09003,21427,19354,22118,21427,19354,22118,21427,13824,4838,21427,22118,19354,228787
MULTIF. COAPA #7 ,132,486679,2133212,233,09,012,Tlalpan,09012,45533,41126,47002,45533,41126,47002,45533,47002,41126,45533,47002,41126,534643
MULTIF. COAPA #8 ,133,487734,2132727,234,09,013,Xochimilco,09013,101779,91930,105062,101779,104026,77414,16070,80179,82253,93744,113357,87091,1054685
NAHUATLACAS ,134,483445,2136059,235,09,003,Coyoac?ín,09003,141955,72576,135475,131242,162086,190771,136598,154829,142733,158026,163123,137894,1727309
PASEOS DE TAXQUENA,135,486893,2138915,273,09,003,Coyoac?ín,09003,64282,58061,66355,64282,58061,66355,64282,66355,58061,88387,80179,50803,785462
PEDREGAL DE CARRASCO ,136,482587,2134705,276,09,003,Coyoac?ín,09003,112493,101606,116122,112493,99187,113357,112493,116122,94349,104458,113357,99187,1295222
PEDREGAL DE SAN FRANCISCO,137,482687,2138340,277,09,003,Coyoac?ín,09003,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PEDREGAL DE SANTO DOMINGO,138,482109,2136073,278,09,003,Coyoac?ín,09003,131242,118541,121651,133920,149990,171418,166061,171418,116122,128563,129946,113702,1652573
PEDREGAL IMAN,139,481901,2135103,279,09,003,Coyoac?ín,09003,88387,79834,91238,88387,79834,91238,88387,91238,79834,88387,91238,79834,1037837
PERIFERICO #1,140,485573,2136312,293,09,003,Coyoac?ín,09003,141955,128218,146534,139277,125798,143770,123206,143770,125798,139277,143770,125798,1627171
PERIFERICO #2,141,486493,2134490,304,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PERIFERICO #3,142,484822,2133935,305,09,012,Tlalpan,09012,58925,53222,60826,58925,53222,47002,48211,49766,43546,48211,49766,43546,615168
PERIFERICO #4,143,484272,2133665,306,09,012,Tlalpan,09012,45533,41126,47002,45533,29030,38707,40176,44237,24192,48211,41472,36288,481507
PERIFERICO #10,144,486333,2132216,294,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PERIFERICO #11,145,488634,2132855,295,09,013,Xochimilco,09013,112493,101606,116122,112493,101606,110592,107136,88474,87091,107136,110592,74995,1230336
PERIFERICO #12,146,488153,2133115,296,09,012,Tlalpan,09012,155347,140314,160358,155347,140314,160358,155347,160358,140314,155347,160358,140314,1824077
PERIFERICO #13,147,486343,2136134,297,09,003,Coyoac?ín,09003,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PERIFERICO #14,148,488083,2134134,298,09,003,Coyoac?ín,09003,93744,84672,96768,93744,84672,96768,93744,96768,84672,93744,96768,84672,1100736
PERIFERICO #15,149,485969,2135229,299,09,003,Coyoac?ín,09003,56246,50803,58061,56246,50803,77414,99101,132710,118541,99101,138240,111283,1048550
PERIFERICO #16,150,489444,2134015,300,09,013,Xochimilco,09013,77674,70157,80179,77674,94349,152064,131242,143770,99187,66960,105062,94349,1192666
PERIFERICO #17,151,489484,2134564,301,09,013,Xochimilco,09013,109814,99187,113357,109814,108864,82944,74995,85709,55642,53568,60826,65318,1020038
POZO 20 DE AGOSTO ,152,487195,2138577,318,09,003,Coyoac?ín,09003,72317,65318,74650,72317,94349,91238,88387,60826,67738,104458,116122,99187,1006906
PRADOS CHURUBUSCO ,153,486699,2140007,320,09,003,Coyoac?ín,09003,174096,157248,179712,174096,157248,179712,174096,179712,157248,174096,179712,157248,2044224
PREPARATORIA #5 (N) ,154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,93744,84672,96768,93744,67738,77414,74995,77414,67738,74995,77414,67738,954374
REY MOCTEZUMA,155,483541,2137081,360,09,003,Coyoac?ín,09003,64282,58061,66355,64282,58061,66355,64282,66355,58061,64282,66355,58061,754790
ROMERO DE TERREROS,156,482187,2138640,364,09,003,Coyoac?ín,09003,120528,108864,124416,120528,104026,77414,88387,107827,111283,128563,116122,87091,1295050
RUIZ CORTINEZ,157,484853,2136072,365,09,003,Coyoac?ín,09003,107136,96768,110592,107136,101606,116122,112493,116122,101606,112493,116122,101606,1299802
SAN FRANCISCO CULHUACAN ,158,487793,2137344,382,09,003,Coyoac?ín,09003,120528,108864,124416,120528,91930,91238,109814,138240,106445,112493,80179,62899,1267574
SAN NICOLAS TOLENTINO,159,485838,2133075,418,09,012,Tlalpan,09012,155347,140314,160358,155347,140314,160358,155347,160358,140314,155347,160358,140314,1824077
SANTA URSULA,160,483587,2135232,448,09,003,Coyoac?ín,09003,101779,91930,152064,149990,149990,171418,163382,168653,147571,163382,171418,149990,1781568
SANTA URSULA COAPA,161,483956,2134956,449,09,003,Coyoac?ín,09003,112493,101606,116122,112493,118541,138240,133920,138240,120960,133920,138240,120960,1485734
TERRANOVA,162,480277,2137821,495,09,003,Coyoac?ín,09003,69638,62899,94003,91066,67738,77414,91066,94003,84672,93744,69120,60480,955843
UNIVERSIDAD SANTA CATARINA ,163,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64282,58061,66355,64282,58061,66355,64282,60826,53222,58925,60826,53222,728698
VILLA OLIMPICA #1,164,480489,2134541,563,09,003,Coyoac?ín,09003,144634,130637,105062,101779,58061,69120,101779,132710,116122,128563,132710,116122,1337299
VIVEROS DEL RELOJ #1,165,485383,2135593,568,09,003,Coyoac?ín,09003,64282,58061,66355,80352,36288,80179,107136,113357,94349,91066,102298,91930,985651
VIVEROS DEL RELOJ #2,166,485353,2136042,569,09,003,Coyoac?ín,09003,101779,91930,105062,101779,96768,118886,101779,113357,96768,115171,116122,96768,1256170
ZAPATA #17 ,167,482186,2134254,576,09,012,Tlalpan,09012,34819,31450,63590,61603,55642,63590,21427,FE,14515,34819,63590,55642,500688
ZAPOTECAS,168,483267,2136640,577,09,003,Coyoac?ín,09003,8035,4838,5530,5357,4838,5530,5357,5530,4838,5357,5530,4838,65578
TULYEHUALCO SUR #1 ,169,489324,2133515,512,09,012,Tlalpan,09012,235532,236406,248174,244183,189180,205048,180140,182211,186723,176032,212714,233199,2529540
TULYEHUALCO SUR #2 ,170,488938,2133322,517,09,012,Tlalpan,09012,109149,109554,108576,106830,81419,86336,72968,73807,74210,69961,89287,97886,1079984
