LOMAS ESTRELLA #3,162,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
MULTIF. COAPA #7,163,486679,2133212,233,09,012,Tlalpan,09012,187488,152410,133920,137376,69638,62208,72317,69638,145152,131242,139968,149990,1451347
MULTIF. COAPA #8,164,487734,2132727,234,09,013,Xochimilco,09013,176774,210470,192845,202176,85709,82944,85709,88387,202176,206237,165888,166061,1865376
PASEOS DE TAXQUENA,165,486893,2138915,273,09,003,Coyoac?ín,09003,152669,120960,160704,163296,171418,152928,179453,171418,173664,144634,150336,171418,1912896
PERIFERICO #1,166,485573,2136312,293,09,003,Coyoac?ín,09003,61603,48384,32141,33696,34819,31104,37498,34819,36288,50890,51840,56246,509328
PERIFERICO #2,167,486493,2134490,304,09,012,Tlalpan,09012,56246,43546,50890,54432,56246,41472,48211,45533,46656,40176,44064,48211,575683
PERIFERICO #3,168,484822,2133935,305,09,012,Tlalpan,09012,195523,154829,158026,163296,168739,155520,184810,174096,163296,168739,178848,192845,2058566
PERIFERICO #4,169,484272,2133665,306,09,012,Tlalpan,09012,REPOS.,24192,32141,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,56333
PERIFERICO #5,170,483200,2133848,307,09,012,Tlalpan,09012,69638,62899,107136,101088,112493,72576,74995,72317,72576,64282,67392,58925,936317
PERIFERICO #6,171,484192,2132586,308,09,012,Tlalpan,09012,REPOS.,REPOS.,REPOS.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,25920,29462,28512,32141,116035
PERIFERICO #7,172,483602,2132446,309,09,012,Tlalpan,09012,48211,58061,66960,62208,56246,64800,64282,64282,57024,64282,62208,66960,735523
PERIFERICO #8,173,483602,2132446,310,09,012,Tlalpan,09012,29462,21773,26784,28512,29462,25920,29462,29462,142560,112493,119232,128563,723686
PERIFERICO #9,174,486233,2131345,311,09,013,Xochimilco,09013,115171,87091,104458,106272,109814,127008,128563,131242,129600,115171,116640,120528,1391558
PERIFERICO #10,175,486333,2132216,294,09,013,Xochimilco,09013,69638,70157,72317,75168,77674,85536,91066,88387,64800,77674,72576,72317,917309
PERIFERICO #11,176,488634,2132855,295,09,013,Xochimilco,09013,69638,50803,48211,41472,42854,44064,42854,42854,59616,45533,51840,53568,593309
PERIFERICO #12,177,488153,2133115,296,09,012,Tlalpan,09012,88387,82253,93744,85536,88387,80352,101779,101779,108864,104458,103680,101779,1140998
PERIFERICO #13,178,486343,2136134,297,09,003,Coyoac?ín,09003,101779,99187,147312,150336,152669,152928,163382,160704,132192,166061,171072,174096,1771718
PERIFERICO #14,179,488083,2134134,298,09,003,Coyoac?ín,09003,152669,45965,50890,46656,50890,41472,50890,53568,98496,58925,57024,58925,766368
PERIFERICO #15,180,485969,2135229,299,09,003,Coyoac?ín,09003,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
PERIFERICO #16,181,489444,2134015,300,09,013,Xochimilco,09013,246413,220147,235699,230688,233021,225504,241056,227664,189216,243734,142560,249091,2684794
PERIFERICO #17,182,489484,2134564,301,09,013,Xochimilco,09013,123206,74995,115171,121824,125885,124416,128563,125885,119232,131242,127008,128563,1445990
PERIFERICO #18,183,489804,2135343,302,09,013,Xochimilco,09013,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,REPOS.,REPOS.,REPOS.,REPOS.,0
PERIFERICO #19,184,488874,2136877,303,09,003,Coyoac?ín,09003,190166,149990,152669,155520,163382,158112,184810,176774,176256,192845,204768,219629,2124922
PREPARATORIA #5 (V),185,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,REPOS.,REPOS.,REPOS.,REPOS.,0
PREPARATORIA #5 (N),186,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91066,74995,101779,80352,77674,85536,91066,77674,116640,93744,93312,107136,1090973
PISTA OLIMPICA #1,187,489138,2132973,314,09,013,Xochimilco,09013,16070,33869,107136,98496,80352,72576,42854,61603,158112,66960,85536,88387,911952
PISTA OLIMPICA #2,188,487790,2131726,315,09,013,Xochimilco,09013,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,REPOS.,REPOS.,REPOS.,REPOS.,0
SANTA CATARINA #8,189,493646,2134643,436,09,007,Iztapalapa,09007,RECUP.,RECUP.,152669,178848,187488,165888,195523,160704,163296,179453,186624,203558,1774051
SANTA CATARINA #9,190,493593,2134868,437,09,007,Iztapalapa,09007,139277,111283,131242,134784,139277,124416,147312,40176,41472,0,57024,61603,1127866
SANTA CATARINA #10,191,493108,2135089,426,09,007,Iztapalapa,09007,RECUP.,RECUP.,RECUP.,REHAB.,REHAB.,REHAB.,REHAB.,64282,189216,61603,REHAB.,REHAB.,315101
SANTA CATARINA #11,192,492327,2134822,427,09,007,Iztapalapa,09007,120528,106445,115171,134784,160704,165888,195523,187488,181440,149990,184032,158026,1860019
SANTA CATARINA #12,193,493246,2135738,428,09,007,Iztapalapa,09007,53568,29030,8035,33696,69638,57024,66960,64282,93312,93744,90720,93744,753754
SANTA CATARINA #13,194,492660,2136245,429,09,007,Iztapalapa,09007,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
SAN LORENZO TEZONCO,195,492660,2136245,392,09,007,Iztapalapa,09007,40176,33869,40176,38880,37498,33696,21427,13392,25920,24106,28512,29462,367114
ACOXPA #31,196,485192,2133795,5,09,012,Tlalpan,09012,286589,273370,278554,292896,238378,248832,80352,80352,282528,267840,274752,318730,2923171
ACOXPA #32,197,485455,2133735,6,09,012,Tlalpan,09012,72317,79834,74995,85536,53568,72576,305338,305338,238464,216950,189216,257126,1951258
ISSSTE COAPA #1,198,487057,2133526,179,09,012,Tlalpan,09012,281232,314496,297302,303264,283910,295488,374976,372298,326592,283910,274752,291946,3700166
ISSSTE COAPA #2,199,488733,2133590,180,09,012,Tlalpan,09012,163382,183859,168739,160704,230342,196992,241056,241056,209952,227664,243648,243734,2511130
ISSSTE COAPA #3,200,487084,2134763,181,09,003,Coyoac?ín,09003,P.Nvo:,319334,192845,292896,243734,233280,321408,321408,233280,179453,222912,37498,2598048
ISSSTE COAPA #4,201,487494,2135343,182,09,003,Coyoac?ín,09003,243734,273370,257126,290304,174096,171072,208915,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,1618618
BELISARIO DOMINGUEZ,202,481265,2133300,86,09,012,Tlalpan,09012,REPAR.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,45533,46656,45533,51840,53568,243130
EL CAMINERO,203,481103,2138473,150,09,003,Coyoac?ín,09003,37498,36288,40176,33696,45533,44064,48211,48211,36288,37498,38880,37498,483840
EL TREBOL,204,482401,2131586,151,09,012,Tlalpan,09012,91066,89510,107136,95904,93744,85536,93744,88387,57024,53568,62208,58925,976752
GALEANA TLALPAN,205,482632,2132332,162,09,012,Tlalpan,09012,24106,29030,32141,31104,32141,25920,40176,24106,31104,21427,20736,37498,349488
HIDALGO TLALPAN,206,480912,2132969,172,09,012,Tlalpan,09012,112493,118541,128563,132192,64282,59616,88387,56246,59616,61603,95904,91066,1068509
NORMANDIA,207,485856,2141928,247,09,007,Iztapalapa,09007,24106,31450,34819,12960,18749,28512,29462,37498,54432,53568,51840,29462,406858
R-2,208,483177,2130602,338,09,012,Tlalpan,09012,21427,21773,10714,REPAR.,REPAR.,REPAR.,0,37498,49248,72317,69984,74995,357955
R-3,209,483552,2130452,346,09,012,Tlalpan,09012,34819,99187,0,REHAB.,34819,85536,91066,91066,59616,61603,57024,13392,628128
R-4,210,483815,2130811,347,09,012,Tlalpan,09012,104458,94349,104458,101088,99101,101088,104458,104458,98496,107136,103680,107136,1229904
R-5,211,484339,2131154,348,09,012,Tlalpan,09012,REPAR.,2419,5357,2592,REPAR.,REPAR.,0,POZ.PAR,51840,50890,57024,58925,229046
R-6,212,485210,2132061,349,09,013,Xochimilco,09013,99101,94349,104458,101088,101779,101088,104458,74995,77760,85709,90720,91066,1126570
R-7,213,484935,2131404,350,09,012,Tlalpan,09012,18749,REPAR.,18749,25920,32141,REPAR.,0,37498,44064,120528,116640,120528,534816
R-8,214,484693,2131234,351,09,012,Tlalpan,09012,24106,21773,26784,25920,26784,12960,24106,21427,28512,37498,62208,64282,376358
R-9,215,484129,2130853,352,09,012,Tlalpan,09012,61603,29030,91066,88128,88387,23328,64282,85709,116640,42854,88128,85709,864864
R-10,216,483792,2130536,334,09,012,Tlalpan,09012,13392,12096,13392,20736,26784,25920,18749,16070,49248,53568,85536,64282,399773
SAN FERNANDO TLALPAN,217,481638,2133393,381,09,012,Tlalpan,09012,208915,188698,200880,204768,187488,134784,206237,230342,235872,243734,235872,179453,2457043
SAN PEDRO MARTIR #1,218,483072,2129627,420,09,012,Tlalpan,09012,58925,50803,58925,54432,53568,49248,69638,66960,103680,112493,106272,112493,897437
SANTA URSULA XITLA,219,480995,2131462,450,09,012,Tlalpan,09012,18749,16934,13392,12960,16070,18144,16070,16070,15552,16070,10368,16070,186451
TOPILEJO,220,486705,2123955,500,09,013,Xochimilco,09013,34819,33869,34819,18144,26784,23328,24106,24106,23328,21427,23328,32141,320198
TORIELLO,221,483222,2133095,501,09,012,Tlalpan,09012,42854,53222,61603,62208,58925,57024,64282,69638,36288,48211,38880,45533,638669
VILLA OLIMPICA #2,222,480443,2134197,564,09,012,Tlalpan,09012,18749,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,RECUP.,10714,59616,80352,88128,91066,348624
VILLA OLIMPICA #3,223,479950,2133465,565,09,012,Tlalpan,09012,58925,62899,58925,75168,80352,64800,42854,50890,20736,0,0,,515549
ARTESANIAS O VILLA OLIMPICA,224,480679,2133319,40,09,012,Tlalpan,09012,125885,91930,120528,121824,144634,139968,40176,69638,72576,128563,101088,101779,1258589
BOSQUE TLALPAN #1,225,479688,2133363,88,09,012,Tlalpan,09012,66960,74995,80352,59616,21427,57024,91066,40176,20736,29462,62208,64282,668304
BOSQUE TLALPAN #2,226,479648,2133076,89,09,012,Tlalpan,09012,8035,REPAR.,18749,28512,24106,20736,32141,29462,31104,37498,18144,16070,264557
CANAL #13,227,478437,2134424,95,09,012,Tlalpan,09012,99101,82253,101779,98496,77674,77760,66960,77674,44064,42854,57024,61603,887242
FUENTES BROTANTES #1,228,481550,2132467,159,09,012,Tlalpan,09012,REPOS.,REHAB.,REPAR.,REHAB.,REHAB.,7776,26784,REHAB.,REHAB.,0,36288,48211,119059
FUENTES BROTANTES #2,229,481296,2132279,160,09,012,Tlalpan,09012,REHAB.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
FUENTES DEL PEDREGAL,230,476178,2134095,161,09,012,Tlalpan,09012,91066,70157,61603,75168,85709,36288,50890,91066,88128,83030,75168,85709,893981
ISSFAM,231,483120,2131330,178,09,012,Tlalpan,09012,61603,53222,77674,49248,115171,147744,104458,101779,75168,83030,101088,99101,1069286
LIMANTITLA,232,481534,2132038,211,09,012,Tlalpan,09012,48211,14515,18749,20736,50890,41472,10714,10714,67392,107136,57024,56246,503798
#37,233,483038,2133008,1,09,012,Tlalpan,09012,96422,91930,123206,106272,104458,108864,104458,109814,108864,123206,93312,117850,1288656
PADIERNA #1,234,476778,2134389,255,09,012,Tlalpan,09012,123206,36288,18749,38880,53568,25920,REPAR.,40176,51840,34819,59616,61603,544666
PADIERNA #2,235,476720,2134847,256,09,012,Tlalpan,09012,37498,101606,21427,25920,80352,33696,REPAR.,32141,20736,66960,75168,74995,570499
PADIERNA #3,236,477226,2134706,257,09,012,Tlalpan,09012,29462,12096,85709,103680,77674,72576,64282,45533,REPAR.,REPAR.,REPAR.,REPAR.,491011
PADIERNA #5,237,477814,2133790,259,09,012,Tlalpan,09012,53568,48384,50890,38880,61603,5184,29462,32141,36288,53568,59616,61603,531187
PADIERNA PICACHO,238,476943,2133837,260,09,012,Tlalpan,09012,88387,74995,16070,106272,80352,119232,112493,115171,114048,96422,72576,42854,1038874
PEDREGAL AGUILAS,239,482211,2130826,275,09,012,Tlalpan,09012,32141,24192,16070,15552,21427,18144,10714,8035,5184,8035,12960,16070,188525
PENA POBRE,240,479896,2133084,280,09,012,Tlalpan,09012,83030,77414,107136,101088,74995,36288,2678,50890,88128,107136,36288,34819,799891
REINO AVENTURA,241,477889,2133563,358,09,012,Tlalpan,09012,141955,133056,64282,51840,53568,36288,5357,10714,23328,42854,38880,40176,642298
SUR #27 BIS,242,483401,2133291,458,09,012,Tlalpan,09012,155347,147571,136598,147744,72317,77760,48211,53568,51840,61603,64800,80352,1097712
TLALCOLICIA,243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40176,31450,37498,41472,32141,31104,21427,13392,5184,13392,23328,13392,303955
VIADUCTO TLALPAN #1,244,483438,2132139,557,09,012,Tlalpan,09012,107136,106445,104458,95904,99101,90720,101779,107136,124416,131242,80352,85709,1234397
VIADUCTO TLALPAN #2,245,483032,2131706,558,09,012,Tlalpan,09012,104458,101606,99101,82944,64282,69984,72317,72317,85536,104458,77760,64282,999043
NATIVITAS,246,485550,2142726,236,09,014,Benito Ju?írez,09014,48211,43546,45533,46656,48211,38880,66960,66960,62208,53568,72576,80352,673661
NORIA #1,247,486562,2130782,240,09,013,Xochimilco,09013,58925,50803,53568,54432,56246,46656,56246,53568,57024,58925,64800,66960,678154
NORIA #2,248,487133,2129237,241,09,013,Xochimilco,09013,171418,147571,158026,80352,93744,77760,88387,93744,69984,72317,93312,96422,1243037
NORIA #3,249,487635,2129008,242,09,013,Xochimilco,09013,0,12096,53568,51840,56246,38880,42854,48211,57024,58925,44064,45533,509242
NORIA #4,250,487975,2128974,243,09,013,Xochimilco,09013,369619,331430,350870,352512,361584,349920,139277,227664,248832,259805,274752,297302,3563568
NORIA #5,251,487231,2128266,244,09,013,Xochimilco,09013,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
NORIA #6,252,488178,2127972,245,09,013,Xochimilco,09013,224986,203213,120528,139968,141955,12960,133920,149990,158112,171418,152928,168739,1778717
NORIA #7,253,489421,2127836,246,09,013,Xochimilco,09013,163382,152410,155347,147744,155347,139968,198202,195523,269568,265162,274752,168739,2286144
RECLUSORIO SUR #1,254,487085,2126212,354,09,013,Xochimilco,09013,184810,159667,171418,173664,179453,150336,171418,104458,111456,91066,93312,101779,1692835
RECLUSORIO SUR #2,255,486650,2126527,355,09,013,Xochimilco,09013,61603,53222,56246,57024,58925,49248,56246,50890,54432,83030,82944,85709,749520
RESIDENCIAL SUR,256,486065,2131760,359,09,013,Xochimilco,09013,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,120528,101088,115171,115171,121824,128563,129600,133920,965866
S-1,257,488882,2127217,366,09,013,Xochimilco,09013,246413,140314,219629,163296,214272,41472,96422,163382,189216,299981,311040,257126,2342563
S-2,258,487111,2126517,371,09,013,Xochimilco,09013,104458,79834,85709,85536,88387,75168,85709,91066,95904,107136,106272,115171,1120349
S-3,259,489958,2126538,372,09,013,Xochimilco,09013,53568,36288,32141,38880,40176,33696,40176,37498,41472,42854,44064,45533,486346
S-4,260,486666,2126212,373,09,013,Xochimilco,09013,37498,38707,48211,44064,48211,44064,21427,34819,36288,32141,31104,40176,456710
S-5,261,489992,2126177,374,09,013,Xochimilco,09013,107136,70157,74995,77760,80352,67392,74995,74995,80352,83030,98496,101779,991440
S-6,262,490912,2126096,375,09,013,Xochimilco,09013,115171,36288,40176,38880,40176,M.Cal.,M.Cal.,50890,114048,133920,137376,141955,848880
S-7,263,492891,2126808,376,09,013,Xochimilco,09013,144634,116122,123206,124416,128563,108864,123206,123206,132192,144634,147744,149990,1566778
S-8,264,488261,2127516,377,09,013,Xochimilco,09013,192845,137894,200880,212544,216950,150336,163382,152669,181440,158026,155520,176774,2099261
S-9,265,486026,2130803,378,09,013,Xochimilco,09013,141955,118541,125885,127008,131242,111456,125885,147312,147744,155347,155520,160704,1648598
S-10,266,485222,2130406,367,09,013,Xochimilco,09013,69638,43546,45533,46656,45533,38880,45533,50890,51840,56246,57024,58925,610243
S-11,267,496467,2128172,368,09,013,Xochimilco,09013,120528,29030,REPAR.,80352,83030,69984,80352,80352,88128,93744,93312,91066,909878
SAN GREGORIO ATL. #1,268,493006,2128467,383,09,013,Xochimilco,09013,101779,91930,91066,95904,93744,98496,72317,72317,69984,69638,69984,72317,999475
SAN GREGORIO ATL. #2,269,492890,2127862,384,09,013,Xochimilco,09013,66960,74995,80352,80352,83030,69984,88387,85709,90720,96422,98496,101779,1017187
SAN LUIS #1,270,497615,2129035,394,09,013,Xochimilco,09013,158026,137894,168739,158112,155347,163296,168739,141955,155520,158026,155520,149990,1871165
SAN LUIS #3,271,497036,2129582,407,09,013,Xochimilco,09013,26784,74995,88387,95904,83030,77760,74995,18749,90720,RECUP.,REHAB.,REHAB.,631325
SAN LUIS #4,272,497202,2129606,408,09,013,Xochimilco,09013,REPOS.,REPOS.,REPOS.,REHAB.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
SAN LUIS #5,273,497315,2129600,409,09,013,Xochimilco,09013,133920,116122,133920,111456,115171,132192,112493,109814,132192,133920,132192,133920,1497312
SAN LUIS #6,274,497439,2129597,410,09,013,Xochimilco,09013,182131,154829,182131,178848,168739,178848,203558,176774,171072,174096,171072,174096,2116195
SAN LUIS #7,275,496647,2129289,411,09,013,Xochimilco,09013,203558,171763,198202,186624,184810,194400,208915,203558,202176,200880,199584,195523,2349994
SAN LUIS #8,276,496435,2128999,412,09,013,Xochimilco,09013,187488,162086,174096,173664,182131,152928,171418,184810,209952,219629,222912,107136,2148250
SAN LUIS #9,277,496048,2129025,413,09,013,Xochimilco,09013,235699,203213,216950,217728,227664,191808,332122,316051,256608,270518,274752,281232,3024346
SAN LUIS #10,278,495713,2128981,395,09,013,Xochimilco,09013,388368,362880,409795,422496,404438,422496,334800,278554,119232,192845,266976,265162,3868042
SAN LUIS #11,279,495413,2128559,396,09,013,Xochimilco,09013,227664,193536,224986,215136,208915,222912,206237,211594,212544,216950,209952,214272,2564698
SAN LUIS #12,280,495360,2128726,397,09,013,Xochimilco,09013,254448,212890,246413,246240,208915,186624,238378,40176,49248,120528,316224,294624,2414707
SAN LUIS #13,281,494961,2128603,398,09,013,Xochimilco,09013,192845,174182,182131,168480,144634,181440,289267,147312,137376,112493,114048,184810,2029018
SAN LUIS #14,282,493710,2128823,399,09,013,Xochimilco,09013,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
SAN LUIS #16,283,492704,2128176,401,09,013,Xochimilco,09013,101779,84672,83030,90720,109814,25920,83030,179453,202176,195523,147744,56246,1360109
SAN LUIS #17,284,492917,2128568,402,09,013,Xochimilco,09013,158026,162086,155347,171072,171418,171072,190166,184810,189216,174096,165888,192845,2086042
SAN LUIS #18,285,492829,2128339,403,09,013,Xochimilco,09013,171418,157248,182131,176256,174096,176256,104458,101779,168480,369619,355104,345514,2482358
SAN LUIS #19,286,491807,2127960,404,09,013,Xochimilco,09013,112493,96768,104458,103680,109814,90720,104458,104458,111456,RECUP.,REHAB.,RECUP.,938304
SAN LUIS #20,287,490706,2127793,406,09,013,Xochimilco,09013,174096,152410,184810,173664,139277,160704,198202,198202,189216,206237,155520,200880,2133216
SAN LUIS TLAXIALTEMALCO,288,496162,2128409,414,09,013,Xochimilco,09013,64282,53222,56246,57024,58925,49248,56246,120528,145152,109814,111456,115171,997315
SAN LORENZO ATEMOAYA #1,289,489528,2127154,390,09,013,Xochimilco,09013,216950,193536,206237,207360,214272,181440,163382,166061,171072,179453,184032,187488,2271283
SAN LORENZO ATEMOAYA #2,290,489441,2127276,391,09,013,Xochimilco,09013,85709,43546,45533,46656,74995,62208,61603,61603,64800,34819,33696,34819,649987
SAN LUCAS XOCHIMANCA,291,487902,2127087,393,09,013,Xochimilco,09013,85709,79834,42854,75168,83030,15552,69638,85709,90720,64282,64800,85709,843005
SANTA CRUZ ACALPIXCA #1,292,492715,2127316,440,09,013,Xochimilco,09013,91066,48384,50890,51840,80352,67392,56246,56246,80352,93744,95904,99101,871517
SANTA CRUZ ACALPIXCA #2,293,492727,2127595,441,09,013,Xochimilco,09013,83030,94349,101779,103680,107136,REPAR.,123206,128563,191808,200880,202176,206237,1542845
SANTA CRUZ XOCHITEPEC,294,486440,2128685,444,09,013,Xochimilco,09013,171418,154829,168739,165888,171418,168480,144634,184810,82944,131242,147744,141955,1834099
SANTIAGO TEPALCATLALPAN,295,487217,2127605,451,09,013,Xochimilco,09013,69638,58061,61603,62208,66960,54432,61603,58925,62208,64282,62208,64282,746410
TEPEPAN #1,296,484817,2130992,485,09,012,Tlalpan,09012,85709,60480,64282,51840,72317,62208,69638,69638,72576,64282,64800,66960,804730
TEPEPAN #2,297,484526,2130414,486,09,012,Tlalpan,09012,77674,58061,85709,72576,74995,59616,85709,72317,80352,91066,88128,88387,934589
TEPEPAN #3,298,485444,2131291,487,09,013,Xochimilco,09013,117850,99187,45533,23328,109814,93312,109814,101779,101088,107136,106272,109814,1124928
ARENAL,299,485285,2131689,37,09,013,Xochimilco,09013,259805,237082,190166,181440,182131,178848,166061,166061,171072,174096,168480,171418,2246659
MONTE SUR #1,300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58925,48384,56246,57024,53568,51840,53568,50890,46656,50890,54432,56246,638669
MONTE SUR #2,301,487741,2125198,232,09,013,Xochimilco,09013,16070,14515,16070,15552,16070,15552,16070,13392,46656,48211,49248,50890,318298
CERRILLOS #1,302,497979,2128002,105,09,013,Xochimilco,09013,58925,53222,74995,59616,72317,54432,69638,72317,72576,74995,69984,61603,794621
CERRILLOS #2,303,498560,2127688,106,09,011,Tl?íhuac,09011,112493,29030,56246,54432,50890,54432,58925,58925,57024,58925,57024,58925,707270
ESCUDO NACIONAL #1,304,499305,2127979,153,09,011,Tl?íhuac,09011,91066,74995,88387,88128,88387,80352,88387,66960,82944,83030,82944,80352,995933
ESCUDO NACIONAL #2,305,499028,2127046,154,09,011,Tl?íhuac,09011,50890,43546,69638,31104,40176,59616,48211,45533,155520,152669,165888,176774,1039565
R-11,306,499184,2127397,335,09,011,Tl?íhuac,09011,141955,137894,93744,59616,53568,57024,163382,131242,142560,139277,142560,152669,1415491
R-16,307,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
R-18,308,500141,2123254,336,09,009,Milpa Alta,09009,88387,79834,83030,85536,74995,80352,147312,141955,163296,123206,124416,133920,1326240
R-19,309,498387,2122183,337,09,009,Milpa Alta,09009,155347,140314,144634,150336,133920,142560,152669,147312,171072,163382,165888,176774,1844208
R-21,310,498543,2122563,339,09,009,Milpa Alta,09009,123206,113702,125885,121824,13392,108864,174096,168739,194400,166061,171072,182131,1663373
R-22,311,500132,2122660,340,09,009,Milpa Alta,09009,147312,133056,144634,142560,136598,108864,136598,131242,150336,131242,134784,144634,1641859
R-23,312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,P.Nvo:,0
R-24,313,499460,2123283,341,09,009,Milpa Alta,09009,69638,62899,64282,67392,61603,64800,66960,64282,72576,72317,72576,77674,816998
R-25,314,498704,2122951,342,09,009,Milpa Alta,09009,74995,130637,219629,228096,206237,222912,176774,171418,181440,219629,222912,224986,2279664
R-26,315,500353,2122335,343,09,009,Milpa Alta,09009,109814,99187,101779,106272,96422,101088,107136,104458,119232,123206,121824,123206,1313626
R-28,316,500633,2123093,345,09,009,Milpa Alta,09009,107136,94349,99101,101088,91066,98496,99101,96422,111456,109814,111456,117850,1237334
S-12,317,498012,2128664,369,09,013,Xochimilco,09013,147312,123379,74995,160704,128563,160704,158026,144634,88128,112493,106272,112493,1517702
S-13,318,498497,2128189,370,09,013,Xochimilco,09013,56246,53222,56246,67392,37498,59616,48211,66960,95904,104458,90720,96422,832896
TECOMITL #4,319,494013,2142311,479,09,007,Iztapalapa,09007,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
TECOMITL #5,320,500626,2125033,480,09,009,Milpa Alta,09009,2678,58061,2678,5184,2678,2592,8035,18749,20736,8035,2592,2678,134698
TECOMITL #6,321,500678,2124832,481,09,009,Milpa Alta,09009,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
TECOMITL #7,322,500747,2124403,482,09,009,Milpa Alta,09009,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
TECOMITL #8,323,500542,2124228,483,09,009,Milpa Alta,09009,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
TECOMITL #9,324,501332,2124686,484,09,009,Milpa Alta,09009,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
TECOMITL #10,325,501476,2124659,464,09,009,Milpa Alta,09009,133920,118541,123206,127008,115171,121824,64282,61603,69984,125885,127008,136598,1325030
TECOMITL #11,326,501597,2124497,465,09,009,Milpa Alta,09009,214272,164506,203558,176256,206237,209952,200880,179453,191808,166061,160704,158026,2231712
TECOMITL #12,327,502121,2124423,466,09,009,Milpa Alta,09009,211594,188698,198202,204768,184810,194400,REPAR.,139277,147744,128563,129600,139277,1866931
TECOMITL #13,328,501779,2124406,467,09,009,Milpa Alta,09009,147312,133056,139277,142560,128563,137376,139277,136598,155520,112493,116640,123206,1611878
TECOMITL #14,329,502113,2124639,468,09,009,Milpa Alta,09009,128563,116122,120528,124416,112493,119232,120528,117850,134784,107136,108864,115171,1425686
TECOMITL #15,330,502326,2124457,469,09,009,Milpa Alta,09009,182131,162086,179453,176256,163382,163296,176774,160704,171072,139277,142560,141955,1958947
TECOMITL #16,331,500873,2125426,470,09,009,Milpa Alta,09009,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
TECOMITL #17,332,502892,2124315,471,09,009,Milpa Alta,09009,171418,152410,149990,163296,155347,160704,174096,144634,163296,182131,178848,184810,1980979
TULYEHUALCO #2,333,499862,2127969,505,09,011,Tl?íhuac,09011,214272,159667,249091,243648,235699,189216,69638,0,196992,40176,298080,318730,2215210
