DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay,Urban
REPDA-EDO,511671.0217,2133330.791,-0.001744039,2005,2014,4709,253,361,7665,10950,-150.6849315,15,39,Ixtapaluca,15039,0,2003
REPDA-EDO,509451.629,2135880.508,-0.000577467,2005,2014,4710,253,361,7665,10950,-49.89315068,15,39,Ixtapaluca,15039,0,2015
REPDA-EDO,510911.102,2135174.42,-0.000729325,2005,2014,4711,253,361,7665,10950,-63.01369863,15,39,Ixtapaluca,15039,0,2015
REPDA-EDO,510940.2841,2135174.438,-0.018378995,2005,2014,4712,253,361,7665,10950,-1587.945205,15,39,Ixtapaluca,15039,0,2015
REPDA-EDO,509889.9465,2134774.28,-0.048328767,2005,2014,4713,253,361,7665,10950,-4175.605479,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,509889.8962,2134866.485,-0.003472222,2005,2014,4714,253,361,7665,10950,-300,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,509889.9465,2134774.28,-0.01826484,2005,2014,4715,253,361,7665,10950,-1578.082192,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,509860.7805,2134743.529,-0.043150685,2005,2014,4716,253,361,7665,10950,-3728.219178,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,509889.913,2134835.75,-0.01826484,2005,2014,4717,253,361,7665,10950,-1578.082192,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,513682.4757,2136405.702,-0.011130137,2005,2014,4718,253,361,7665,10950,-961.6438356,15,39,Ixtapaluca,15039,0,Rural
REPDA-EDO,513683.5181,2135022.623,-0.013356164,2005,2014,4719,253,361,7665,10950,-1153.972603,15,39,Ixtapaluca,15039,0,Rural
REPDA-EDO,513538.2935,2134100.462,-0.019520548,2005,2014,4720,253,361,7665,10950,-1686.575342,15,25,Chalco,15025,0,Rural
REPDA-EDO,514702.4112,2138096.933,-0.01130137,2005,2014,4721,253,361,7665,10950,-976.4383562,15,39,Ixtapaluca,15039,0,Rural
REPDA-EDO,515433.677,2135946.079,-0.01130137,2005,2014,4722,253,361,7665,10950,-976.4383562,15,39,Ixtapaluca,15039,0,Rural
REPDA-EDO,509889.226,2136095.887,-0.000634196,2005,2014,4723,253,361,7665,10950,-54.79452055,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,513972.5014,2138711.06,-0.010045662,2005,2014,4724,253,361,7665,10950,-867.9452055,15,39,Ixtapaluca,15039,0,Rural
REPDA-EDO,514413.8089,2134101.135,-0.01065449,2005,2014,4725,253,361,7665,10950,-920.5479452,15,25,Chalco,15025,0,2015
REPDA-EDO,514384.6007,2134131.847,-0.005636733,2005,2014,4726,253,361,7665,10950,-487.0136986,15,39,Ixtapaluca,15039,0,2015
REPDA-EDO,514413.7845,2134131.87,-0.004931507,2005,2014,4727,253,361,7665,10950,-426.0821918,15,39,Ixtapaluca,15039,0,2015
REPDA-EDO,514384.625,2134101.112,-0.003945205,2005,2014,4728,253,361,7665,10950,-340.8657534,15,25,Chalco,15025,0,2015
REPDA-EDO,512078.3452,2135236.63,-0.001372939,2005,2014,4729,253,361,7665,10950,-118.6219178,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,512224.1932,2135328.933,-0.000306951,2005,2014,4730,253,361,7665,10950,-26.52054795,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,511348.7374,2135328.364,-0.017012303,2005,2014,4731,253,361,7665,10950,-1469.863014,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,511377.9386,2135297.647,0,2005,2014,4732,253,361,7665,10950,0,15,39,Ixtapaluca,15039,0,1993
REPDA-EDO,512315.1742,2130257.719,-0.000380518,2005,2014,4733,253,361,7665,10950,-32.87671233,15,25,Chalco,15025,0,2015
REPDA-EDO,470623.7238,2161258.722,-0.005811866,2005,2014,4734,253,361,7665,10950,-502.1452055,15,13,Atizap?ín de Zaragoza,15013,0,Rural
REPDA-EDO,469278.3902,2158402.506,-0.009302385,2005,2014,4735,253,361,7665,10950,-803.7260274,15,57,Naucalpan de Ju?írez,15057,0,Rural
REPDA-EDO,478916.6592,2150950.584,-3.81E-05,2005,2014,4736,253,361,7665,10950,-3.287671233,9,16,Miguel Hidalgo,9016,1,1980
