DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,482587,2134705,1,1984,1985,276,-1,0,0,31,-3011,9,3,Coyoac?ín,9003
SACM,483587,2135232,1,1984,1985,448,-1,0,0,31,-5546,9,3,Coyoac?ín,9003
SACM,487365,2136808,1,1984,1985,453,-1,0,0,31,-3486,9,3,Coyoac?ín,9003
SACM,480277,2137821,1,1984,1985,495,-1,0,0,31,-5150,9,3,Coyoac?ín,9003
SACM,482186,2134254,1,1984,1985,576,-1,0,0,31,-1277,9,12,Tlalpan,9012
SACM,483267,2136640,1,1984,1985,577,-1,0,0,31,-6419,9,3,Coyoac?ín,9003
SACM,485577,2137590,1,1984,1985,51,-1,0,0,31,-1115,9,3,Coyoac?ín,9003
SACM,485987,2137418,1,1984,1985,52,-1,0,0,31,-3280,9,3,Coyoac?ín,9003
SACM,485357,2138170,1,1984,1985,147,-1,0,0,31,-3696,9,3,Coyoac?ín,9003
SACM,481261,2131506,1,1984,1985,149,-1,0,0,31,-4020,9,12,Tlalpan,9012
SACM,486699,2140007,1,1984,1985,320,-1,0,0,31,-5044,9,3,Coyoac?ín,9003
SACM,487793,2133865,1,1984,1985,167,-1,0,0,31,-3695,9,12,Tlalpan,9012
SACM,485681,2132491,1,1984,1985,176,-1,0,0,31,-3370,9,12,Tlalpan,9012
SACM,486679,2133212,1,1984,1985,233,-1,0,0,31,-1631,9,12,Tlalpan,9012
SACM,487734,2132727,1,1984,1985,234,-1,0,0,31,-5236,9,13,Xochimilco,9013
SACM,486893,2138915,1,1984,1985,273,-1,0,0,31,-5796,9,3,Coyoac?ín,9003
SACM,485573,2136312,1,1984,1985,293,-1,0,0,31,-876,9,3,Coyoac?ín,9003
SACM,486493,2134490,1,1984,1985,304,-1,0,0,31,-171,9,12,Tlalpan,9012
