DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,480210.0000000000,2151387.0000000000,-0.02733333333333330000,2005,2006,304,253,265,7665,8030,-2361.6000000000,09,016,Miguel Hidalgo,09016
SACM,477626.0000000000,2144350.0000000000,-0.01128571428571420000,2005,2006,305,253,265,7665,8030,-975.0857142857,09,010,?ülvaro Obreg??n,09010
SACM,475535.0000000000,2138416.0000000000,-0.01400000000000000000,2005,2006,306,253,265,7665,8030,-1209.6000000000,09,010,?ülvaro Obreg??n,09010
SACM,478906.0000000000,2138404.0000000000,-0.04300000000000000000,2005,2006,307,253,265,7665,8030,-3715.2000000000,09,010,?ülvaro Obreg??n,09010
SACM,483222.0000000000,2133095.0000000000,-0.01580000000000000000,2005,2006,308,253,265,7665,8030,-1365.1200000000,09,012,Tlalpan,09012
SACM,490508.0000000000,2143981.0000000000,-0.02808333333333330000,2005,2006,309,253,265,7665,8030,-2426.4000000000,09,006,Iztacalco,09006
SACM,487114.0000000000,2141384.0000000000,-0.01975000000000000000,2005,2006,310,253,265,7665,8030,-1706.4000000000,09,007,Iztapalapa,09007
SACM,486789.0000000000,2140914.0000000000,-0.04633333333333330000,2005,2006,311,253,265,7665,8030,-4003.2000000000,09,007,Iztapalapa,09007
SACM,487174.0000000000,2140802.0000000000,-0.06374999999999990000,2005,2006,312,253,265,7665,8030,-5508.0000000000,09,007,Iztapalapa,09007
SACM,481697.0000000000,2139753.0000000000,-0.01333333333333330000,2005,2006,313,253,265,7665,8030,-1152.0000000000,09,003,Coyoac?ín,09003
SACM,481682.0000000000,2148727.0000000000,-0.06208333333333330000,2005,2006,314,253,265,7665,8030,-5364.0000000000,09,016,Miguel Hidalgo,09016
SACM,487435.0000000000,2140423.0000000000,-0.07358333333333330000,2005,2006,315,253,265,7665,8030,-6357.6000000000,09,007,Iztapalapa,09007
SACM,487191.0000000000,2140016.0000000000,-0.02825000000000000000,2005,2006,316,253,265,7665,8030,-2440.8000000000,09,003,Coyoac?ín,09003
SACM,487162.0000000000,2141990.0000000000,-0.04183333333333330000,2005,2006,317,253,265,7665,8030,-3614.4000000000,09,007,Iztapalapa,09007
SACM,487094.0000000000,2143085.0000000000,-0.04625000000000000000,2005,2006,318,253,265,7665,8030,-3996.0000000000,09,006,Iztacalco,09006
SACM,480489.0000000000,2134541.0000000000,-0.03974999999999990000,2005,2006,319,253,265,7665,8030,-3434.4000000000,09,003,Coyoac?ín,09003
SACM,485383.0000000000,2135593.0000000000,-0.06383333333333330000,2005,2006,320,253,265,7665,8030,-5515.2000000000,09,003,Coyoac?ín,09003
SACM,477978.0000000000,2138211.0000000000,-0.00591666666666666000,2005,2006,321,253,265,7665,8030,-511.2000000000,09,010,?ülvaro Obreg??n,09010
SACM,482650.0000000000,2152058.0000000000,-0.01766666666666660000,2005,2006,322,253,265,7665,8030,-1526.4000000000,09,002,Azcapotzalco,09002
SACM,479198.0000000000,2154207.0000000000,-0.01959999999999990000,2005,2006,323,253,265,7665,8030,-1693.4400000000,09,002,Azcapotzalco,09002
SACM,488334.0000000000,2145956.0000000000,-0.03739999999999990000,2005,2006,324,253,265,7665,8030,-3231.3600000000,09,017,Venustiano Carranza,09017
SACM,482632.0000000000,2132332.0000000000,-0.00641666666666666000,2005,2006,325,253,265,7665,8030,-554.4000000000,09,012,Tlalpan,09012
SACM,485274.0000000000,2140695.0000000000,-0.04658333333333330000,2005,2006,326,253,265,7665,8030,-4024.8000000000,09,014,Benito Ju?írez,09014
SACM,485111.0000000000,2142220.0000000000,-0.05858333333333330000,2005,2006,327,253,265,7665,8030,-5061.6000000000,09,014,Benito Ju?írez,09014
