DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay
REDPDA-EDO,510827.4,2128781,-0.00571,2005,2014,4432,253,361,7665,10950,-493.151,15,25,Chalco,15025,0
REDPDA-EDO,514856.8,2127647,-0.00381,2005,2014,4433,253,361,7665,10950,-328.767,15,22,Cocotitl?ín,15022,0
REDPDA-EDO,513105.1,2127707,-0.00381,2005,2014,4434,253,361,7665,10950,-328.767,15,25,Chalco,15025,0
REDPDA-EDO,514769.1,2127801,-0.00133,2005,2014,4435,253,361,7665,10950,-115.068,15,22,Cocotitl?ín,15022,0
REDPDA-EDO,514827.6,2127647,-0.00381,2005,2014,4436,253,361,7665,10950,-328.767,15,22,Cocotitl?ín,15022,0
REDPDA-EDO,502302.1,2137784,-0.00038,2005,2014,4437,253,361,7665,10950,-32.877,9,7,Iztapalapa,9007,0
REDPDA-EDO,507413.2,2125399,-0.00476,2005,2014,4438,253,361,7665,10950,-410.959,15,25,Chalco,15025,0
REDPDA-EDO,508989.9,2125492,-0.00476,2005,2014,4439,253,361,7665,10950,-410.959,15,25,Chalco,15025,0
REDPDA-EDO,515855.4,2130884,-0.00954,2005,2014,4440,253,361,7665,10950,-824.055,15,25,Chalco,15025,0
REDPDA-EDO,516161.5,2131296,-0.00954,2005,2014,4441,253,361,7665,10950,-824.055,15,25,Chalco,15025,0
REDPDA-EDO,515219.3,2130623,-0.00954,2005,2014,4442,253,361,7665,10950,-824.055,15,25,Chalco,15025,0
REDPDA-EDO,513977.3,2132533,-0.01332,2005,2014,4443,253,361,7665,10950,-1150.685,15,25,Chalco,15025,0
REDPDA-EDO,513220.7,2129398,-0.01104,2005,2014,4444,253,361,7665,10950,-953.425,15,25,Chalco,15025,0
REDPDA-EDO,513187.1,2135422,-0.02540,2005,2014,4445,253,361,7665,10950,-2194.521,15,39,Ixtapaluca,15039,0
REDPDA-EDO,505222.5,2128564,-0.01617,2005,2014,4446,253,361,7665,10950,-1397.260,15,122,Valle de Chalco Solidaridad,15122,0
REDPDA-EDO,508433.3,2129487,-0.00780,2005,2014,4447,253,361,7665,10950,-673.973,15,25,Chalco,15025,0
REDPDA-EDO,515438.9,2129799,-0.00020,2005,2014,4448,253,361,7665,10950,-17.249,15,25,Chalco,15025,0
REDPDA-EDO,517775.4,2128572,-0.00824,2005,2014,4449,253,361,7665,10950,-712.329,15,25,Chalco,15025,0
REDPDA-EDO,515993.5,2129800,-0.00191,2005,2014,4450,253,361,7665,10950,-165.296,15,25,Chalco,15025,0
REDPDA-EDO,516022.7,2129800,-0.00173,2005,2014,4451,253,361,7665,10950,-149.556,15,25,Chalco,15025,0
REDPDA-EDO,515964.3,2129800,-0.00182,2005,2014,4452,253,361,7665,10950,-157.427,15,25,Chalco,15025,0
REDPDA-EDO,515935.1,2129800,-0.00046,2005,2014,4453,253,361,7665,10950,-39.356,15,25,Chalco,15025,0
REDPDA-EDO,512812.7,2128414,-0.00067,2005,2014,4454,253,361,7665,10950,-57.460,15,25,Chalco,15025,0
REDPDA-EDO,507705.3,2125276,-0.00123,2005,2014,4455,253,361,7665,10950,-106.099,15,25,Chalco,15025,0
REDPDA-EDO,507501.2,2124569,-0.00072,2005,2014,4456,253,361,7665,10950,-62.551,15,25,Chalco,15025,0
REDPDA-EDO,509602.1,2127183,-0.00003,2005,2014,4457,253,361,7665,10950,-2.701,15,25,Chalco,15025,0
REDPDA-EDO,509573.0,2127060,-0.00003,2005,2014,4458,253,361,7665,10950,-2.701,15,25,Chalco,15025,0
REDPDA-EDO,515090.2,2127832,-0.00067,2005,2014,4459,253,361,7665,10950,-57.600,15,25,Chalco,15025,0
REDPDA-EDO,514185.4,2164775,-0.00691,2005,2014,4460,253,361,7665,10950,-596.668,15,93,Tepetlaoxtoc,15093,0
REDPDA-EDO,509251.3,2128074,-0.00079,2005,2014,4461,253,361,7665,10950,-68.493,15,25,Chalco,15025,0
REDPDA-EDO,507850.0,2128135,-0.00615,2005,2014,4462,253,361,7665,10950,-531.507,15,122,Valle de Chalco Solidaridad,15122,0
REDPDA-EDO,504774.8,2165446,-0.01788,2005,2014,4463,253,361,7665,10950,-1545.205,15,11,Atenco,15011,0
REDPDA-EDO,511534.2,2164656,-0.01658,2005,2014,4464,253,361,7665,10950,-1432.142,15,28,Chiautla,15028,0
REDPDA-EDO,512242.4,2164359,-0.00150,2005,2014,4465,253,361,7665,10950,-129.315,15,28,Chiautla,15028,0
REDPDA-EDO,513139.2,2161086,-0.00190,2005,2014,4466,253,361,7665,10950,-164.384,15,28,Chiautla,15028,0
REDPDA-EDO,512495.6,2164682,-0.00014,2005,2014,4467,253,361,7665,10950,-12.471,15,28,Chiautla,15028,0
REDPDA-EDO,513079.2,2163453,-0.00008,2005,2014,4468,253,361,7665,10950,-6.575,15,28,Chiautla,15028,0
REDPDA-EDO,513401.0,2161701,-0.00190,2005,2014,4469,253,361,7665,10950,-164.384,15,28,Chiautla,15028,0
REDPDA-EDO,516582.3,2156248,-0.00055,2005,2014,4470,253,361,7665,10950,-47.159,15,99,Texcoco,15099,0
REDPDA-EDO,506378.6,2161451,-0.01000,2005,2014,4471,253,361,7665,10950,-864.000,15,11,Atenco,15011,0
REDPDA-EDO,512673.3,2160655,-0.00417,2005,2014,4472,253,361,7665,10950,-360.000,15,99,Texcoco,15099,0
REDPDA-EDO,506523.3,2164064,-0.00263,2005,2014,4473,253,361,7665,10950,-227.244,15,11,Atenco,15011,0
REDPDA-EDO,511271.0,2166248,-0.00004,2005,2014,4474,253,361,7665,10950,-3.288,15,28,Chiautla,15028,0
REDPDA-EDO,511099.2,2161453,-0.00078,2005,2014,4475,253,361,7665,10950,-67.123,15,30,Chiconcuac,15030,0
REDPDA-EDO,512962.8,2163268,-0.01479,2005,2014,4476,253,361,7665,10950,-1278.247,15,28,Chiautla,15028,0
REDPDA-EDO,513837.4,2162654,-0.00057,2005,2014,4477,253,361,7665,10950,-49.315,15,28,Chiautla,15028,0
REDPDA-EDO,513487.7,2162715,-0.00165,2005,2014,4478,253,361,7665,10950,-142.466,15,28,Chiautla,15028,0
REDPDA-EDO,512613.9,2162223,-0.00038,2005,2014,4479,253,361,7665,10950,-32.877,15,28,Chiautla,15028,0
REDPDA-EDO,513518.0,2161148,-0.01332,2005,2014,4480,253,361,7665,10950,-1150.685,15,28,Chiautla,15028,0
REDPDA-EDO,514304.9,2161025,-0.01084,2005,2014,4481,253,361,7665,10950,-936.986,15,99,Texcoco,15099,0
REDPDA-EDO,510164.8,2164834,-0.01644,2005,2014,4482,253,361,7665,10950,-1420.274,15,28,Chiautla,15028,0
REDPDA-EDO,505210.5,2169903,-0.01294,2005,2014,4483,253,361,7665,10950,-1117.808,15,2,Acolman,15002,0
REDPDA-EDO,506961.2,2161759,-0.00171,2005,2014,4484,253,361,7665,10950,-147.945,15,11,Atenco,15011,0
REDPDA-EDO,502589.2,2169595,-0.01784,2005,2014,4485,253,361,7665,10950,-1541.096,15,2,Acolman,15002,0
REDPDA-EDO,505502.5,2167598,-0.00342,2005,2014,4486,253,361,7665,10950,-295.890,15,100,Tezoyuca,15100,0
REDPDA-EDO,510456.9,2163604,-0.00942,2005,2014,4487,253,361,7665,10950,-813.699,15,30,Chiconcuac,15030,0
REDPDA-EDO,513080.7,2161455,-0.00066,2005,2014,4488,253,361,7665,10950,-56.811,15,28,Chiautla,15028,0
REDPDA-EDO,511331.9,2162068,-0.00076,2005,2014,4489,253,361,7665,10950,-65.753,15,28,Chiautla,15028,0
REDPDA-EDO,511681.9,2161638,-0.00020,2005,2014,4490,253,361,7665,10950,-17.151,15,28,Chiautla,15028,0
REDPDA-EDO,511445.6,2148203,-0.01665,2005,2014,4491,253,361,7665,10950,-1438.356,15,29,Chicoloapan,15029,0
REDPDA-EDO,507696.8,2145100,-0.01427,2005,2014,4492,253,361,7665,10950,-1232.877,15,29,Chicoloapan,15029,1
REDPDA-EDO,510174.7,2147314,-0.00059,2005,2014,4493,253,361,7665,10950,-50.877,15,29,Chicoloapan,15029,0
REDPDA-EDO,509154.7,2145931,-0.01010,2005,2014,4494,253,361,7665,10950,-872.679,15,29,Chicoloapan,15029,0
REDPDA-EDO,507405.3,2144762,-0.03667,2005,2014,4495,253,361,7665,10950,-3168.142,15,29,Chicoloapan,15029,1
REDPDA-EDO,510641.7,2146700,-0.02222,2005,2014,4496,253,361,7665,10950,-1919.904,15,29,Chicoloapan,15029,1
